name,count(*)
Abkhaz_abk,1325
Acoma_kjq,2433
Alamblak_amp,268933
Amele_aey,272657
Apurina_apu,208147
Arabic_Egyptian_arz,528641
Arapesh_Mountain_ape,305611
Asmat_tml,198
Bagirmi_bmi,70
Barasano_bsn,293923
Basque_eus,2759182
Berber_MiddleAtlas_tzm,1822
Burmese_mya,495908
Burushaski_bsk,198
CanelaKraho_ram,40181
Chamorro_cha,223407
Chukchi_ckt,21526
Daga_dgz,244867
Dani_LowerGrandValley_dni,298
English_eng,10920747
Fijian_fij,258501
Finnish_fin,10860610
French_fra,10429207
Georgian_kat,830181
German_deu,10970912
Gooniyandi_gni,130
Greek_Modern_ell,11054196
Greenlandic_West_kal,80775
Guarani_gug,171360
Hausa_hau,218071
Hebrew_Modern_heb,5176948
Hindi_hin,2239972
Hixkaryana_hix,57024
HmongNjua_hnj,2801
Imonda_imn,395
Indonesian_ind,5862905
Jakaltek_jac,257368
Japanese_jpn,1264802
Kannada_kan,1080
Karok_kyh,399
Kayardild_gyd,28
Kewa_kew,272925
Khalkha_khk,163067
Khoekhoe_naq,201484
Kiowa_kio,89
Korean_kor,3406865
Kutenai_kut,37
Lango_laj,206006
Lavukaleve_lvk,2109
Luvale_lue,1216
Makah_myh,245
Malagasy_plt,784835
Mandarin_cmn,1679626
Mapudungun_arn,228682
Martuthunira_vma,4354
Maung_mph,25500
Maybrat_ayz,730
Mixtec_Chalcatongo_mig,215835
Ngiyambaa_wyb,20
Oromo_Harar_hae,197918
Otomi_Mezquital_ote,1849
Persian_pes,5352355
Quechua_Imbabura_qvi,191056
Rama_rma,608
Rapanui_rap,2817
Russian_rus,5818760
Sango_sag,302257
Sanuma_xsu,492569
Spanish_spa,10911957
Swahili_swh,158067
Tagalog_tgl,1925933
Thai_tha,2358800
Turkish_tur,5691421
Vietnamese_vie,5970823
Warao_wba,430
Wichi_mzh,853136
Wichita_wic,525
Yagua_yad,185004
Yaqui_yaq,298082
Yoruba_yor,909131
Zoque_Copainala_zoc,1010
Zulu_zul,1075
