language_name_glotto,source
Abkhazian,https://unicode.org/udhr/d/udhr_abk.txt (30/01/2019)
Alamblak,http://pngscriptures.org/amp/copyright.htm
Amele,http://pngscriptures.org/aey/index.htm
Apurinã,http://www.scriptureearth.org/data/apu
Bagirmi,"Keegan, J. M., and Djibrine, M. I. (2016). Bagirmi lexicon, Bagirmi-French, French-Bagirmi, with grammatical introduction in English. Second Edition, Morkeg Books, Cuenca."
Barasana-Eduria,http://www.scriptureearth.org/data/bsn
Basque,https://www.bible.com/de/bible/56/gen.1.eab
Basque,https://object.pouta.csc.fi/OPUS-OpenSubtitles/v2018/raw/eu.zip
Basque,https://unicode.org/udhr/d/udhr_eus.txt (30/01/2019)
Bukiyip,http://pngscriptures.org/ape/copyright.htm
Burmese,https://www.bible.com/de/bible/404/gen.1.bcl
Burmese,https://unicode.org/udhr/d/udhr_mya.txt (30/01/2019)
Burushaski,"Anderson, G. D. S., and Eggert, R. (2001). A typology of verb agreement in Burushaski. Linguistics of the Tibeto-Burman Area, Volume 24.2."
Canela-Krahô,https://scriptureearth.org/data/ram/PDF/00-PBram-web.pdf
Central Moroccan Berber,https://unicode.org/udhr/d/udhr_tzm.txt (30/01/2019)
Chamorro,"NA"
Chamorro,https://unicode.org/udhr/d/udhr_cha.txt (30/01/2019)
Chukchi,http://ibtrussia.org/en/text ?m=CHK
Copainalá Zoque,"Harrison, W. R. (1952). The Mason: A Zoque Text. Tlalocan, A Journal of Source Materials on the Native Cultures of Mexico, Volume III, Number 3, p. 193-204."
Daga,http://pngscriptures.org/dgz/copyright.htm
Eastern Oromo,http://www.bible.is/HAEBSE/Matt/1
Egyptian Arabic,http://www.bible.is/ARZVDV/Mark/1
English,http://www.gutenberg.org/files/51074/51074-h/51074-h.htm
English,http://www.gutenberg.org/files/45848/45848-h/45848-h.htm
English,http://www.gutenberg.org/files/37650/37650-h/37650-h.htm
English,http://www.gutenberg.org/ebooks/10376.html.noimages
English,http://www.gutenberg.org/files/338/338-h/338-h.htm
English,http://www.gutenberg.org/files/36136/36136-h/36136-h.htm
English,http://www.gutenberg.org/files/14200/14200-h/14200-h.htm
English,http://www.gutenberg.org/files/8600/8600-h/8600-h.htm
English,http://www.gutenberg.org/files/8558/8558-h/8558-h.htm
