name,genre_broad,types,tokens,ttr
Abkhaz_abk,professional,64,10003,0.00639808057582725
Acoma_kjq,non-fiction,43,15893,0.0027055936575851
Alamblak_amp,non-fiction,66,1290455,5.11447512699009e-5
Amele_aey,non-fiction,68,1160739,5.85833680095181e-5
Apurina_apu,non-fiction,59,1247091,4.7310100064871e-5
Arabic_Egyptian_arz,non-fiction,426,1961436,2.17187815457655e-4
Arapesh_Mountain_ape,non-fiction,69,1510912,4.56677821077601e-5
Asmat_tml,conversation,32,870,0.0367816091954023
Bagirmi_bmi,grammar,47,210,0.223809523809524
Barasano_bsn,non-fiction,90,1360928,6.61313456700134e-5
Basque_eus,non-fiction,172,16116015,1.06726135462147e-5
Basque_eus,professional,54,9623,0.00561155564792684
Berber_MiddleAtlas_tzm,professional,70,8511,0.00822465045235577
Burmese_mya,non-fiction,663,2249570,2.94722991505043e-4
Burmese_mya,professional,273,8484,0.0321782178217822
Burushaski_bsk,grammar,40,925,0.0432432432432432
CanelaKraho_ram,non-fiction,73,192513,3.79195171235189e-4
Chamorro_cha,non-fiction,76,921354,8.24872958710767e-5
Chamorro_cha,professional,61,9910,0.00615539858728557
Chukchi_ckt,non-fiction,79,134477,5.87461052819441e-4
Daga_dgz,non-fiction,64,997386,6.41677344578729e-5
Dani_LowerGrandValley_dni,conversation,33,1789,0.0184460592509782
English_eng,fiction,289,23630990,1.22297034529658e-5
English_eng,non-fiction,174,25054918,6.94474434121078e-6
English_eng,professional,56,8891,0.006298504105275
Fijian_fij,non-fiction,59,861344,6.84976037448453e-5
Fijian_fij,professional,56,9094,0.00615790631185397
Finnish_fin,fiction,171,33106295,5.16518082135135e-6
Finnish_fin,non-fiction,163,35407637,4.60352663466359e-6
Finnish_fin,professional,56,10835,0.00516843562528842
French_fra,fiction,247,23767792,1.03922148090155e-5
French_fra,non-fiction,191,25150294,7.59434462277061e-6
French_fra,professional,60,9953,0.00602833316587963
Georgian_kat,non-fiction,173,3914602,4.4193509327385e-5
Georgian_kat,professional,46,10455,0.00439980870396939
German_deu,fiction,351,27780867,1.2634594881434e-5
German_deu,non-fiction,184,28779152,6.39351708486755e-6
German_deu,professional,70,10295,0.00679941719281204
Gooniyandi_gni,conversation,20,775,0.0258064516129032
Greek_Modern_ell,fiction,358,25932449,1.38050980067482e-5
Greek_Modern_ell,non-fiction,242,28844378,8.3898498348621e-6
Greek_Modern_ell,professional,118,21056,0.00560410334346505
Greenlandic_West_kal,non-fiction,71,726470,9.77328726581965e-5
Greenlandic_West_kal,professional,50,15779,0.00316876861651562
Guarani_gug,non-fiction,94,813314,1.15576517802472e-4
Guarani_gug,professional,75,7882,0.00951535143364628
Hausa_hau,non-fiction,71,736578,9.63916923937451e-5
Hausa_hau,professional,61,23404,0.00260639206973167
Hebrew_Modern_heb,fiction,358,488629,7.32662203839723e-4
Hebrew_Modern_heb,non-fiction,392,21215980,1.84766388354438e-5
Hebrew_Modern_heb,professional,31,5983,0.00518134715025907
Hindi_hin,non-fiction,1081,6540546,1.65276721545877e-4
Hindi_hin,professional,277,5821,0.0475863253736471
Hixkaryana_hix,non-fiction,49,247518,1.97965400496126e-4
HmongNjua_hnj,professional,57,10880,0.00523897058823529
Imonda_imn,non-fiction,25,1599,0.0156347717323327
Indonesian_ind,non-fiction,265,32402441,8.17839618934882e-6
Indonesian_ind,professional,52,10865,0.00478601012425219
Jakaltek_jac,non-fiction,68,1154758,5.88867970605096e-5
Japanese_jpn,fiction,4349,1626514,0.00267381651802567
Japanese_jpn,non-fiction,3843,9365709,4.10326650123338e-4
Japanese_jpn,professional,505,4091,0.123441701295527
Kannada_kan,professional,287,5862,0.0489593995223473
Kayardild_gyd,grammar,21,221,0.0950226244343891
Kewa_kew,non-fiction,64,1255293,5.09841128724529e-5
Khalkha_khk,non-fiction,59,783108,7.53408214448071e-5
Khalkha_khk,professional,54,9290,0.00581270182992465
Khoekhoe_naq,non-fiction,74,718250,1.03028193525931e-4
Kiowa_kio,non-fiction,42,581,0.072289156626506
Korean_kor,non-fiction,2772,10433726,2.65676902000302e-4
Korean_kor,professional,315,3531,0.0892098555649957
Kutenai_kut,non-fiction,28,278,0.100719424460432
Lango_laj,non-fiction,60,681594,8.80289439167598e-5
Lavukaleve_lvk,non-fiction,46,7575,0.00607260726072607
Luvale_lue,professional,52,8892,0.00584795321637427
Makah_myh,conversation,38,1378,0.0275761973875181
Makah_myh,non-fiction,27,233,0.11587982832618
Malagasy_plt,non-fiction,84,3738533,2.24687063080625e-5
Malagasy_plt,professional,58,10681,0.00543020316449771
Mandarin_cmn,fiction,9453,7395033,0.00127829044170594
Mandarin_cmn,non-fiction,8659,9142941,9.47069438597493e-4
Mandarin_cmn,professional,696,5592,0.124463519313305
Mapudungun_arn,non-fiction,66,1067903,6.18033660360538e-5
Mapudungun_arn,professional,67,12523,0.00535015571348718
Martuthunira_vma,conversation,34,29771,0.0011420509892177
Maung_mph,non-fiction,66,135696,4.86381322957198e-4
Maybrat_ayz,non-fiction,32,2385,0.0134171907756813
Mixtec_Chalcatongo_mig,non-fiction,76,877602,8.6599620329033e-5
Ngiyambaa_wyb,conversation,19,161,0.118012422360248
Oromo_Harar_hae,non-fiction,66,1000842,6.59444747522586e-5
Otomi_Mezquital_ote,grammar,0,0,NA
Otomi_Mezquital_ote,non-fiction,0,0,NA
Otomi_Mezquital_ote,professional,72,6157,0.011694006821504
Persian_pes,fiction,200,88721,0.00225425772928619
Persian_pes,non-fiction,642,21015634,3.05486858021985e-5
Persian_pes,professional,49,7146,0.00685698292751189
Piraha_myp,non-fiction,33,22722,0.00145233694217058
Quechua_Imbabura_qvi,non-fiction,72,1226343,5.87111436196888e-5
Rama_rma,grammar,28,2595,0.0107899807321773
Rama_rma,non-fiction,23,1062,0.0216572504708098
Rapanui_rap,non-fiction,43,7924,0.00542655224634023
Russian_rus,fiction,150,267516,5.6071412551025e-4
Russian_rus,non-fiction,232,28327840,8.18982315630136e-6
Russian_rus,professional,66,10204,0.00646805174441396
Sango_sag,non-fiction,78,920017,8.47810420894397e-5
Sango_sag,professional,69,8196,0.00841874084919473
Sanuma_xsu,non-fiction,85,1511667,5.62293150541753e-5
Spanish_spa,fiction,200,24083125,8.30457010873796e-6
Spanish_spa,non-fiction,176,27079157,6.49946377577411e-6
Spanish_spa,professional,60,10038,0.00597728631201435
Swahili_swh,non-fiction,82,725026,1.13099392297656e-4
Swahili_swh,professional,62,8670,0.00715109573241061
Tagalog_tgl,fiction,154,4833124,3.18634489824801e-5
Tagalog_tgl,non-fiction,83,4355512,1.90563130121097e-5
Tagalog_tgl,professional,56,11363,0.00492827598345507
Thai_tha,non-fiction,2003,18366621,1.09056532499908e-4
Thai_tha,professional,262,7111,0.0368443256925889
Turkish_tur,non-fiction,180,33994537,5.29496842389705e-6
Turkish_tur,professional,56,8915,0.00628154795288839
Vietnamese_vie,non-fiction,371,20189329,1.83760440973546e-5
Vietnamese_vie,professional,665,11291,0.0588964662120273
Warao_wba,non-fiction,22,2183,0.0100778744846541
Wichi_mzh,non-fiction,92,3918965,2.34755860284539e-5
Wichita_wic,conversation,20,5552,0.00360230547550432
Yagua_yad,non-fiction,77,1117898,6.88792716330112e-5
Yagua_yad,professional,64,9602,0.00666527806706936
Yaqui_yaq,non-fiction,51,1386107,3.67936963019449e-5
Yoruba_yor,non-fiction,98,2727263,3.59334614960127e-5
Yoruba_yor,professional,73,9093,0.00802815352468932
Zoque_Copainala_zoc,non-fiction,36,5250,0.00685714285714286
Zulu_zul,professional,60,9192,0.00652741514360313
