name,genre_broad,writing_system,types,tokens,mean_word_length,ttr
Abkhaz_abk,professional,Cyrl,787,1332,7.936467598475223,0.5908408408408409
Acoma_kjq,non-fiction,Latn,849,3341,5.361601884570082,0.2541155342711763
Alamblak_amp,non-fiction,Latn,25322,229160,8.520930416238844,0.11049921452260429
Amele_aey,non-fiction,Latn,14139,233776,7.803027088195771,0.06048097323934022
Apurina_apu,non-fiction,Latn,14699,159164,11.05503775767059,0.0923512854665628
Arabic_Egyptian_arz,non-fiction,Arab,74262,434040,10.090800140044706,0.17109482996958805
Arapesh_Mountain_ape,non-fiction,Latn,14890,270754,8.194022834116858,0.054994570717330125
Asmat_tml,conversation,Latn,105,153,6.352380952380952,0.6862745098039216
Bagirmi_bmi,grammar,Latn,59,79,3.0677966101694913,0.7468354430379747
Barasano_bsn,non-fiction,Latn,17089,221691,10.554567265492421,0.07708477114542313
Basque_eus,non-fiction,Latn,126640,2715508,8.99046114971573,0.04663584124959308
Basque_eus,professional,Latn,707,1407,7.776520509193777,0.5024875621890548
Berber_MiddleAtlas_tzm,professional,Latn,670,1869,6.325373134328358,0.3584804708400214
Burmese_mya,non-fiction,Mymr,6381,908516,6.412944679517317,0.007023541687763341
Burmese_mya,professional,Mymr,665,2966,5.863157894736842,0.22420768712070127
Burushaski_bsk,grammar,Latn,123,203,5.634146341463414,0.6059113300492611
CanelaKraho_ram,non-fiction,Latn,3043,51061,6.175484719027276,0.05959538591096923
Chamorro_cha,non-fiction,Latn,9653,198523,8.45737076556511,0.048624088896500654
Chamorro_cha,professional,Latn,571,1951,7.248686514886165,0.2926704254228601
Chukchi_ckt,non-fiction,Cyrl,5192,16442,10.734591679506934,0.3157766695049264
Daga_dgz,non-fiction,Latn,7839,214348,7.2148233193009315,0.03657136992180939
Dani_LowerGrandValley_dni,conversation,Latn,164,345,5.7317073170731705,0.4753623188405797
English_eng,fiction,Latn,80966,5073103,7.790973989081837,0.015959857310210337
English_eng,non-fiction,Latn,60787,5711261,7.567637817296461,0.010643358795894637
English_eng,professional,Latn,534,1753,6.670411985018727,0.30462065031374785
Fijian_fij,non-fiction,Latn,3636,227543,7.59928492849285,0.01597939730072997
Fijian_fij,professional,Latn,396,2096,6.393939393939394,0.18893129770992367
Finnish_fin,fiction,Latn,366900,5021399,10.676729354047424,0.07306728662669507
Finnish_fin,non-fiction,Latn,340673,5549590,10.467545123916484,0.06138705742226002
Finnish_fin,professional,Latn,824,1400,8.993932038834952,0.5885714285714285
