word,n,rank
ауаҩы,45,1
дарбанзаалак,36,2
азин,31,3
иара,30,4
ахәҭаҷ,29,5
имоуп,23,6
ма,18,7
насгьы,11,8
зегь,9,9
мамзаргьы,9,10
изинқәа,8,11
убас,8,12
ҳәа,8,13
азакәан,7,14
азинқәеи,7,15
азуа,7,16
ауаа,7,17
ахақәиҭрақәеи,7,18
ихы,7,19
рзин,7,20
хшыҩзышьҭра,7,21
абри,6,22
амилаҭқәа,6,23
аҭаацәара,6,24
зегьы,6,25
аара,5,26
адунеижәларбжьаратәи,5,27
азы,5,28
аиура,5,29
аус,5,30
еиҧш,5,31
изинқәеи,5,32
имоу,5,33
ҟалом,5,34
рзы,5,35
убасгьы,5,36
абарҭ,4,37
адекларациа,4,38
ала,4,39
ауаажәларратә,4,40
аҵара,4,41
еиду,4,42
еиуеиҧшым,4,43
иалахәу,4,44
иарбан,4,45
иҟоу,4,46
илшоит,4,47
имазароуп,4,48
ихадароу,4,49
ҧсыхәа,4,50
реиҿкаара,4,51
рымоуп,4,52
урҭ,4,53
хаҳәатәыла,4,54
ажәларқәа,3,55
аӡәгьы,3,56
аилазаара,3,57
амилаҭтә,3,58
ари,3,59
ауаҩ,3,60
ауаҩытәыҩса,3,61
даҽа,3,62
егьырҭ,3,63
еиҟароуп,3,64
зеиҧшроу,3,65
змоу,3,66
идунеихәаҧшышьеи,3,67
инақәыршәаны,3,68
ихаҭара,3,69
ишиҭахыу,3,70
рганахь,3,71
убри,3,72
уи,3,73
хаҭала,3,74
ҵара,3,75
аамҭа,2,76
аамҭаз,2,77
аамҭазы,2,78
абеиарақәа,2,79
ада,2,80
адекларациаҿ,2,81
адунеи,2,82
аешьеи,2,83
азаанаҭтә,2,84
аӡәи,2,85
аӡәымзар,2,86
акгьы,2,87
аҟаҵара,2,88
аҟынӡа,2,89
аларҵәара,2,90
алхрақәа,2,91
алхреи,2,92
аполитикатә,2,93
апринципқәеи,2,94
аҧсҭазаара,2,95
асоциалтә,2,96
атәыла,2,97
аҭагылазаашьа,2,98
ахақәиҭра,2,99
ахақәиҭреи,2,100
аҳасабала,2,101
аҳаҭырқәҵара,2,102
аҳәынҭқаррақәеи,2,103
ацәгьара,2,104
ацхыраара,2,105
аҿаҧхьа,2,106
дақәиҭны,2,107
дахьыҟазаалакгьы,2,108
досу,2,109
дрықәиҭны,2,110
дрылахәны,2,111
дызусҭзаалак,2,112
еидгылақәа,2,113
еидҵоу,2,114
еилазаара,2,115
еиҳа,2,116
еицырзеиҧшу,2,117
зда,2,118
зегьеицырзеиҧшу,2,119
зинла,2,120
зыӡбахә,2,121
иаартны,2,122
иархәаны,2,123
иахәҭоу,2,124
иаҳаҭыр,2,125
иацхраарц,2,126
иацхраауазароуп,2,127
иашьашәалоу,2,128
идинхаҵареи,2,129
идунеихәаҧшышьа,2,130
изҭаххалак,2,131
имам,2,132
инагӡаны,2,133
инапаҵаҟа,2,134
инаҭо,2,135
интересқәа,2,136
иреиҳау,2,137
итәылауаҩра,2,138
ихақәиҭрақәеи,2,139
ихала,2,140
ҟамҵакуа,2,141
напхгара,2,142
ҧымкрыда,2,143
ргәаҳәара,2,144
реиҧш,2,145
риуреи,2,146
рхәыҷқәа,2,147
рхы,2,148
рыбжьареи,2,149
рыла,2,150
рымҩаҧгара,2,151
рынагӡара,2,152
уск,2,153
усурада,2,154
хаз,2,155
хылҵшьҭралеи,2,156
ҳәоу,2,157
цәаҧшшәахәылеи,2,158
шьаҭас,2,159
ыҟам,2,160
1,1,161
10,1,162
11,1,163
12,1,164
13,1,165
14,1,166
15,1,167
16,1,168
17,1,169
18,1,170
19,1,171
2,1,172
20,1,173
21,1,174
22,1,175
23,1,176
24,1,177
25,1,178
26,1,179
27,1,180
28,1,181
29,1,182
