word,n,rank
he,30,1
te,16,2
hoko,14,3
at,12,4
akkyky,10,5
tum,8,6
en,7,7
it,7,8
nen,6,9
a'noko,5,10
mekke,5,11
seke,5,12
akwe,4,13
pi,4,14
pyte,4,15
wolok,4,16
akoukwha,3,17
aso,3,18
hylyk,3,19
hylyng,3,20
je,3,21
keppalyk,3,22
oteke,3,23
ouma,3,24
pililo,3,25
wa,3,26
wakoukwha,3,27
wathukwha,3,28
welesi,3,29
ylvk,3,30
akeikhe,2,31
atty,2,32
helep,2,33
hyky,2,34
hymy,2,35
isukwhama,2,36
ke,2,37
kisikhe,2,38
lakasukwhasik,2,39
lakeikhe,2,40
lakha,2,41
lakoukwha,2,42
mel,2,43
na,2,44
noko,2,45
non,2,46
o,2,47
tek,2,48
wam,2,49
watek,2,50
wathukwhama,2,51
wo,2,52
ylvakeik,2,53
ylyk,2,54
a'ly,1,55
a'ma,1,56
akeikhesik,1,57
akkasukwha,1,58
akot,1,59
akotymy,1,60
akoukwhama,1,61
akoukwhasi,1,62
al,1,63
an,1,64
apekkat,1,65
appekkat,1,66
apput,1,67
asu'lek,1,68
attoma,1,69
e,1,70
e'ni,1,71
esa,1,72
esiset,1,73
ettakeisom,1,74
hakw,1,75
hat,1,76
hemusok,1,77
hesukwhasik,1,78
hoe,1,79
hykhy,1,80
hynaken,1,81
inathukwha,1,82
inathukwhama,1,83
inekkiamvlyn,1,84
inesok,1,85
inom,1,86
inoppolik,1,87
isukwha,1,88
jamekke,1,89
jeta,1,90
jetalok,1,91
jokko,1,92
joma,1,93
joman,1,94
kikhenem,1,95
kkama,1,96
kolo,1,97
kuake,1,98
la'lat,1,99
lak,1,100
laka,1,101
lakasukwha,1,102
lakeikhemo,1,103
lakeikhomo,1,104
lakoukwhasik,1,105
lakw,1,106
layk,1,107
lokkopal,1,108
lokol,1,109
lokolhikhesik,1,110
lokolyk,1,111
lololyk,1,112
lv,1,113
maik,1,114
matyk,1,115
nane,1,116
napyt,1,117
neppetak,1,118
oak,1,119
ohealek,1,120
pa,1,121
paik,1,122
pak,1,123
pakky,1,124
pile,1,125
pok,1,126
sa,1,127
salok,1,128
sokopelan,1,129
sukun,1,130
svppvtv,1,131
svppvtvkkama,1,132
tathenem,1,133
tauk,1,134
ttappo,1,135
ttippo,1,136
ty,1,137
usa,1,138
vkkvl,1,139
waka,1,140
wakama,1,141
wakoukwhama,1,142
wakoukwhasi'mo,1,143
wakvnem,1,144
wanhikhe,1,145
wanhukwhasik,1,146
wanin,1,147
wap,1,148
wasik,1,149
wat,1,150
wathenem,1,151
wathukwa,1,152
wathukwhasik,1,153
wathy,1,154
wayk,1,155
welakoukwhasik,1,156
wouk,1,157
wulipikin,1,158
wytyk,1,159
ytyk,1,160
