word,n,rank
the,185,1
i,147,2
a,122,3
and,106,4
to,89,5
of,79,6
he,65,7
in,60,8
mr,59,9
my,57,10
you,57,11
it,55,12
said,55,13
eammer,51,14
that,46,15
was,40,16
me,38,17
with,37,18
mary,34,19
his,31,20
at,29,21
all,27,22
as,27,23
this,27,24
had,26,25
her,25,26
on,24,27
we,24,28
is,23,29
for,21,30
she,21,31
but,20,32
susie,20,33
what,19,34
don't,18,35
him,18,36
be,17,37
from,17,38
if,17,39
an,16,40
could,15,41
eyes,15,42
have,15,43
invention,15,44
out,15,45
so,15,46
no,14,47
not,14,48
when,14,49
are,13,50
how,13,51
made,13,52
about,12,53
got,12,54
just,12,55
like,12,56
man,12,57
see,12,58
will,12,59
by,11,60
do,11,61
get,11,62
it's,11,63
movie,11,64
one,11,65
then,11,66
can,10,67
cat,10,68
new,10,69
right,10,70
there,10,71
they,10,72
want,10,73
did,9,74
eammer's,9,75
image,9,76
people,9,77
three,9,78
who,9,79
would,9,80
your,9,81
down,8,82
i'll,8,83
into,8,84
make,8,85
now,8,86
two,8,87
were,8,88
am,7,89
full,7,90
genius,7,91
hand,7,92
i'm,7,93
know,7,94
largoscope,7,95
long,7,96
million,7,97
opened,7,98
or,7,99
put,7,100
say,7,101
small,7,102
tell,7,103
them,7,104
us,7,105
well,7,106
any,6,107
contract,6,108
face,6,109
feet,6,110
girlies,6,111
good,6,112
he'd,6,113
he's,6,114
i'd,6,115
let,6,116
look,6,117
looked,6,118
mistake,6,119
never,6,120
night,6,121
television,6,122
that's,6,123
things,6,124
too,6,125
up,6,126
voice,6,127
which,6,128
why,6,129
without,6,130
abominable,5,131
after,5,132
back,5,133
behind,5,134
being,5,135
can't,5,136
cried,5,137
dollars,5,138
even,5,139
hands,5,140
head,5,141
hit,5,142
i've,5,143
industry,5,144
kind,5,145
last,5,146
machine,5,147
might,5,148
moment,5,149
must,5,150
over,5,151
read,5,152
room,5,153
screen,5,154
short,5,155
size,5,156
snowman,5,157
something,5,158
stared,5,159
such,5,160
through,5,161
told,5,162
took,5,163
use,5,164
work,5,165
you're,5,166
anybody,4,167
around,4,168
because,4,169
been,4,170
camera,4,171
circuit,4,172
come,4,173
day,4,174
days,4,175
deep,4,176
door,4,177
eight,4,178
enough,4,179
girl,4,180
give,4,181
heard,4,182
heart,4,183
hollywood,4,184
immediately,4,185
leave,4,186
looks,4,187
mary's,4,188
matter,4,189
more,4,190
off,4,191
offer,4,192
only,4,193
our,4,194
own,4,195
real,4,196
safe,4,197
sent,4,198
set,4,199
strange,4,200
studio,4,201
sure,4,202
time,4,203
toward,4,204
trembling,4,205
turned,4,206
until,4,207
uttered,4,208
went,4,209
what's,4,210
where,4,211
whispered,4,212
within,4,213
yes,4,214
3,3,215
account,3,216
actual,3,217
anything,3,218
away,3,219
before,3,220
began,3,221
big,3,222
blueprints,3,223
body,3,224
box,3,225
came,3,226
cold,3,227
d,3,228
delivered,3,229
deposit,3,230
dial,3,231
dials,3,232
dimensional,3,233
discovery,3,234
done,3,235
equipment,3,236
ever,3,237
fear,3,238
few,3,239
figure,3,240
figures,3,241
film,3,242
first,3,243
foot,3,244
force,3,245
found,3,246
gasped,3,247
giant,3,248
glared,3,249
go,3,250
grimly,3,251
has,3,252
hastily,3,253
he'll,3,254
hell,3,255
high,3,256
hold,3,257
impatiently,3,258
its,3,259
jaw,3,260
keep,3,261
knew,3,262
love,3,263
mean,3,264
meow,3,265
myself,3,266
name,3,267
newspapers,3,268
next,3,269
number,3,270
obsolete,3,271
okay,3,272
palm,3,273
phone,3,274
private,3,275
ran,3,276
remember,3,277
research,3,278
secretary,3,279
shakespeare,3,280
shouted,3,281
side,3,282
signed,3,283
six,3,284
some,3,285
star,3,286
stepped,3,287
take,3,288
than,3,289
think,3,290
trust,3,291
very,3,292
we'll,3,293
white,3,294
word,3,295
works,3,296
world,3,297
young,3,298
across,2,299
advice,2,300
afraid,2,301
again,2,302
agree,2,303
also,2,304
another,2,305
anyway,2,306
appalled,2,307
appeared,2,308
arm,2,309
ask,2,310
asked,2,311
astonishing,2,312
battle,2,313
beeline,2,314
beg,2,315
believe,2,316
beyond,2,317
biggest,2,318
billy,2,319
boxes,2,320
bring,2,321
broadway,2,322
caught,2,323
cautiously,2,324
cent,2,325
chalked,2,326
cinemascope,2,327
circle,2,328
clause,2,329
clinging,2,330
closed,2,331
color,2,332
complete,2,333
control,2,334
cottage,2,335
course,2,336
created,2,337
