word,n,rank
the,50108,1
of,25952,2
and,25434,3
to,20293,4
you,14669,5
will,11474,6
in,11157,7
he,10513,8
i,9377,9
a,8773,10
they,7900,11
is,7331,12
his,6788,13
that,6774,14
for,6754,15
jehovah,6497,16
your,6491,17
not,6490,18
with,5898,19
it,5551,20
be,5495,21
them,5113,22
him,4965,23
from,4905,24
all,4550,25
was,4526,26
who,4458,27
my,4357,28
have,4308,29
god,4202,30
me,4123,31
on,4024,32
are,4001,33
their,3707,34
this,3529,35
do,3397,36
as,3368,37
said,3281,38
people,2999,39
were,2835,40
one,2588,41
when,2446,42
king,2390,43
son,2188,44
by,2162,45
out,2135,46
there,2061,47
but,2032,48
israel,2024,49
what,2015,50
we,2005,51
at,1981,52
man,1969,53
has,1963,54
then,1855,55
had,1812,56
so,1807,57
if,1689,58
no,1680,59
up,1639,60
like,1619,61
or,1574,62
did,1571,63
men,1527,64
us,1477,65
land,1467,66
because,1457,67
made,1450,68
come,1424,69
go,1421,70
her,1404,71
let,1391,72
day,1353,73
those,1288,74
these,1276,75
into,1254,76
went,1240,77
came,1185,78
our,1185,79
against,1178,80
an,1162,81
am,1136,82
make,1121,83
jesus,1098,84
father,1080,85
things,1067,86
give,1062,87
she,1061,88
also,1022,89
put,1012,90
sons,1009,91
may,999,92
down,981,93
away,965,94
take,963,95
know,956,96
david,954,97
over,949,98
must,928,99
say,927,100
about,913,101
place,910,102
house,900,103
before,880,104
children,880,105
holy,876,106
moses,876,107
its,853,108
gave,852,109
would,847,110
jerusalem,845,111
earth,827,112
good,826,113
two,807,114
judah,799,115
lord,795,116
city,783,117
o,779,118
see,779,119
every,768,120
time,766,121
after,763,122
should,758,123
now,752,124
name,749,125
hand,735,126
took,735,127
way,733,128
any,718,129
other,706,130
sent,705,131
back,703,132
which,698,133
among,697,134
where,697,135
bring,696,136
been,681,137
even,680,138
through,680,139
great,677,140
live,658,141
brought,652,142
saw,648,143
nations,646,144
how,642,145
days,633,146
own,630,147
temple,621,148
told,607,149
egypt,605,150
tell,604,151
offering,601,152
hundred,594,153
many,594,154
heard,592,155
can,589,156
life,589,157
says,587,158
shall,587,159
heart,584,160
left,583,161
evil,572,162
jehovah’s,571,163
done,566,164
word,561,165
christ,557,166
why,557,167
asked,556,168
does,555,169
eat,540,170
death,530,171
seven,529,172
answered,527,173
spirit,525,174
three,523,175
more,519,176
than,519,177
some,516,178
long,514,179
law,500,180
years,499,181
sin,498,182
again,492,183
each,492,184
priest,491,185
called,478,186
feet,476,187
thousand,476,188
water,476,189
set,469,190
priests,464,191
gold,457,192
right,457,193
heaven,456,194
until,455,195
given,454,196
fire,450,197
servant,447,198
another,442,199
first,438,200
words,430,201
spoke,423,202
brothers,421,203
israelites,418,204
speak,416,205
love,414,206
power,413,207
upon,413,208
listen,407,209
work,407,210
whom,406,211
only,401,212
killed,397,213
became,396,214
offerings,394,215
here,393,216
dead,390,217
cities,389,218
hands,388,219
old,384,220
altar,382,221
become,381,222
eyes,381,223
food,378,224
jacob,377,225
descendants,375,226
side,373,227
woman,370,228
tent,369,229
year,368,230
everything,366,231
hear,366,232
could,363,233
keep,363,234
saul,362,235
blood,359,236
without,359,237
never,357,238
sea,356,239
young,355,240
five,353,241
peace,353,242
very,353,243
same,351,244
glory,350,245
according,349,246
under,348,247
die,345,248
kings,345,249
yet,345,250
wife,344,251
silver,343,252
high,340,253
kingdom,340,254
wicked,339,255
get,338,256
around,337,257
together,336,258
four,332,259
servants,329,260
brother,327,261
near,323,262
family,322,263
living,322,264
while,322,265
nothing,318,266
just,313,267
off,313,268
army,311,269
night,311,270
righteous,310,271
commanded,309,272
faith,308,273
saying,308,274
twenty,308,275
found,307,276
aaron,306,277
help,304,278
rest,302,279
stand,302,280
presence,298,281
enemies,296,282
babylon,294,283
destroy,294,284
head,294,285
himself,293,286
turn,292,287
bread,290,288
grain,290,289
praise,289,290
tribe,289,291
therefore,288,292
drink,287,293
sins,287,294
river,286,295
world,285,296
look,284,297
person,284,298
lived,282,299
taken,281,300
turned,280,301
send,279,302
mother,277,303
well,277,304
wine,275,305
worship,275,306
country,274,307
gods,273,308
ground,273,309
mouth,273,310
died,272,311
find,272,312
face,271,313
daughter,270,314
