word,n,rank
eta,103,1
eskubidea,38,2
atala,30,3
du,27,4
edo,25,5
pertsona,23,6
orok,19,7
da,17,8
eskubide,16,9
ez,14,10
ere,13,11
izateko,13,12
dute,11,13
bai,9,14
gabe,9,15
giza,9,16
izango,9,17
aldarrikapen,8,18
askatasuna,8,19
bere,8,20
izanik,8,21
kontuan,8,22
ezingo,7,23
inor,7,24
nahiz,7,25
nazio,7,26
aske,6,27
baita,6,28
dela,6,29
gizarte,6,30
oinarrizko,6,31
aurka,5,32
diren,5,33
edozein,5,34
egiteko,5,35
ezta,5,36
gero,5,37
gizon,5,38
guztiek,5,39
honetan,5,40
kide,5,41
norbere,5,42
alde,4,43
aldian,4,44
arrazoirik,4,45
askatasun,4,46
aurkako,4,47
babesa,4,48
batuen,4,49
beste,4,50
den,4,51
eskubideak,4,52
eskubideen,4,53
gizakiaren,4,54
herrialdeko,4,55
izatekoa,4,56
jasotzeko,4,57
legez,4,58
nazioarteko,4,59
zaio,4,60
aldatzeko,3,61
arraza,3,62
artean,3,63
askatasunen,3,64
babes,3,65
baten,3,66
berbera,3,67
bidez,3,68
dago,3,69
denek,3,70
dira,3,71
direla,3,72
dutela,3,73
egingo,3,74
era,3,75
erlijio,3,76
erlijioa,3,77
estatu,3,78
ezar,3,79
familia,3,80
gizartearen,3,81
gizarteko,3,82
guztiak,3,83
hartzeko,3,84
helburu,3,85
herritartasuna,3,86
hezkuntza,3,87
hitz,3,88
hori,3,89
inori,3,90
izan,3,91
jo,3,92
lan,3,93
mailan,3,94
nortasuna,3,95
parte,3,96
ziurtatzeko,3,97
adierazitako,2,98
arabera,2,99
arian,2,100
arteko,2,101
askatasunak,2,102
aski,2,103
aukeratzekoa,2,104
auzitegi,2,105
bada,2,106
baino,2,107
bakarka,2,108
bakoitzaren,2,109
barne,2,110
bateko,2,111
batez,2,112
begirunea,2,113
bera,2,114
berberak,2,115
berdin,2,116
bereizkeriarik,2,117
besteren,2,118
betebeharrak,2,119
betetzeko,2,120
bidezko,2,121
bizitza,2,122
bizitzeko,2,123
boto,2,124
dadin,2,125
dagozkio,2,126
daitezen,2,127
delitu,2,128
dezaten,2,129
diezaioten,2,130
dituzten,2,131
duen,2,132
duintasun,2,133
egintzak,2,134
egiten,2,135
ekonomi,2,136
emakume,2,137
emakumeek,2,138
eman,2,139
epaiketan,2,140
eraginkorra,2,141
eraginkorrean,2,142
eraso,2,143
erizpideen,2,144
ezin,2,145
ezinbestekoa,2,146
garatzeko,2,147
guztien,2,148
guztiz,2,149
hau,2,150
hausten,2,151
herri,2,152
herrialde,2,153
hezkuntzaren,2,154
horien,2,155
horren,2,156
ikasketak,2,157
inolako,2,158
inoren,2,159
jendaurrean,2,160
laguntza,2,161
legezko,2,162
maila,2,163
mailako,2,164
mugak,2,165
mugarik,2,166
nornahik,2,167
ordena,2,168
orokorra,2,169
orori,2,170
pribatuan,2,171
sinesmena,2,172
taldean,2,173
1,1,174
10,1,175
11,1,176
12,1,177
13,1,178
14,1,179
15,1,180
16,1,181
17,1,182
18,1,183
19,1,184
2,1,185
20,1,186
21,1,187
22,1,188
23,1,189
24,1,190
25,1,191
26,1,192
27,1,193
28,1,194
29,1,195
3,1,196
30,1,197
4,1,198
5,1,199
6,1,200
7,1,201
8,1,202
9,1,203
adierazi,1,204
adieraziko,1,205
adierazpen,1,206
adierazpidez,1,207
adiskidetasunaren,1,208
aginduak,1,209
aginpidedunetan,1,210
agintearen,1,211
agirian,1,212
ahaleginaz,1,213
aisiarakoa,1,214
aitor,1,215
aitortzen,1,216
alabei,1,217
alarguntasuna,1,218
aldarrikatu,1,219
alderdikeriarik,1,220
amek,1,221
anker,1,222
antolaketa,1,223
aratzeko,1,224
ari,1,225
arruntek,1,226
arte,1,227
artelanez,1,228
asegurua,1,229
asetuta,1,230
askatasunaren,1,231
askatasunerako,1,232
askatasunez,1,233
askean,1,234
atsedenerako,1,235
atxilotu,1,236
aukera,1,237
aukeratutako,1,238
aukeratzeko,1,239
aurkitu,1,240
aurrean,1,241
aurrera,1,242
aurrerakuntza,1,243
aurrerakuntzan,1,244
autonomiarik,1,245
auzibideko,1,246
azaldu,1,247
azaldutako,1,248
azaltzeko,1,249
azken,1,250
aztertzeko,1,251
babestea,1,252
babesteko,1,253
baditu,1,254
baimen,1,255
bakarra,1,256
bakea,1,257
bakeak,1,258
bakean,1,259
baliabideak,1,260
baliatu,1,261
baliatzeko,1,262
balioan,1,263
barruan,1,264
basakeriak,1,265
bat,1,266
batek,1,267
batetik,1,268
bati,1,269
batuetako,1,270
batzar,1,271
baziren,1,272
begiratuko,1,273
begirune,1,274
behar,1,275
beharra,1,276
beharrean,1,277
beharreko,1,278
behartu,1,279
behintzat,1,280
beldur,1,281
benetako,1,282
beragatik,1,283
berari,1,284
berdinak,1,285
berdinez,1,286
berdintasun,1,287
berdintasunean,1,288
berdintasunez,1,289
bereizkeria,1,290
bereizkeriaren,1,291
bereziak,1,292
bereziko,1,293
berezko,1,294
berezkoa,1,295
bermatuko,1,296
bermatzen,1,297
berme,1,298
bertan,1,299
bestekoa,1,300
bestelako,1,301
bestetik,1,302
bezala,1,303
bide,1,304
bidezkoak,1,305
bilatu,1,306
biltzeko,1,307
bitartean,1,308
bitartez,1,309
bizibidea,1,310
bizilekua,1,311
bizimodu,1,312
bizitokia,1,313
borondate,1,314
borondatea,1,315
botere,1,316
bozketa,1,317
bultza,1,318
bultzatuko,1,319
