word,n,rank
ja,1627,1
oli,625,2
niin,230,3
että,228,4
ei,225,5
kun,221,6
olivat,218,7
on,200,8
päivän,194,9
joka,190,10
sen,181,11
vaan,176,12
se,162,13
kuin,147,14
eli,137,15
meidän,134,16
sekä,130,17
ne,115,18
olimme,114,19
me,113,20
aamulla,112,21
vielä,110,22
ollut,109,23
päivänä,109,24
vähän,107,25
jossa,105,26
jotka,103,27
saimme,103,28
kaikki,101,29
sitä,101,30
mutta,97,31
eteenpäin,93,32
koko,92,33
taas,92,34
sitte,91,35
jo,90,36
nyt,86,37
oikein,86,38
hän,84,39
he,84,40
hyvin,80,41
aina,78,42
myös,78,43
meitä,76,44
siellä,74,45
turkkilaiset,72,46
tässä,71,47
turkkilaisten,71,48
meille,69,49
niinkuin,69,50
täällä,68,51
jonka,67,52
sillä,66,53
tuli,66,54
olisi,65,55
jos,64,56
k:lo,64,57
saavuimme,63,58
minä,58,59
heidän,57,60
erään,56,61
jälestä,55,62
lähdimme,53,63
suomen,52,64
kylän,51,65
sinne,51,66
aikaa,50,67
kanssa,50,68
vaikka,50,69
yhtä,50,70
kyllä,49,71
h,48,72
hänen,48,73
mitä,48,74
tämä,47,75
myöskin,45,76
kaupungin,44,77
kohden,44,78
päin,44,79
samalla,44,80
aika,43,81
eräs,43,82
kello,43,83
niitä,43,84
olla,43,85
siitä,43,86
käskyn,42,87
kylään,42,88
marssimaan,42,89
paljon,42,90
erittäin,41,91
heti,41,92
muutamia,40,93
ovat,40,94
pojat,40,95
samassa,40,96
sentään,40,97
siinä,40,98
vastaan,40,99
kunnes,39,100
näin,39,101
pois,39,102
takaisin,39,103
tämän,39,104
eikä,38,105
jota,38,106
joulukuun,38,107
pitkin,38,108
siis,38,109
tammikuun,38,110
eivät,37,111
heitä,37,112
lokakuun,37,113
meidät,37,114
olleet,37,115
päivää,37,116
yli,36,117
ennen,35,118
ensin,35,119
josta,35,120
kuinka,35,121
sieltä,35,122
tähden,35,123
toiset,35,124
3,34,125
aivan,34,126
noin,34,127
puolen,34,128
vallan,34,129
itse,33,130
lähellä,33,131
marssittuamme,33,132
1,32,133
kaupunkiin,32,134
koska,32,135
melkein,32,136
ole,32,137
olikin,32,138
piti,32,139
2,31,140
ehtoolla,31,141
joita,31,142
monta,31,143
pataljona,31,144
siihen,31,145
toista,31,146
8,30,147
lähelle,30,148
marssimme,30,149
tätä,30,150
ainoastaan,29,151
helmikuun,29,152
k,29,153
keisari,29,154
muuta,29,155
silloin,29,156
täytyi,29,157
ajan,28,158
jotenkin,28,159
kaksi,28,160
kertaa,28,161
komppanian,28,162
m,28,163
mitään,28,164
näkyi,28,165
pataljonamme,28,166
pataljonan,28,167
venäjän,28,168
aikaan,27,169
asti,27,170
ilma,27,171
joista,27,172
juuri,27,173
marssia,27,174
sanoi,27,175
tähän,27,176
tällä,27,177
9,26,178
alas,26,179
jatkoimme,26,180
joku,26,181
meillä,26,182
perästä,26,183
tänne,26,184
turkin,26,185
6,25,186
ehtoopäivällä,25,187
joissa,25,188
näet,25,189
tästä,25,190
alkoi,24,191
jolloin,24,192
kenraali,24,193
kuitenkin,24,194
menimme,24,195
päälle,24,196
sitten,24,197
väliin,24,198
vettä,24,199
7,23,200
arvattavasti,23,201
ehkä,23,202
ilman,23,203
j.pp,23,204
kuului,23,205
niiden,23,206
paitsi,23,207
syyskuun,23,208
toinen,23,209
tulimme,23,210
balkanin,22,211
läpi,22,212
marssi,22,213
meikäläisten,22,214
niistä,22,215
suuri,22,216
tavalla,22,217
ylitse,22,218
herra,21,219
j.n.e,21,220
jälkeen,21,221
kävi,21,222
lävitse,21,223
marraskuun,21,224
matkaa,21,225
matkaamme,21,226
minun,21,227
monen,21,228
olette,21,229
virran,21,230
yksi,21,231
10,20,232
heille,20,233
leipää,20,234
mainittu,20,235
nimittäin,20,236
päästä,20,237
saada,20,238
saaneet,20,239
sanoen,20,240
suuriruhtinas,20,241
tulla,20,242
ennenkuin,19,243
erästä,19,244
hyvä,19,245
johon,19,246
joiden,19,247
mennä,19,248
miehet,19,249
nähdä,19,250
sai,19,251
sattui,19,252
seisoi,19,253
talon,19,254
turkkilaisia,19,255
ylös,19,256
yön,19,257
12,18,258
enää,18,259
eräälle,18,260
ihan,18,261
jumalan,18,262
kaartin,18,263
kahden,18,264
kaunis,18,265
lausui,18,266
paikalla,18,267
ulos,18,268
varsin,18,269
4,17,270
armeijan,17,271
ett'ei,17,272
gurko,17,273
kaiken,17,274
komppania,17,275
kylää,17,276
mainitun,17,277
missä,17,278
sentähden,17,279
tahi,17,280
tehdä,17,281
tulee,17,282
tuon,17,283
emme,16,284
erääsen,16,285
hiukan,16,286
huhtikuun,16,287
jälellä,16,288
kesti,16,289
komentaja,16,290
kulki,16,291
maata,16,292
miehen,16,293
pari,16,294
pysäytettiin,16,295
rautatien,16,296
teitä,16,297
telttamme,16,298
useampia,16,299
ympärillä,16,300
auringon,15,301
keisarin,15,302
kolme,15,303
kylä,15,304
mukaan,15,305
nämät,15,306
näytti,15,307
nikolai,15,308
päähän,15,309
päällikkö,15,310
paschan,15,311
pystytimme,15,312
satoi,15,313
tie,15,314
valmiina,15,315
vihollinen,15,316
y.m,15,317
22,14,318
23,14,319
edellä,14,320
hyvää,14,321
itseämme,14,322
jonkun,14,323
joukot,14,324
käsky,14,325
kautta,14,326
kerran,14,327
kylästä,14,328
kylmä,14,329
luona,14,330
majatalossa,14,331
mekin,14,332
miestä,14,333
mikä,14,334
moni,14,335
muka,14,336
näitä,14,337
no,14,338
olemaan,14,339
olen,14,340
olevan,14,341
päästyämme,14,342
pienen,14,343
rupesimme,14,344
sangen,14,345
siksi,14,346
sodan,14,347
sotamies,14,348
suuren,14,349
teidän,14,350
tulleet,14,351
5,13,352
asukkaat,13,353
gorny,13,354
johdosta,13,355
kaikuivat,13,356
kaptenimme,13,357
kukin,13,358
kuluttua,13,359
maahan,13,360
marmorameren,13,361
mies,13,362
n:o,13,363
niissä,13,364
översti,13,365
pieni,13,366
pimeä,13,367
saa,13,368
san,13,369
suomalaiset,13,370
tappelun,13,371
tappelussa,13,372
teimme,13,373
tultua,13,374
uudestaan,13,375
venäläisten,13,376
voineet,13,377
voinut,13,378
11,12,379
25,12,380
ainakin,12,381
ajalla,12,382
aleksander,12,383
alkoivat,12,384
antoi,12,385
asentopaikkaan,12,386
bremer,12,387
ett'emme,12,388
hyvän,12,389
jolla,12,390
jonne,12,391
käski,12,392
katsella,12,393
kuula,12,394
kuulat,12,395
kylässä,12,396
lähetettiin,12,397
lämmin,12,398
levolle,12,399
lunta,12,400
meidänkin,12,401
meni,12,402
milloin,12,403
minulle,12,404
mistä,12,405
muita,12,406
muun,12,407
näyttivät,12,408
nimiseen,12,409
nuotion,12,410
olisimme,12,411
pääsimme,12,412
pidettiin,12,413
pientä,12,414
ratsuväen,12,415
saivat,12,416
seisoimme,12,417
sodassa,12,418
sofian,12,419
suuria,12,420
tarkk'ampuja,12,421
tietä,12,422
tuntia,12,423
tuo,12,424
vasten,12,425
vieressä,12,426
vihollisen,12,427
viimein,12,428
vuoren,12,429
yöksi,12,430
15,11,431
18,11,432
alaspäin,11,433
asentopaikassa,11,434
edes,11,435
edestä,11,436
ensinkään,11,437
etuvartioiksi,11,438
häntä,11,439
kaarti,11,440
kaukana,11,441
kaupungissa,11,442
kenrali,11,443
kiitos,11,444
kovin,11,445
kuntoon,11,446
laaksoon,11,447
lopuksi,11,448
miehiä,11,449
mukava,11,450
muutaman,11,451
muuton,11,452
näimme,11,453
päivä,11,454
pitkä,11,455
plevnasta,11,456
puita,11,457
puoli,11,458
rannalle,11,459
samana,11,460
seurasi,11,461
sillan,11,462
soturin,11,463
suomalaisten,11,464
täältä,11,465
täynnä,11,466
teki,11,467
tulivat,11,468
vähällä,11,469
varten,11,470
vastasimme,11,471
virta,11,472
yhä,11,473
17,10,474
20,10,475
24,10,476
28,10,477
aikana,10,478
ajatellen,10,479
alle,10,480
ampua,10,481
antaa,10,482
astuimme,10,483
dolny,10,484
ensi,10,485
heillä,10,486
heistä,10,487
ikäänkuin,10,488
ilmaan,10,489
joihin,10,490
joukko,10,491
juoksi,10,492
kaunista,10,493
kuulia,10,494
mainion,10,495
mainitussa,10,496
mainitusta,10,497
maritza,10,498
meihin,10,499
mieheen,10,500
millään,10,501
minäkin,10,502
myöten,10,503
nimeltä,10,504
olipa,10,505
olleen,10,506
onnea,10,507
päässä,10,508
paikalle,10,509
pakkanen,10,510
pimeässä,10,511
pitää,10,512
pitkän,10,513
puolella,10,514
rauhan,10,515
rupesivat,10,516
saapui,10,517
saman,10,518
seuraavan,10,519
suinkin,10,520
suureen,10,521
tehnyt,10,522
tervehti,10,523
tien,10,524
tietää,10,525
tultuamme,10,526
tunnin,10,527
vaikea,10,528
venäläiset,10,529
virstaa,10,530
voi,10,531
vuorilla,10,532
yrjänän,10,533
14,9,534
1878,9,535
29,9,536
ääressä,9,537
ahkerasti,9,538
antoivat,9,539
asetettiin,9,540
asetuimme,9,541
e.pp,9,542
ehtoon,9,543
eivätkä,9,544
eläköön,9,545
en,9,546
ennenkin,9,547
esiin,9,548
ettei,9,549
hevoset,9,550
hyvät,9,551
ilmassa,9,552
itseänsä,9,553
itsensä,9,554
jokainen,9,555
juna,9,556
jutellen,9,557
kaatuneet,9,558
kaikista,9,559
kapteenimme,9,560
katuja,9,561
kauniilla,9,562
kauniita,9,563
kaupungista,9,564
kaupunki,9,565
kaupunkia,9,566
keitimme,9,567
kentällä,9,568
keskellä,9,569
kiini,9,570
kunnian,9,571
kuuluu,9,572
lähteä,9,573
lähti,9,574
leiriin,9,575
luokse,9,576
maantie,9,577
määrä,9,578
maassa,9,579
meistä,9,580
miesten,9,581
mihin,9,582
miten,9,583
muut,9,584
muutamat,9,585
myrsky,9,586
nuo,9,587
ohitse,9,588
olin,9,589
olisivat,9,590
ollaan,9,591
ollutkaan,9,592
p,9,593
päällä,9,594
päällikkömme,9,595
päälliköt,9,596
palamaan,9,597
panimme,9,598
plevnan,9,599
rintaman,9,600
rupesi,9,601
ruumiita,9,602
satoja,9,603
sinä,9,604
soturi,9,605
takaa,9,606
taloon,9,607
tavallista,9,608
te,9,609
toisten,9,610
tykki,9,611
vaatteitamme,9,612
välistä,9,613
vapaaherra,9,614
vasta,9,615
vietimme,9,616
ympäri,9,617
yöllä,9,618
16,8,619
26,8,620
30,8,621
äkkiä,8,622
alla,8,623
ampumaan,8,624
ankara,8,625
asetimme,8,626
edessä,8,627
edustalle,8,628
eräällä,8,629
eri,8,630
eteen,8,631
filippopolin,8,632
hiljalleen,8,633
hyvästi,8,634
järjestyksessä,8,635
jättäneet,8,636
joen,8,637
johonka,8,638
joilla,8,639
joukossa,8,640
jumala,8,641
kaikenlaisia,8,642
kaikkia,8,643
kannoimme,8,644
käskettiin,8,645
kauniin,8,646
kauvan,8,647
käydä,8,648
kiinni,8,649
komppaniaa,8,650
komppaniamme,8,651
konstantinopolin,8,652
korkeutensa,8,653
kovaa,8,654
kranaatit,8,655
kreivi,8,656
kuka,8,657
kuljimme,8,658
kunnia,8,659
kuoleman,8,660
laaksossa,8,661
leikkiä,8,662
maaliskuun,8,663
mahdollista,8,664
mainittuun,8,665
marssiamme,8,666
matkan,8,667
menemään,8,668
mitäs,8,669
mitenkä,8,670
mittaa,8,671
muuten,8,672
muuttaa,8,673
näyttää,8,674
neljä,8,675
nen,8,676
niillä,8,677
nuotiotulia,8,678
oltuamme,8,679
osman,8,680
ottaa,8,681
paenneet,8,682
pahoin,8,683
paikassa,8,684
pakoon,8,685
pastori,8,686
pataljoona,8,687
pihalla,8,688
pimeän,8,689
pimeydessä,8,690
ramsay,8,691
rannalla,8,692
rykmenttiä,8,693
sisään,8,694
soittokunta,8,695
sopi,8,696
soturien,8,697
suoraa,8,698
tahtoi,8,699
tarkasti,8,700
tarkk'ampujat,8,701
tilaisuudessa,8,702
toisen,8,703
toukokuun,8,704
tuhansia,8,705
tulisi,8,706
tullen,8,707
tuoden,8,708
tuolla,8,709
tykkien,8,710
vähäksi,8,711
vähänkin,8,712
vaimot,8,713
väkeä,8,714
valmiit,8,715
vasemmalle,8,716
virstan,8,717
yhden,8,718
yksin,8,719
1877,7,720
19,7,721
21,7,722
27,7,723
aikoina,7,724
alkaa,7,725
arab,7,726
armeija,7,727
asentopaikkaamme,7,728
donavan,7,729
dubniak'in,7,730
edustalla,7,731
eihän,7,732
enemmän,7,733
eräässä,7,734
eräästä,7,735
ett'eivät,7,736
etuvartiain,7,737
hauska,7,738
helsingistä,7,739
hurraahuudot,7,740
huutaa,7,741
hyviä,7,742
iso,7,743
ison,7,744
istuskelimme,7,745
jäivät,7,746
jälleen,7,747
jätimme,7,748
joskus,7,749
joten,7,750
joukkojen,7,751
joukon,7,752
jumalanpalvelus,7,753
kaatui,7,754
kantaa,7,755
kävimme,7,756
kiivaasti,7,757
kivärit,7,758
koettivat,7,759
kohdalle,7,760
kolmannen,7,761
komppaniasta,7,762
konstantinopolia,7,763
