word,n,rank
の,137,1
を,125,2
は,79,3
に,62,4
権利,53,5
及び,52,6
すべて,41,7
する,41,8
と,41,9
的,37,10
有する,36,11
な,33,12
人,31,13
条,30,14
第,30,15
自由,30,16
こと,27,17
又は,27,18
ない,26,19
も,23,20
し,19,21
れ,19,22
受ける,19,23
が,18,24
で,18,25
さ,16,26
社会,16,27
なら,15,28
この,14,29
ある,13,30
かつ,13,31
国,13,32
自己,12,33
いかなる,11,34
て,11,35
保護,11,36
その,10,37
た,10,38
によって,10,39
において,9,40
れる,9,41
国際,9,42
宣言,9,43
に対して,8,44
また,8,45
並びに,8,46
人権,8,47
何人,8,48
平等,8,49
教育,8,50
に対する,7,51
ので,7,52
法,7,53
者,7,54
け,6,55
として,6,56
による,6,57
ば,6,58
享有,6,59
保障,6,60
労働,6,61
完全,6,62
宗教,6,63
差別,6,64
目的,6,65
ため,5,66
でなければ,5,67
なく,5,68
もしくは,5,69
よう,5,70
ら,5,71
人間,5,72
促進,5,73
地域,5,74
婚姻,5,75
尊厳,5,76
生活,5,77
行為,5,78
連合,5,79
これ,4,80
ず,4,81
その他,4,82
により,4,83
ほしい,4,84
まま,4,85
下,4,86
世界,4,87
人民,4,88
他の,4,89
公平,4,90
制限,4,91
受け,4,92
国籍,4,93
基本,4,94
基礎,4,95
場合,4,96
尊重,4,97
政治,4,98
犯罪,4,99
発展,4,100
自国,4,101
間,4,102
これらの,3,103
じ,3,104
した,3,105
でき,3,106
できる,3,107
について,3,108
のみ,3,109
もつ,3,110
もの,3,111
われ,3,112
上,3,113
人格,3,114
人種,3,115
信念,3,116
個人,3,117
刑罰,3,118
加盟,3,119
同等,3,120
含む,3,121
奴隷,3,122
家庭,3,123
家族,3,124
干渉,3,125
平和,3,126
必要,3,127
意思,3,128
意見,3,129
手段,3,130
掲げる,3,131
法律,3,132
男女,3,133
義務,3,134
良心,3,135
財産,3,136
連,3,137
選挙,3,138
集団,3,139
非,3,140
あり,2,141
いずれ,2,142
え,2,143
から,2,144
き,2,145
しく,2,146
しな,2,147
っ,2,148
つて,2,149
における,2,150
に対し,2,151
ひと,2,152
もっぱら,2,153
わ,2,154
一般,2,155
与,2,156
中,2,157
人類,2,158
他国,2,159
公開,2,160
共同,2,161
共通,2,162
利益,2,163
努力,2,164
協力,2,165
単独,2,166
原則,2,167
友好,2,168
各,2,169
各国,2,170
否,2,171
問,2,172
国内,2,173
国民,2,174
地位,2,175
報酬,2,176
変更,2,177
失業,2,178
奪,2,179
子,2,180
定期,2,181
実現,2,182
属する,2,183
応,2,184
思想,2,185
成年,2,186
承認,2,187
投票,2,188
攻撃,2,189
文化,2,190
時に,2,191
普遍,2,192
有利,2,193
有罪,2,194
服,2,195
構成,2,196
正当,2,197
水準,2,198
求め,2,199
活動,2,200
独立,2,201
理解,2,202
確保,2,203
福祉,2,204
科学,2,205
秩序,2,206
管轄,2,207
精神,2,208
組織,2,209
結社,2,210
統治,2,211
総会,2,212
職業,2,213
肝要,2,214
行,2,215
行使,2,216
表明,2,217
裁判所,2,218
訴追,2,219
誓約,2,220
進歩,2,221
達成,2,222
選択,2,223
関係,2,224
10,1,225
11,1,226
12,1,227
13,1,228
14,1,229
15,1,230
16,1,231
17,1,232
18,1,233
19,1,234
1948.12.10,1,235
20,1,236
21,1,237
22,1,238
23,1,239
24,1,240
25,1,241
26,1,242
27,1,243
28,1,244
29,1,245
30,1,246
あ,1,247
あずかる,1,248
あっ,1,249
あらゆる,1,250
うち,1,251
おり,1,252
か,1,253
かかわり,1,254
けら,1,255
ここ,1,256
ことに,1,257
さらに,1,258
ずく,1,259
すべ,1,260
せ,1,261
そそのかす,1,262
それらの,1,263
たら,1,264
つくる,1,265
てい,1,266
なか,1,267
ながら,1,268
なし,1,269
なんらかの,1,270
にし,1,271
につく,1,272
に当たって,1,273
に従って,1,274
に関し,1,275
に際し,1,276
ふさわしい,1,277
まで,1,278
み,1,279
もし,1,280
もっとも,1,281
よって,1,282
より,1,283
られる,1,284
り,1,285
われる,1,286
をもって,1,287
を通じて,1,288
一員,1,289
一層,1,290
一般に,1,291
上の,1,292
不作為,1,293
不可抗力,1,294
不能,1,295
与える,1,296
両,1,297
主権,1,298
事由,1,299
互いに,1,300
人々,1,301
人道的,1,302
他人,1,303
代表,1,304
休息,1,305
休暇,1,306
伝える,1,307
余暇,1,308
作品,1,309
作為,1,310
価値,1,311
侵害,1,312
保持,1,313
信仰,1,314
信用,1,315
信託,1,316
健康,1,317
儀式,1,318
優先,1,319
児童,1,320
公,1,321
公務,1,322
公布,1,323
公的,1,324
内,1,325
再,1,326
最後,1,327
最高,1,328
出身,1,329
刑事,1,330
初等,1,331
初等教育,1,332
利用,1,333
到来,1,334
制度,1,335
前文,1,336
創作,1,337
加入,1,338
効果,1,339
医療,1,340
十分,1,341
単位,1,342
原因,1,343
去,1,344
参与,1,345
参加,1,346
反,1,347
反する,1,348
反逆,1,349
取扱,1,350
可能,1,351
合意,1,352
合理,1,353
同じ,1,354
同権,1,355
同胞,1,356
名誉,1,357
向上,1,358
否認,1,359
員,1,360
回国,1,361
固有,1,362
国境,1,363
国家,1,364
圧迫,1,365
基,1,366
基準,1,367
場所,1,368
境界,1,369
増進,1,370
売買,1,371
大きな,1,372
嫡出,1,373
安全,1,374
定め,1,375
実行,1,376
寛容,1,377
審理,1,378
専制,1,379
少なくとも,1,380
居住,1,381
屈辱,1,382
布教,1,383
帰る,1,384
常に,1,385
弁護,1,386
弟,1,387
強制,1,388
当,1,389
当事者,1,390
形,1,391
従事,1,392
心身,1,393
念頭,1,394
性,1,395
恐怖,1,396
恩恵,1,397
情報,1,398
憲法,1,399
憲章,1,400
成立,1,401
所有,1,402
手続,1,403
技術,1,404
拘禁,1,405
拷問,1,406
指導,1,407
授,1,408
採択,1,409
採用,1,410
推定,1,411
措置,1,412
援助,1,413
支配,1,414
救済,1,415
教科,1,416
文学,1,417
施設,1,418
時間,1,419
普通,1,420
有,1,421
有給,1,422
条件,1,423
権力,1,424
権限,1,425
機関,1,426
欠く,1,427
欠乏,1,428
正義,1,429
死亡,1,430
残虐,1,431
段階,1,432
母,1,433
民主,1,434
決定,1,435
決意,1,436
満たす,1,437
無償,1,438
無視,1,439
無罪,1,440
物質,1,441
特別,1,442
理性,1,443
生ずる,1,444
生まれながら,1,445
生命,1,446
疾病,1,447
皮膚,1,448
直接,1,449
相互,1,450
真正,1,451
破壊,1,452
確認,1,453
礼拝,1,454
禁止,1,455
私,1,456
私事,1,457
秘密,1,458
移転,1,459
種類,1,460
立ち,1,461
立証,1,462
等,1,463
組合,1,464
経済,1,465
維持,1,466
置,1,467
美術,1,468
老齢,1,469
能力,1,470
自治,1,471
自然,1,472
自身,1,473
色,1,474
芸術,1,475
苦役,1,476
行う,1,477
行事,1,478
行動,1,479
衣食住,1,480
表現,1,481
裁判,1,482
補充,1,483
要求,1,484
規定,1,485
親,1,486
解消,1,487
解釈,1,488
言語,1,489
言論,1,490
訴える,1,491
認め,1,492
認める,1,493
課,1,494
諸,1,495
諸国,1,496
譲る,1,497
負う,1,498
責任,1,499
資源,1,500
越える,1,501
踏,1,502
身体,1,503
軽侮,1,504
迫害,1,505
追放,1,506
通信,1,507
逮捕,1,508
道徳,1,509
違反,1,510
適用,1,511
遵守,1,512
選出,1,513
避難,1,514
配偶,1,515
重い,1,516
重要,1,517
野蛮,1,518
鑑賞,1,519
門地,1,520
開放,1,521
障害,1,522
集会,1,523
願望,1,524
類する,1,525
高等教育,1,526
