word,n,rank
ನಿಬಂಧನೆ,30,1
ಪ್ರತಿಯೊಬ್ಬನಿಗೂ,30,2
ಮತ್ತು,25,3
ಅಥವಾ,20,4
ತನ್ನ,19,5
ಹಕ್ಕುಂಟು,19,6
ಈ,17,7
ಯಾವ,14,8
ಹಾಗೂ,13,9
ಹಕ್ಕು,10,10
ಎಲ್ಲಾ,8,11
ಆದ,7,12
ಉಂಟು,7,13
ಬಾಧ್ಯತೆಯುಂಟು,7,14
ಮಾನವ,7,15
ಯಾವನನ್ನೂ,7,16
ಇಚ್ಛಾನುಸಾರವಾಗಿ,5,17
ಮೂಲ,5,18
ರಾಷ್ಟ್ರಗಳ,5,19
ಅವನ,4,20
ತಮ್ಮ,4,21
ರಾಷ್ಟ್ರೀಯ,4,22
ಶಿಕ್ಷಣವು,4,23
ಶಿಕ್ಷಾರ್ಹವಾದ,4,24
ಸಮಾನ,4,25
ಸಾಮಾಜಿಕ,4,26
ಸಾರ್ವಜನಿಕ,4,27
ಸ್ವಾತಂತ್ರ್ಯಗಳನ್ನೂ,4,28
ಹಕ್ಕುಗಳನ್ನು,4,29
ಇತರ,3,30
ಕೇವಲ,3,31
ಪಡೆಯಲೂ,3,32
ಪ್ರಪಂಚದಲ್ಲಿ,3,33
ಬಾಧ್ಯತೆ,3,34
ಮೇಲೆ,3,35
ಯಾವುದೋ,3,36
ವಿಶ್ವಾಸವನ್ನೂ,3,37
ವ್ಯಕ್ತಿತ್ವದ,3,38
ಸಂಪೂರ್ಣ,3,39
ಸಮಾಜ,3,40
ಸಮಾಜದ,3,41
ಸಾರ್ವತ್ರಿಕ,3,42
ಸ್ವಾತಂತ್ರ್ಯಗಳ,3,43
ಸ್ವಾತಂತ್ರ್ಯಗಳಿಗೂ,3,44
ಸ್ವಾತಂತ್ರ್ಯವನ್ನೂ,3,45
ಹಕ್ಕನ್ನು,3,46
ಹಕ್ಕುಗಳನ್ನೂ,3,47
ಹಕ್ಕುಗಳಿಗೂ,3,48
ಅಂತರರಾಷ್ಟ್ರೀಯ,2,49
ಅದರ,2,50
ಅನ್ಯ,2,51
ಅಪರಾಧವನ್ನು,2,52
ಅವರು,2,53
ಅವುಗಳ,2,54
ಇತರರೊಡಗೂಡಿಯೂ,2,55
ಇದು,2,56
ಇಲ್ಲದೆ,2,57
ಉಲ್ಲಂಘಿಸುವ,2,58
ಎಲ್ಲರಿಗೂ,2,59
ಒಳಗೊಂಡಿದೆ,2,60
ಕಾನೂನಿನ,2,61
ಕಾನೂನಿನಿಂದ,2,62
ಕುಟುಂಬದ,2,63
ಕೊನೆಯ,2,64
ಜಾತಿ,2,65
ತಪ್ಪಿಸಲಾಗದು,2,66
ದೇಶದ,2,67
ಪಡೆದಿದ್ದಾರೆ,2,68
ಪಡೆಯಲು,2,69
ಪಡೆಯುವ,2,70
ಪದ್ಧತಿಯಲ್ಲಿಯೇ,2,71
ಪಾಲುಗೊಳ್ಳಲು,2,72
ಪ್ರಕಟನೆ,2,73
ಪ್ರಕಟನೆಯನ್ನು,2,74
ಪ್ರಕಟನೆಯಲ್ಲಿ,2,75
ಪ್ರಜೆಗಳಲ್ಲಿಯೂ,2,76
ಪ್ರತಿ,2,77
ಪ್ರಾಥಮಿಕ,2,78
ಬದಲಾಯಿಸುವ,2,79
ಬಾಧ್ಯತೆಗಳ,2,80
ಬೆಳವಣಿಗೆಯನ್ನು,2,81
ಮತದ,2,82
ಮತದಾನಮಾಡುವ,2,83
ಮತವನ್ನಾಗಲಿ,2,84
ಮಧ್ಯಸ್ಥಿಕೆ,2,85
ಮನುಷ್ಯ,2,86
ಮನ್ನಣೆಯನ್ನು,2,87
ಮಾಡಿದ,2,88
ಮಾನವನ,2,89
ಮೂಲಕವೂ,2,90
ಯಾವುದಾದರೂ,2,91
ಯಾವುದೇ,2,92
ಯುಕ್ತರಾಷ್ಟ್ರಗಳ,2,93
ರಾಷ್ಟ್ರದ,2,94
ರೀತಿಯ,2,95
ವಿರೋಧವಾಗಿಯೂ,2,96
ವಿವಾಹ,2,97
ವಿಶ್ವಾಸವನ್ನಾಗಲಿ,2,98
ವಿಷಯದಲ್ಲಿ,2,99
ಸಂದರ್ಭಗಳಲ್ಲಿಯೂ,2,100
ಸಮಕ್ಷಮದಲ್ಲಿ,2,101
ಸಮಯದಲ್ಲಿ,2,102
ಸಂಯುಕ್ತ,2,103
ಸಾಮಾನ್ಯ,2,104
ಸಾಂಸ್ಕೃತಿಕ,2,105
ಸ್ವತಂತ್ರವಾಗಿ,2,106
ಸ್ವಾತಂತ್ರ್ಯಗಳಿಗೆ,2,107
ಸ್ವಾತಂತ್ರ್ಯದ,2,108
ಹೊಂದಲು,2,109
ಹೊಂದಲೂ,2,110
೧,1,111
೧೦,1,112
೧೧,1,113
೧೨,1,114
೧೩,1,115
೧೪,1,116
೧೫,1,117
೧೬,1,118
೧೭,1,119
೧೮,1,120
೧೯,1,121
೨,1,122
೨೦,1,123
೨೧,1,124
೨೨,1,125
೨೩,1,126
೨೪,1,127
೨೫,1,128
೨೬,1,129
೨೭,1,130
೨೮,1,131
೨೯,1,132
೩,1,133
೩೦,1,134
೪,1,135
೫,1,136
೬,1,137
೭,1,138
೮,1,139
೯,1,140
ಅಗತ್ಯವಾಗಿರುವುದರಿಂದಲೂ,1,141
ಅಗತ್ಯವಾದ,1,142
ಅಗತ್ಯವಿದ್ದ,1,143
ಅಗತ್ಯವಿದ್ದಲ್ಲಿ,1,144
ಅಂಗವೂ,1,145
ಅಂಗೀಕರಿಸುವುದು,1,146
ಅಂಗೀಕಾರ,1,147
ಅಂಗೀಕಾರವನ್ನೂ,1,148
ಅಂಜಿಕೆ,1,149
ಅಂತಃಕರಣಗಳನ್ನು,1,150
ಅಂತಃಕರಣದ,1,151
ಅಂತಃಕರಣವನ್ನು,1,152
ಅಂತರ,1,153
ಅಂತರರಾಷ್ಟ್ರದ,1,154
ಅಂತರರಾಷ್ಟ್ರೀಯವೂ,1,155
ಅಂತಹ,1,156
ಅತಿಮುಖ್ಯವಾಗಿರುವುದರಿಂದಲೂ,1,157
ಅತ್ಯಗತ್ಯವಾಗಿರುವುದರಿಂದಲೂ,1,158
ಅತ್ಯಗತ್ಯವಾದ,1,159
ಅಂಥಾ,1,160
ಅದಾಯಗಳನ್ನು,1,161
ಅಧಿಕಾರದ,1,162
ಅಧೀನನಾಗಿರಬೇಕು,1,163
ಅಧೀನವಾದುದಾಗಿರಲಿ,1,164
ಅನನ್ಯಹಾರ್ಯವೂ,1,165
ಅನುಕೂಲವಾದ,1,166
ಅನುಭವಿಸ,1,167
ಅನುಭವಿಸುವವು,1,168
ಅನುಭವಿಸುವವೋ,1,169
ಅನುಭೋಗಿಸಲೂ,1,170
ಅನುಷ್ಠಾನದಲ್ಲಿ,1,171
ಅನುಷ್ಠಾನವನ್ನೂ,1,172
ಅನುಸಂಧಾನಗೊಳ್ಳಲು,1,173
ಅನ್ಟೇಷಿಸಲೂ,1,174
ಅನ್ನ,1,175
ಅನ್ಯರು,1,176
ಅನ್ಯಾಭಿಪ್ರಾಯ,1,177
ಅನ್ವೇಷಣಗೈವ,1,178
