word,n,rank
და,103,1
უფლება,40,2
აქვს,32,3
მუხლი,30,4
ადამიანს,29,5
ყოველ,28,6
უნდა,20,7
თუ,16,8
არ,15,9
მისი,14,10
ყველა,14,11
ამ,12,12
უფლებათა,12,13
იყოს,11,14
ან,10,15
თავისი,9,16
თავისუფლებათა,9,17
როგორც,8,18
ადამიანის,7,19
არავის,7,20
ვინაიდან,7,21
საყოველთაო,7,22
შეიძლება,7,23
ადამიანი,6,24
ისეთი,6,25
რაიმე,6,26
სხვა,6,27
ყოველი,6,28
ანდა,5,29
აუცილებელია,5,30
გაერთიანებული,5,31
განათლება,5,32
დაცული,5,33
ერების,5,34
ეს,5,35
თავისუფალი,5,36
იმ,5,37
იქნეს,5,38
კანონის,5,39
რელიგიის,5,40
რომლებიც,5,41
საერთაშორისო,5,42
საზოგადოების,5,43
სოციალური,5,44
ხელი,5,45
გარეშე,4,46
თავისუფლებას,4,47
თავისუფლებისა,4,48
ისეთ,4,49
მეშვეობით,4,50
მისთვის,4,51
ნაციონალური,4,52
ორგანიზაციის,4,53
რომელიც,4,54
რომლის,4,55
რწმენის,4,56
საფუძველზე,4,57
სრული,4,58
ყოველგვარი,4,59
ასევე,3,60
აქვთ,3,61
აღიარება,3,62
დეკლარაციაში,3,63
დროს,3,64
თავისუფლად,3,65
თანაბრად,3,66
თანასწორი,3,67
თვითნებურად,3,68
იმის,3,69
მიერ,3,70
მიმართ,3,71
მინიჭებული,3,72
მონაწილეობდეს,3,73
მხოლოდ,3,74
პიროვნების,3,75
რათა,3,76
რომ,3,77
რომელსაც,3,78
როცა,3,79
სახელმწიფო,3,80
სახელმწიფოს,3,81
სოციალურ,3,82
ქვეყნის,3,83
ღირსების,3,84
შემთხვევაში,3,85
შეუწყოს,3,86
შრომის,3,87
ძირითადი,3,88
წარმოადგენს,3,89
ადამიანთა,2,90
ასეთი,2,91
ბინის,2,92
გაგებას,2,93
გამოყენებული,2,94
განათლების,2,95
განვითარებისათვის,2,96
განურჩევლად,2,97
განხორციელება,2,98
დადგენილი,2,99
დაუბრკოლებლად,2,100
დაცვით,2,101
დაცვის,2,102
დაწყებითი,2,103
დეკლარაციას,2,104
დისკრიმინაციის,2,105
ერთად,2,106
ერთნაირი,2,107
ერთპიროვნულად,2,108
ეძიოს,2,109
თავიანთი,2,110
თავის,2,111
თავისუფლება,2,112
თავისუფლების,2,113
თვითნებური,2,114
თვითონ,2,115
იგი,2,116
იმყოფებოდეს,2,117
ის,2,118
ისინი,2,119
კეთილდღეობის,2,120
კულტურულ,2,121
მათ,2,122
მთლიანად,2,123
მიზნებსა,2,124
მის,2,125
მოიცავს,2,126
მოქალაქეობის,2,127
მშვიდობის,2,128
ნება,2,129
ოჯახი,2,130
ოჯახის,2,131
პირობებში,2,132
პოლიტიკური,2,133
პრინციპებს,2,134
პროფესიული,2,135
რა,2,136
რასის,2,137
რომელშიც,2,138
სამართლიანი,2,139
სამართლიანობის,2,140
სარგებლობდეს,2,141
საფუძველს,2,142
სახის,2,143
საჯარო,2,144
სხვებთან,2,145
უზრუნველყოფის,2,146
უფლებები,2,147
უფლებებით,2,148
უფლების,2,149
ქორწინებაში,2,150
შევიდეს,2,151
შესანარჩუნებლად,2,152
შესაძლებელია,2,153
შეუწყონ,2,154
შეცვლისა,2,155
შორის,2,156
ჩადენა,2,157
ჩადენის,2,158
ჩათვლით,2,159
ჩამოერთვას,2,160
ცხოვრებაში,2,161
ცხოვრების,2,162
ძირითად,2,163
წინაშე,2,164
ხალხებში,2,165
ხალხის,2,166
ხელშეუხებლობის,2,167
ჰქონდეს,2,168
1,1,169
10,1,170
11,1,171
12,1,172
13,1,173
14,1,174
15,1,175
16,1,176
17,1,177
18,1,178
19,1,179
2,1,180
20,1,181
21,1,182
22,1,183
23,1,184
24,1,185
25,1,186
26,1,187
27,1,188
28,1,189
29,1,190
3,1,191
30,1,192
4,1,193
5,1,194
6,1,195
7,1,196
8,1,197
9,1,198
აბუჩად,1,199
აგდებამ,1,200
აგრეთვე,1,201
ადამიანებს,1,202
ადამიანურ,1,203
ადამისანის,1,204
ადგილს,1,205
ადგილსამყოფელს,1,206
ადმიანის,1,207
ავადმყოფობის,1,208
ავტორს,1,209
აზრის,1,210
ათა,1,211
აირჩიონ,1,212
აკრძალულია,1,213
ამისა,1,214
ამოცანად,1,215
ანაზღაურებისა,1,216
ანაზღაურებული,1,217
არაადამიანური,1,218
არავინ,1,219
არათვითმმართველი,1,220
არაპოლიტიკური,1,221
არაფერი,1,222
არვითარ,1,223
არის,1,224
არსებობას,1,225
არსებობის,1,226
არჩევის,1,227
არჩევნებში,1,228
არჩეულ,1,229
ასაკი,1,230
ასამბლეა,1,231
ასეთ,1,232
ასოციაციაში,1,233
ასოციაციების,1,234
ატივისცემასა,1,235
აქტები,1,236
აღაშფოთებს,1,237
აღდგენილი,1,238
აღიარებულ,1,239
აღმსარებლობისა,1,240
აცხადებს,1,241
აჯანყებას,1,242
ბავშვი,1,243
ბარბაროსული,1,244
ბრალად,1,245
ბრალდების,1,246
ბუნებრივი,1,247
გაავრცელოს,1,248
გაარჩიოს,1,249
გადაწყვიტეს,1,250
გადიდებისაკენ,1,251
გაითვალისწინებს,1,252
გამგეობაში,1,253
გამო,1,254
გამოთქმისა,1,255
გამოიწვია,1,256
გამოიხატებოდეს,1,257
გამოყენებულ,1,258
გამოცხადებული,1,259
გამოცხადებულია,1,260
განათლებამ,1,261
განათლებაც,1,262
განახორციელოს,1,263
