word,n,rank
모든,44,1
권리를,34,2
가진다,33,3
사람은,31,4
제,30,5
조,30,6
또는,28,7
대한,18,8
및,12,9
받을,12,10
권리와,11,11
자신의,10,12
아니한다,9,13
어떠한,9,14
이러한,9,15
그리고,8,16
누구도,8,17
어느,8,18
이,8,19
수,7,20
자유를,7,21
자유에,7,22
그,6,23
대하여,6,24
동등한,6,25
한다,6,26
다른,5,27
보호를,5,28
사회적,5,29
있는,5,30
것이,4,31
국가,4,32
국제연합의,4,33
기본적,4,34
선언에,4,35
위하여,4,36
위한,4,37
의하여,4,38
자유와,4,39
통하여,4,40
관계없이,3,41
교육은,3,42
국적을,3,43
국제적,3,44
권리가,3,45
권리는,3,46
규정된,3,47
따라,3,48
목적과,3,49
사람과,3,50
신념을,3,51
아니된다,3,52
없이,3,53
완전한,3,54
인종,3,55
있다,3,56
있어,3,57
자신과,3,58
자유,3,59
자의적으로,3,60
존엄과,3,61
종교,3,62
포함하여,3,63
필요한,3,64
가능하여야,2,65
가질,2,66
각,2,67
강요받지,2,68
경우에,2,69
공동으로,2,70
공통의,2,71
교육을,2,72
국가의,2,73
국민들,2,74
권리에,2,75
그의,2,76
근거하여,2,77
기타의,2,78
누릴,2,79
단독으로,2,80
동일한,2,81
또한,2,82
박탈당하지,2,83
받지,2,84
발전과,2,85
범죄,2,86
법,2,87
법에,2,88
법의,2,89
변경할,2,90
보다,2,91
비호를,2,92
사회의,2,93
생활수준을,2,94
세계의,2,95
아동은,2,96
앞에,2,97
양심을,2,98
어떤,2,99
영토의,2,100
완전히,2,101
원칙에,2,102
유리한,2,103
유죄로,2,104
의한,2,105
이익을,2,106
인간은,2,107
인간의,2,108
인간이,2,109
인격의,2,110
인권과,2,111
자격이,2,112
자유가,2,113
자유로운,2,114
자유롭고,2,115
재산을,2,116
정당하고,2,117
정치적,2,118
차별이,2,119
평화의,2,120
포함한다,2,121
필수적이며,2,122
하기,2,123
하는,2,124
할,2,125
행위시에,2,126
향유할,2,127
1,1,128
10,1,129
11,1,130
12,1,131
13,1,132
14,1,133
15,1,134
16,1,135
17,1,136
18,1,137
19,1,138
2,1,139
20,1,140
21,1,141
22,1,142
23,1,143
24,1,144
25,1,145
26,1,146
27,1,147
28,1,148
29,1,149
3,1,150
30,1,151
4,1,152
5,1,153
6,1,154
7,1,155
8,1,156
9,1,157
가담하거나,1,158
가입할,1,159
가장,1,160
가정,1,161
가정은,1,162
가정을,1,163
가족에게,1,164
가족의,1,165
가지며,1,166
가치,1,167
간섭없이,1,168
간섭을,1,169
간섭이나,1,170
강화를,1,171
같은,1,172
개인과,1,173
개인에게,1,174
개인이,1,175
거주의,1,176
건강과,1,177
것으로,1,178
것을,1,179
격분시키는,1,180
견해,1,181
결사에,1,182
결사의,1,183
결성하고,1,184
결정에,1,185
결핍으로부터의,1,186
결핍의,1,187
경멸이,1,188
경우에는,1,189
경우에도,1,190
경제적,1,191
계,1,192
고등교육은,1,193
고문,1,194
공개,1,195
공개된,1,196
공공질서,1,197
공동체에,1,198
공동체의,1,199
공무담임권을,1,200
공유할,1,201
공적으로,1,202
공정하고,1,203
공평한,1,204
공포와,1,205
과학의,1,206
과학적,1,207
관용,1,208
관할,1,209
교육의,1,210
구금,1,211
구성원의,1,212
구성하지,1,213
구제를,1,214
구하거나,1,215
국가가,1,216
국가간에,1,217
국가적,1,218
국경에,1,219
국내법,1,220
국내법정에서,1,221
국내적,1,222
국민의,1,223
국적,1,224
국제법에,1,225
국제연합과,1,226
국제연합총회는,1,227
국제적인,1,228
굴욕적인,1,229
권,1,230
권능의,1,231
권리,1,232
권리들을,1,233
권한있는,1,234
규정도,1,235
그들은,1,236
그러한,1,237
그에,1,238
금지된다,1,239
기관이,1,240
기반이다,1,241
기소된,1,242
기술,1,243
기준으로서,1,244
기초단계에서는,1,245
기초이며,1,246
기초적인,1,247
기타,1,248
나라를,1,249
나라에서,1,250
나아가,1,251
나은,1,252
남녀는,1,253
남녀의,1,254
노동,1,255
노동시간의,1,256
노동에,1,257
노동을,1,258
노동조합을,1,259
노력과,1,260
노력하도록,1,261
노력하며,1,262
노령,1,263
노예매매는,1,264
노예상태,1,265
노예제도와,1,266
놓여지지,1,267
누린다,1,268
다짐하였고,1,269
단위이며,1,270
당연히,1,271
대표를,1,272
대항하는,1,273
더,1,274
도덕,1,275
도래가,1,276
독립국,1,277
독립적이며,1,278
돌아올,1,279
동등하게,1,280
동등하고,1,281
동등하다,1,282
동의하에서만,1,283
되지,1,284
따라서,1,285
따른,1,286
때까지,1,287
때부터,1,288
떠날,1,289
마지막,1,290
만행을,1,291
매체를,1,292
명성에,1,293
명예와,1,294
목적을,1,295
목표로,1,296
무거운,1,297
무상이어야,1,298
무시와,1,299
무죄로,1,300
문,1,301
문학적,1,302
문화생활에,1,303
문화적,1,304
물질적,1,305
민족적,1,306
민주사회의,1,307
박해를,1,308
반란을,1,309
받거나,1,310
받느냐에,1,311
받는다,1,312
발생하는,1,313
발전에,1,314
발전을,1,315
발전할,1,316
배우자,1,317
배우자들의,1,318
범죄를,1,319
법률에,1,320
법률이,1,321
법적,1,322
법정에서,1,323
변호에,1,324
보수를,1,325
보수에,1,326
보장된,1,327
보장을,1,328
보장하며,1,329
보충되는,1,330
보통,1,331
보편적,1,332
보편적이고,1,333
보호되어야,1,334
보호받을,1,335
보호와,1,336
보호의,1,337
보호하기,1,338
복리에,1,339
부과되지,1,340
부모는,1,341
부여받았으며,1,342
부여한,1,343
부응하기,1,344
부인되지,1,345
부작위를,1,346
부합하는,1,347
불가결한,1,348
불가항력의,1,349
비난에,1,350
비난을,1,351
비밀,1,352
비인도적이거나,1,353
비자치지역이거나,1,354
비정치적,1,355
뿐만,1,356
사람들은,1,357
사람들의,1,358
사람에게,1,359
사람의,1,360
사망,1,361
사상,1,362
사상을,1,363
사생활,1,364
사이에서,1,365
사적으로,1,366
사회,1,367
사회보장방법으로,1,368
사회보장을,1,369
사회복지를,1,370
사회와,1,371
산물로부터,1,372
상당한,1,373
상황으로,1,374
생계,1,375
생명과,1,376
생존을,1,377
서로,1,378
서약의,1,379
서약하였으며,1,380
선,1,381
선거권에,1,382
선거에,1,383
선교,1,384
선동으로부터,1,385
선언을,1,386
선언의,1,387
선출된,1,388
선택,1,389
선택할,1,390
선포한다,1,391
성,1,392
성립된다,1,393
성인,1,394
성취하여야,1,395
세,1,396
세계인권선언을,1,397
소유할,1,398
속한,1,399
수단으로서,1,400
스스로,1,401
신분과,1,402
신앙의,1,403
신체의,1,404
신탁통치지역,1,405
실력에,1,406
실업,1,407
실업에,1,408
실현될,1,409
실현할,1,410
실효성,1,411
아니라,1,412
아니하는,1,413
아니하며,1,414
아무런,1,415
안녕에,1,416
안에서만,1,417
안전에,1,418
않으려면,1,419
양도할,1,420
양심,1,421
어디에서나,1,422
어머니와,1,423
억압에,1,424
언,1,425
언론과,1,426
언어,1,427
얻으며,1,428
없는,1,429
없다,1,430
여가의,1,431
여타의,1,432
열망으로서,1,433
영토가,1,434
예배,1,435
예속상태에,1,436
예술을,1,437
예술적,1,438
완전하게,1,439
왔으며,1,440
우선권을,1,441
우의를,1,442
우호관계의,1,443
위반되는,1,444
위배되는,1,445
위배되어,1,446
위해서만,1,447
유급휴가를,1,448
유념하면서,1,449
유지를,1,450
의견을,1,451
의견의,1,452
의료,1,453
의무,1,454
의무를,1,455
의무적이어야,1,456
의사가,1,457
의사는,1,458
의식에,1,459
의식주,1,460
이동,1,461
이룰,1,462
이성과,1,463
이에,1,464
이유로,1,465
이해,1,466
이해가,1,467
이행을,1,468
인,1,469
인간으로서,1,470
인격이,1,471
인권,1,472
인권에,1,473
인권이,1,474
인류,1,475
인류의,1,476
인식되고,1,477
인정받을,1,478
인정하고,1,479
인정하는,1,480
인하여,1,481
인한,1,482
일,1,483
일반적,1,484
일반적으로,1,485
일원으로서,1,486
일으키도록,1,487
입증될,1,488
있도록,1,489
있어서는,1,490
있었던,1,491
자국내에서,1,492
자국에서,1,493
자국으로,1,494
자국을,1,495
자국의,1,496
자녀에게,1,497
자신에,1,498
자신이,1,499
자연적이고,1,500
자원에,1,501
자유는,1,502
자유로우며,1,503
자유로이,1,504
자유롭게,1,505
자유속에서,1,506
자유의,1,507
자의적인,1,508
작위,1,509
잔혹하거나,1,510
장래,1,511
장애,1,512
재산,1,513
재판에서,1,514
재판을,1,515
재확인하였으며,1,516
적서에,1,517
적용될,1,518
적합한,1,519
전,1,520
전달하는,1,521
점진적,1,522
접근,1,523
접근이,1,524
정기적이고,1,525
정기적인,1,526
정당한,1,527
정보와,1,528
정부,1,529
정부에,1,530
정신으로,1,531
정신적,1,532
정의,1,533
정하여진,1,534
제공되는,1,535
제약을,1,536
제한과,1,537
제한도,1,538
제한을,1,539
조건,1,540
조직과,1,541
조치를,1,542
존엄성과,1,543
존엄에,1,544
존중과,1,545
존중을,1,546
존중의,1,547
존중하도록,1,548
종교나,1,549
종교에,1,550
종교의,1,551
종류를,1,552
종류의,1,553
주거,1,554
주권에,1,555
주장될,1,556
준수되도록,1,557
준수를,1,558
중요하므로,1,559
증진하기,1,560
증진하기로,1,561
증진하는,1,562
증진하며,1,563
증진할,1,564
지고한,1,565
지원을,1,566
지위에,1,567
직업교육은,1,568
직업의,1,569
직접,1,570
진보와,1,571
진실로,1,572
진정한,1,573
질병,1,574
질서에,1,575
집단,1,576
집단간에,1,577
집회,1,578
차별과,1,579
차별도,1,580
차별없이,1,581
차별의,1,582
참여하도록,1,583
참여하며,1,584
참여할,1,585
창작한,1,586
처우,1,587
천명되어,1,588
천부의,1,589
천부적으로,1,590
체포,1,591
초등,1,592
초등교육은,1,593
초래하였으며,1,594
촉진하여야,1,595
최소한,1,596
추구하고,1,597
추방되지,1,598
추정받을,1,599
출생,1,600
출신,1,601
침해하는,1,602
태어날,1,603
통신에,1,604
통치에,1,605
통해서도,1,606
투표절차에,1,607
특별한,1,608
파괴하기,1,609
평등,1,610
평등하게,1,611
평등하며,1,612
평화적인,1,613
폭넓은,1,614
폭정과,1,615
표명하는,1,616
표현된다,1,617
표현의,1,618
피부색,1,619
피하여,1,620
필요에,1,621
하며,1,622
학습,1,623
합리적,1,624
항상,1,625
해석되어서는,1,626
행동하여야,1,627
행사,1,628
행사되어서는,1,629
행사함에,1,630
행위로,1,631
행위를,1,632
행위에,1,633
향유하고,1,634
헌법,1,635
헌장에서,1,636
혐의에,1,637
협력을,1,638
협력하여,1,639
형벌보다,1,640
형벌을,1,641
형벌이,1,642
형사상,1,643
형사피의자는,1,644
형제애의,1,645
형태의,1,646
혜택을,1,647
혼인기간중,1,648
혼인에,1,649
혼인은,1,650
혼인하고,1,651
혼인해소시에,1,652
활동에,1,653
활동을,1,654
회원국,1,655
회원국들은,1,656
효과적으로,1,657
휴식과,1,658
