word,n,rank
kini,19,1
fi,18,2
ga,13,3
aka,11,4
hano,8,5
o,8,6
malav,6,7
ke,5,8
ruima,5,9
va,5,10
ana,4,11
enam,4,12
fin,4,13
haure,4,14
la,4,15
mina,4,16
mola,4,17
na,4,18
ahourenun,3,19
akari,3,20
ena,3,21
fiv,3,22
foiga,3,23
foina,3,24
hi,3,25
hiv,3,26
kusuvau,3,27
laemege,3,28
le,3,29
lome,3,30
ngoa,3,31
ngohaure,3,32
omol,3,33
osooso,3,34
roge,3,35
ta,3,36
tagoila,3,37
vau,3,38
vona,3,39
aham,2,40
amalukari,2,41
amare,2,42
aunione,2,43
felelam,2,44
feo,2,45
fo'foira,2,46
heaka,2,47
hin,2,48
hivel,2,49
hona,2,50
ikari,2,51
karumulun,2,52
kegu,2,53
kiolen,2,54
komoril,2,55
koro,2,56
leo,2,57
lever,2,58
mafifi,2,59
mavo,2,60
ohau,2,61
oiham,2,62
oina,2,63
okolin,2,64
olang,2,65
ome,2,66
ona,2,67
oone,2,68
ore,2,69
ro,2,70
roa,2,71
sarere,2,72
tutum,2,73
velanun,2,74
aearem,1,75
aekoiloge,1,76
aemege,1,77
aerauge,1,78
aerege,1,79
aevoge,1,80
afoure,1,81
afufurire,1,82
afure,1,83
ahoire,1,84
airal,1,85
akovere,1,86
akurure,1,87
akururev,1,88
alem,1,89
alere,1,90
aliare,1,91
alofou,1,92
alokuru,1,93
amahoi,1,94
amakiuri,1,95
amarulaige,1,96
anam,1,97
ane,1,98
aolai,1,99
aore,1,100
asivere,1,101
atat,1,102
aunio,1,103
avolorire,1,104
ba,1,105
buku,1,106
earulai,1,107
efauge,1,108
ehalagurire,1,109
ekore,1,110
emare,1,111
enga,1,112
eraum,1,113
eraure,1,114
erulai,1,115
esiale,1,116
fagi,1,117
fau,1,118
feiriare,1,119
fela'koeverav,1,120
felere,1,121
fifim,1,122
fifire,1,123
fo'sal,1,124
haire,1,125
heagari,1,126
hide,1,127
hoiariom,1,128
hoinari,1,129
hoiva,1,130
hoivari,1,131
honari,1,132
i,1,133
iire,1,134
iruraine,1,135
kako,1,136
kelakelagoa,1,137
keleanun,1,138
keleanuv,1,139
kiua,1,140
koi,1,141
kosora,1,142
lafalafa,1,143
lakore,1,144
lalamu,1,145
lavukal,1,146
lelemal,1,147
lelenga,1,148
letuvletuv,1,149
lohai,1,150
lokurum,1,151
lovaure,1,152
lukariare,1,153
lukariav,1,154
maalia,1,155
mafan,1,156
maket,1,157
malan,1,158
malei,1,159
man,1,160
me,1,161
mem,1,162
merev,1,163
mev,1,164
mi,1,165
nala,1,166
negore,1,167
nerel,1,168
ngai,1,169
ngiure,1,170
ngoanun,1,171
ngoham,1,172
oali,1,173
oao,1,174
ofan,1,175
oinari,1,176
omare,1,177
oonege,1,178
oraikoko,1,179
orais,1,180
oririgoirire,1,181
oririgoiriv,1,182
otalu,1,183
otam,1,184
ovau,1,185
ove,1,186
oveo,1,187
plantationaul,1,188
runa,1,189
talu,1,190
tasi,1,191
tataul,1,192
tutula,1,193
vea,1,194
voemege,1,195
voerege,1,196
vomare,1,197
vone,1,198
vov,1,199
