word,n,rank
te,14149,1
ni̱,10221,2
de,8799,3
jíín,6393,4
ya̱,4812,5
ja̱,4377,6
ró,3889,7
i,3876,8
nuu̱,3683,9
máá,3642,10
ní,3520,11
ri̱,3277,12
ro̱,3079,13
ná,2995,14
cha̱a,2889,15
ini̱,2867,16
ún,2617,17
chi̱,2449,18
yá,2236,19
tu̱'un,2165,20
kúu,2043,21
tú,2041,22
ɨɨn,1897,23
dios,1721,24
ka'a̱n,1701,25
sá'a,1690,26
já,1508,27
ni,1484,28
ko,1480,29
áchí,1409,30
núu̱,1408,31
rí,1378,32
nú,1377,33
yo̱,1347,34
ña̱yɨvɨ,1258,35
yúan,1232,36
dé,1200,37
iní,1161,38
yá'a,1145,39
tú'un,1050,40
ká'a̱n,1034,41
cháa,1020,42
súan,988,43
ma̱,985,44
ñuu̱,972,45
suni,967,46
ta̱ká,951,47
ga̱,942,48
ña,912,49
jesús,878,50
nátu̱'un,873,51
tiñu,848,52
onde̱,840,53
táká,821,54
sɨkɨ̱,818,55
yó,799,56
ñáyɨvɨ,788,57
íó,751,58
náva̱'a,749,59
a,747,60
na,742,61
chi,726,62
róó,720,63
í,712,64
va̱'a,694,65
kuu,653,66
kɨvɨ̱,651,67
jíná'an,648,68
ɨ́ɨn,606,69
ndasa,518,70
tíñu,510,71
núsáá,508,72
kuní,487,73
ndaa̱,485,74
achí,460,75
táa̱,457,76
i'a̱,453,77
sɨkɨ́,439,78
kákuu,436,79
tá'an,428,80
se̱'e,420,81
kaka'a̱n,417,82
so̱'o,417,83
cristo,394,84
jíto'o̱,390,85
tá'ú,385,86
xaa̱n,369,87
kua̱chi,366,88
ruu̱,357,89
nasu̱,355,90
xí,353,91
ñúu̱,347,92
nɨ́ɨ́,346,93
núú,340,94
ichi,337,95
kua'a̱n,336,96
á,335,97
kenda,326,98
vina,322,99
jiní,314,100
va̱sa,314,101
yúán,297,102
añú,294,103
jini̱,291,104
kua'a̱,285,105
xini̱,284,106
espíritu,283,107
ñá'nu,283,108
ta'u̱,275,109
káka'a̱n,271,110
kóo,271,111
kutɨ,271,112
stá'a̱n,270,113
ve̱'e,268,114
rúu̱,267,115
ñu̱yɨ́vɨ,265,116
sé'e,264,117
ɨnga̱,263,118
kájini̱,257,119
ley,257,120
ndé,257,121
uu̱,255,122
náún,254,123
sava,254,124
ro,253,125
káni,251,126
na̱ún,251,127
pablo,248,128
kándíja,247,129
sua,246,130
ii̱,245,131
na̱,244,132
gá,239,133
káskuá'a,238,134
ja̱'a,235,135
jaa̱,235,136
kákandíja,235,137
ñú'un,233,138
chaa̱,230,139
tɨ̱,229,140
kásá'a,226,141
mozo,222,142
sɨ́ɨn,221,143
kachi̱,218,144
koo,218,145
andɨ́vɨ́,217,146
kana,216,147
judío,214,148
ve'e,213,149
yóó,213,150
tutu̱,212,151
jáni,211,152
ká'i̱in,210,153
kúndá'ú,210,154
va̱i,210,155
xáa̱n,209,156
yu̱án,205,157
kája'a̱n,204,158
tájí,204,159
kɨ̱vɨ,202,160
jesucristo,201,161
jínu,200,162
jaa,199,163
ndatíñu,196,164
vásá,196,165
ondé,192,166
luu,191,167
skíkuu,190,168
kua̱'a,189,169
ni̱'in,187,170
pedro,184,171
koyo,180,172
kánchaa̱,178,173
ñáá,177,174
ki'i̱n,173,175
ña'an,173,176
kájani,172,177
kajini̱,172,178
ndajá'a̱,169,179
ndɨ'ɨ,169,180
ni'i̱n,169,181
naja̱,167,182
juan,166,183
jani,165,184
kúñu,165,185
ñani̱,165,186
nda'a,164,187
nání,162,188
kuni̱,161,189
xiní,160,190
kii,159,191
fuerza,156,192
kuá'a̱,155,193
táta̱,154,194
ndiji̱n,153,195
tɨ́,153,196
ka̱jini,151,197
ándɨ́vɨ́,150,198
ji'i̱,149,199
yu'u,148,200
kúsɨɨ̱,147,201
nchaa̱,147,202
vá'a,147,203
ja̱ndáa̱,144,204
jerusalén,144,205
tutú,144,206
íchi,142,207
cuenta,141,208
ká'i̱o,141,209
tachi̱,140,210
tuku,140,211
kuáchi,139,212
ñáni̱,139,213
rey,138,214
chi̱i,137,215
jíto,137,216
káxiu̱kú,137,217
kákuni̱,136,218
sɨ́'vɨ́,135,219
káa,134,220
ñá,133,221
kí'i̱n,132,222
ja'a̱,131,223
má,131,224
yóso,131,225
ndija,130,226
kuá'a,129,227
nación,129,228
barco,128,229
vé'e,128,230
ndíso,126,231
sáá,126,232
ja̱koyo,125,233
kándee,125,234
kee,125,235
tu̱'ún,125,236
mar,124,237
jito'o̱,123,238
modo,123,239
kɨvɨ́,122,240
nda̱'ú,122,241
ní'i̱n,120,242
ncháa̱,119,243
ndá'ú,119,244
chaa,118,245
ká'nu,118,246
máni,118,247
ñúyɨ́vɨ,118,248
túu,118,249
ka̱jani,117,250
kuu̱,115,251
sutu̱,114,252
kandíja,113,253
ma̱'ñú,113,254
ndɨva̱'a,113,255
ka̱sá'a,112,256
kúu̱,112,257
nini,112,258
tatá,112,259
tu̱ndó'o,111,260
yikɨ,111,261
nde̱'é,110,262
tuká,110,263
ya̱'á,110,264
kɨ́vɨ,108,265
kánúú,107,266
jini,106,267
kendo̱o,106,268
koto,106,269
tata̱,106,270
ɨngá,105,271
lúlí,105,272
nachaku̱,105,273
sáni,105,274
kée,104,275
staa̱,103,276
kani,102,277
fariseo,101,278
kíi,101,279
ndíchí,101,280
ndúkú,101,281
yaku̱,101,282
jíñú'ún,100,283
ndá'a,100,284
náa̱,99,285
santo,99,286
xndá'ú,99,287
kíni,98,288
ná'ín,98,289
yú'ú,98,290
hora,97,291
jáá,97,292
su̱chí,97,293
chakú,96,294
u'u̱,96,295
jíka,95,296
sáva,95,297
téyíí,95,298
kundá'ú,94,299
apóstol,93,300
já'a̱,93,301
náá,93,302
té,93,303
tɨ́ɨn,93,304
kéndo̱o,92,305
kúñá'nu,92,306
ndɨ́yi,92,307
sa'ma,92,308
kuni,91,309
kóto,90,310
ncháá,90,311
israel,89,312
já'a,89,313
ki'in,89,314
kuá'a̱n,89,315
ñasɨ́'ɨ́,89,316
maestro,88,317
