word,n,rank
ge,16809,1
tsî,9831,2
i,4736,3
ra,3629,4
di,3284,5
ǃnâ,2876,6
hâ,2839,7
ta,2276,8
nî,2266,9
e,1979,10
ǃoa,1909,11
ǁîb,1786,12
mî,1772,13
tama,1655,14
du,1540,15
ob,1518,16
a,1489,17
xu,1431,18
ti,1332,19
ai,1319,20
gu,1303,21
ǀkha,1295,22
o,1245,23
ga,1175,24
go,1160,25
xa,1019,26
elob,954,27
tita,904,28
ǃkhaisa,889,29
xawe,878,30
î,841,31
sadu,801,32
nîra,781,33
bi,760,34
ao,734,35
ǁnā,727,36
kom,699,37
tsîb,698,38
tawa,681,39
kha,624,40
mû,617,41
ī,593,42
nē,585,43
da,573,44
hā,554,45
jesub,550,46
ǁîba,550,47
xui,539,48
ǁkhāti,524,49
kai,522,50
ǁî,522,51
ūhâ,505,52
gere,499,53
ǁîn,489,54
dī,478,55
khami,478,56
mâ,472,57
khoe,463,58
xristub,449,59
ǃkhūb,433,60
tā,423,61
jesuba,422,62
on,418,63
ǂan,418,64
sa,406,65
amaga,395,66
tsîn,393,67
sada,384,68
ǁîgu,379,69
re,373,70
kōse,362,71
ǃgû,361,72
hoa,360,73
ǁîna,357,74
mā,345,75
hoan,334,76
ǀgui,332,77
tide,327,78
eloba,325,79
xū,325,80
ǁîs,325,81
ǁnâi,318,82
xare,315,83
ǃhūbaib,314,84
hō,312,85
ǁnâu,312,86
sī,311,87
mîba,310,88
sige,297,89
ǃaroma,286,90
hoana,272,91
sago,272,92
io,270,93
aiǃâ,268,94
aob,265,95
ôa,254,96
ǁō,252,97
ǃeream,252,98
ǁnās,251,99
te,249,100
khoen,248,101
ǁkhā,246,102
ǃhoa,241,103
ǃkhō,241,104
ū,240,105
ǂgao,240,106
hân,239,107
ǂhanu,229,108
tsîna,223,109
tsi,218,110
ǂgom,218,111
dib,217,112
xuige,216,113
os,213,114
ǀhommi,212,115
ǂama,212,116
îb,211,117
sado,211,118
ǁîsa,203,119
âba,202,120
hîa,198,121
ǂgâ,192,122
ǃanu,192,123
sats,190,124
ǃgâi,189,125
tsîkha,188,126
hâna,187,127
âb,186,128
kēbo,186,129
oms,186,130
ǁkhawa,185,131
am,184,132
hâse,184,133
tare,184,134
ǁnāpa,179,135
ǁkhās,177,136
ǂoa,175,137
hoab,174,138
aitsama,173,139
khâi,170,140
aogu,169,141
gagab,168,142
ǂû,167,143
ǃnâb,163,144
hâba,160,145
mîǀî,158,146
ona,157,147
sao,155,148
ǀnî,155,149
ā,154,150
xūn,154,151
tsēs,153,152
ǁkhāǁkhā,153,153
gao,150,154
mîsa,150,155
tsîra,147,156
ǃnubai,146,157
ǂgui,145,158
ǂgoms,144,159
ǃkhōǃoa,144,160
xase,143,161
xaweb,141,162
ǁaeb,141,163
ǁnāti,141,164
karao,140,165
tsîs,139,166
ǁîga,138,167
ǀnam,137,168
ǁkhāǁkhāsabegu,137,169
ǂgai,137,170
ase,136,171
sî,136,172
ǂâi,134,173
hâb,133,174
hâo,133,175
ǂhanub,133,176
satsa,132,177
ǃoagu,132,178
ôab,131,179
ǁoa,131,180
hâsa,129,181
kas,129,182
amase,128,183
mîs,128,184
ǃās,128,185
khoeb,127,186
diba,126,187
ǀons,126,188
nau,125,189
ǁgans,125,190
din,124,191
nēsi,124,192
dis,123,193
ǀguib,123,194
ǃkhūtse,123,195
nēti,122,196
nēn,120,197
ǁaes,120,198
ab,119,199
si,119,200
xub,119,201
kaise,118,202
ǃkhais,118,203
jerusalems,117,204
ǁnāb,116,205
ǃkhūba,115,206
nēs,114,207
ǁgûb,111,208
anu,110,209
gaosib,110,210
khaoǃgâ,110,211
ǁîkha,110,212
ǃgâ,110,213
mîmā,109,214
ǂgomsa,108,215
ûib,107,216
mati,104,217
tamao,104,218
tsēdi,104,219
ǂgaob,104,220
jodeǁîn,102,221
ûi,102,222
ǃhūb,102,223
aoba,101,224
nēb,101,225
nēsa,101,226
johaneb,100,227
ǀoa,100,228
ǁgui,100,229
ama,99,230
taras,99,231
ǁore,99,232
ǃaruǀî,98,233
tātsē,97,234
gā,95,235
în,95,236
tari,95,237
ǀgaib,95,238
ǀgam,95,239
geo,94,240
aisib,93,241
soros,93,242
ǁnātimîsi,93,243
nēna,91,244
ǂkhaisib,91,245
dommi,90,246
aib,89,247
nîse,89,248
ose,89,249
