word,n,rank
และ,107,1
การ,91,2
จะ,75,3
ที่,72,4
ใน,71,5
สิทธิ,62,6
มี,48,7
ความ,44,8
ของ,42,9
ได้,42,10
คน,37,11
ทุก,37,12
โดย,36,13
เป็น,34,14
ข้อ,31,15
หรือ,31,16
ๆ,26,17
ใด,26,18
ทาง,26,19
อัน,25,20
แห่ง,23,21
รับ,21,22
อิสรภาพ,21,23
ตน,20,24
ไม่,20,25
ว่า,17,26
ให้,15,27
นี้,14,28
กัน,13,29
ด้วย,13,30
ประเทศ,13,31
สังคม,13,32
จาก,12,33
ต่อ,12,34
บุคคล,12,35
ต้อง,11,36
ตาม,11,37
ถูก,11,38
หลัก,11,39
อย่าง,11,40
อยู่,11,41
คุ้มครอง,10,42
ซึ่ง,10,43
ทั้ง,10,44
ศึกษา,10,45
ถึง,9,46
ปฏิบัติ,9,47
ผล,9,48
ร่วม,9,49
อิสระ,9,50
อื่น,9,51
ชน,8,52
เท่า,8,53
บรรดา,8,54
ผิด,8,55
รัฐ,8,56
เลือก,8,57
งาน,7,58
ชาติ,7,59
เต็ม,7,60
ปฏิญญา,7,61
มนุษย,7,62
มูล,7,63
ระหว่าง,7,64
สมรส,7,65
กำหนด,6,66
ครอบครัว,6,67
โดยที่,6,68
ต่าง,6,69
ถือ,6,70
ทางการ,6,71
เทียม,6,72
ธรรม,6,73
ประโยชน์,6,74
ผู้,6,75
เพื่อ,6,76
มนุษย์,6,77
ระ,6,78
ไว้,6,79
ศาสนา,6,80
สำหรับ,6,81
เสมอ,6,82
หมาย,6,83
กฎหมาย,5,84
กระทำ,5,85
กับ,5,86
เกียรติศักดิ์,5,87
จำเป็น,5,88
ตนเอง,5,89
ตั้ง,5,90
ทำ,5,91
บังคับ,5,92
ปราศจาก,5,93
เป็นการ,5,94
ภาค,5,95
รวม,5,96
ส่ง,5,97
สหประชาชาติ,5,98
เสริม,5,99
อาชญา,5,100
ก็,4,101
กล่าว,4,102
การก,4,103
แก่,4,104
ขึ้น,4,105
เข้า,4,106
เคารพ,4,107
จำกัด,4,108
ชีวิต,4,109
เชื่อ,4,110
ดัง,4,111
นั้น,4,112
นับถือ,4,113
ประชาชน,4,114
เปิด,4,115
ไป,4,116
พลการ,4,117
มั่นคง,4,118
ยิ่ง,4,119
ส่วน,4,120
สัญชาติ,4,121
สากล,4,122
เห็น,4,123
เกิด,3,124
ขาด,3,125
คิด,3,126
จัด,3,127
จ้าง,3,128
ชั้น,3,129
เช่น,3,130
เชื้อ,3,131
ใช้,3,132
ดิน,3,133
แดน,3,134
ต้องการ,3,135
ตัว,3,136
ตา,3,137
ทรัพย์สิน,3,138
ทั่วไป,3,139
บุคลิกภาพ,3,140
ประกาศ,3,141
ประชาคม,3,142
พัฒนา,3,143
มกฏ,3,144
มโนธรรม,3,145
มา,3,146
มาตรฐาน,3,147
มิได้,3,148
มูลฐาน,3,149
เมือง,3,150
ยอมรับ,3,151
ยัง,3,152
ยุติธรรม,3,153
ลง,3,154
ละเมิด,3,155
ว่าง,3,156
เวลา,3,157
ศาล,3,158
สมาคม,3,159
สมาชิก,3,160
สอด,3,161
สำเร็จ,3,162
หลาย,3,163
เหล่า,3,164
อาศัย,3,165
อำนาจ,3,166
กรณี,2,167
ก้าวหน้า,2,168
