word,n,rank
tôi,143,1
không,118,2
có,101,3
anh,91,4
là,87,5
đã,75,6
một,55,7
ta,53,8
sẽ,50,9
đó,47,10
người,47,11
làm,45,12
thể,45,13
con,44,14
chúng,43,15
chuyện,39,16
của,38,17
và,38,18
cô,37,19
gì,36,20
bố,35,21
như,35,22
nó,35,23
phải,35,24
với,35,25
đang,34,26
được,34,27
để,33,28
cần,30,29
rồi,30,30
thế,30,31
sao,29,32
nói,28,33
cậu,27,34
vậy,26,35
cho,24,36
tớ,24,37
bị,23,38
biết,23,39
đi,23,40
nào,23,41
nghĩ,23,42
ông,23,43
ra,23,44
chú,22,45
ấy,21,46
cách,21,47
khi,21,48
lại,20,49
giờ,19,50
này,19,51
nhưng,19,52
các,18,53
cũng,18,54
đây,18,55
mình,17,56
còn,16,57
ở,16,58
thấy,16,59
chỉ,15,60
gái,15,61
mà,15,62
muốn,15,63
rất,15,64
xem,15,65
bom,14,66
đầu,14,67
mày,14,68
mọi,14,69
nhất,14,70
snart,14,71
thứ,14,72
cả,13,73
cái,13,74
ơn,13,75
sự,13,76
vào,13,77
việc,13,78
đến,12,79
định,12,80
em,12,81
nhiều,12,82
quả,12,83
thật,12,84
tìm,12,85
trong,12,86
vì,12,87
đúng,11,88
gọi,11,89
hai,11,90
hơn,11,91
khác,11,92
lấy,11,93
lên,11,94
nếu,11,95
nhanh,11,96
tao,11,97
tin,11,98
bạn,10,99
cảm,10,100
cháu,10,101
giúp,10,102
lewis,10,103
mẹ,10,104
rằng,10,105
thành,10,106
trai,10,107
ai,9,108
chắc,9,109
cứu,9,110
hay,9,111
lisa,9,112
nên,9,113
những,9,114
nữa,9,115
súng,9,116
thì,9,117
thời,9,118
tốt,9,119
trái,9,120
trước,9,121
vẫn,9,122
về,9,123
vẻ,9,124
bằng,8,125
barry,8,126
bé,8,127
bỏ,8,128
cisco,8,129
gian,8,130
hắn,8,131
lúc,8,132
phimhd.vn,8,133
quan,8,134
tia,8,135
tốc,8,136
tội,8,137
bây,7,138
chớp,7,139
công,7,140
đất,7,141
đừng,7,142
flash,7,143
iris,7,144
mất,7,145
ngay,7,146
nhìn,7,147
nổ,7,148
phần,7,149
phim,7,150
quá,7,151
thôi,7,152
trên,7,153
vài,7,154
2,6,155
an,6,156
bác,6,157
bao,6,158
bắt,6,159
ch8f073f,6,160
chính,6,161
chỗ,6,162
chứ,6,163
cố,6,164
đại,6,165
đặt,6,166
điều,6,167
đội,6,168
gặp,6,169
giết,6,170
hùng,6,171
khiến,6,172
khỏi,6,173
lenny,6,174
lý,6,175
mặt,6,176
ổn,6,177
phạm,6,178
sau,6,179
tại,6,180
tâm,6,181
tên,6,182
tra,6,183
trở,6,184
xin,6,185
à,5,186
bảo,5,187
biến,5,188
bộ,5,189
chết,5,190
cửa,5,191
đánh,5,192
đâu,5,193
đề,5,194
độ,5,195
đoán,5,196
draycon,5,197
francine,5,198
khí,5,199
lỗi,5,200
lớn,5,201
mạng,5,202
mật,5,203
ngủ,5,204
nhiệt,5,205
nhớ,5,206
qua,5,207
rời,5,208
sống,5,209
theo,5,210
thích,5,211
tiếp,5,212
tới,5,213
từ,5,214
vấn,5,215
vụ,5,216
vui,5,217
ăn,4,218
bà,4,219
bài,4,220
bí,4,221
bởi,4,222
chất,4,223
chạy,4,224
chưa,4,225
chúc,4,226
chút,4,227
chuyển,4,228
cơ,4,229
cóc,4,230
đáng,4,231
dấu,4,232
dịch,4,233
do,4,234
động,4,235
dùng,4,236
duy,4,237
giải,4,238
hành,4,239
hệ,4,240
hết,4,241
hiệu,4,242
họ,4,243
khóa,4,244
lần,4,245
lẽ,4,246
lỗ,4,247
loại,4,248
luôn,4,249
ngày,4,250
nghệ,4,251
nhà,4,252
nhận,4,253
phố,4,254
quay,4,255
tệ,4,256
thêm,4,257
thống,4,258
thương,4,259
tồi,4,260
vệ,4,261
xác,4,262
yêu,4,263
27,3,264
báo,3,265
bên,3,266
bình,3,267
cá,3,268
cà,3,269
cảnh,3,270
chắn,3,271
chờ,3,272
cùng,3,273
đằng,3,274
đấy,3,275
dễ,3,276
đỡ,3,277
đôi,3,278
đưa,3,279
đứa,3,280
ghét,3,281
giáo,3,282
giới,3,283
giống,3,284
hiện,3,285
hiểu,3,286
hộ,3,287
hoàn,3,288
học,3,289
kiểm,3,290
lắm,3,291
liên,3,292
like,3,293
lo,3,294
lượng,3,295
mã,3,296
mấy,3,297
metahuman,3,298
minh,3,299
năng,3,300
nát,3,301
nay,3,302
ngất,3,303
nghe,3,304
nhảy,3,305
ninh,3,306
phê,3,307
quen,3,308
sam,3,309
sát,3,310
share,3,311
siêu,3,312
stein,3,313
sư,3,314
suy,3,315
tầng,3,316
tất,3,317
tay,3,318
thần,3,319
thường,3,320
tiên,3,321
tiền,3,322
tình,3,323
toàn,3,324
trộm,3,325
trọng,3,326
trung,3,327
tuyệt,3,328
ủng,3,329
vết,3,330
vị,3,331
viên,3,332
vô,3,333
vũ,3,334
vượt,3,335
xuống,3,336
zoom,3,337
8,2,338
âm,2,339
áp,2,340
ba,2,341
bắn,2,342
bất,2,343
bật,2,344
cánh,2,345
cao,2,346
châm,2,347
chạm,2,348
chặt,2,349
chí,2,350
chọn,2,351
chóng,2,352
chống,2,353
clarissa,2,354
cổ,2,355
cười,2,356
đàm,2,357
danh,2,358
đau,2,359
đấu,2,360
dạy,2,361
đều,2,362
đình,2,363
dõi,2,364
đời,2,365
đông,2,366
đủ,2,367
dụng,2,368
đuối,2,369
đường,2,370
ép,2,371
gần,2,372
garrick,2,373
gây,2,374
gia,2,375
giá,2,376
giấc,2,377
giao,2,378
giữa,2,379
giun,2,380
glider,2,381
golden,2,382
hài,2,383
hiểm,2,384
hóa,2,385
hoạch,2,386
hoạt,2,387
hội,2,388
hôm,2,389
hổng,2,390
hợp,2,391
hước,2,392
jay,2,393
joe,2,394
kế,2,395
kết,2,396
khẩu,2,397
khó,2,398
khoa,2,399
kìa,2,400
lang,2,401
laze,2,402
lời,2,403
lựa,2,404
mang,2,405
mick,2,406
mơ,2,407
mới,2,408
mong,2,409
mừng,2,410
mứt,2,411
nam,2,412
năm,2,413
nguồn,2,414
nhân,2,415
nhiêu,2,416
nhôm,2,417
nợ,2,418
nuôi,2,419
patty,2,420
phá,2,421
phóng,2,422
phục,2,423
