word,n,rank
teˀ,66,1
i,39,2
pijčeˀka,37,3
ke,18,4
rey,14,5
nʌmu,13,6
reˀyis,12,7
yomo,11,8
juka,10,9
minu,9,10
nʌ,9,11
yʌˀ,9,12
maŋba,8,13
porke,8,14
waˀy,8,15
ˀyune,8,16
albañil,7,17
despwede,7,18
jama,6,19
kumguˀyojmo,6,20
mas,6,21
ñʌjayu,6,22
ʌs,6,23
ijtu,5,24
soldado,5,25
yʌtij,5,26
čiˀu,4,27
eyapʌ,4,28
jʌyʌ,4,29
komo,4,30
myaya,4,31
ñeˀkʌ,4,32
oye,4,33
pʌn,4,34
tukaˀy,4,35
tyoksu,4,36
yoskuy,4,37
aseite,3,38
ayudante,3,39
ȼaˀtʌjkojmo,3,40
dyay,3,41
jowiwitpawʌ,3,42
kaˀuwʌ,3,43
kwando,3,44
maŋu,3,45
mij,3,46
mis,3,47
mučačo,3,48
mumu,3,49
myaŋu,3,50
reyes,3,51
tey,3,52
wyeju,3,53
yajwinsaˀu,3,54
yomoˀs,3,55
aŋȼoŋu,2,56
aseitekʌˀmʌ,2,57
bieŋ,2,58
ȼʌˀyu,2,59
despwes,2,60
fweraˀojmo,2,61
inʌk,2,62
jaˀn,2,63
jutʌ,2,64
kaˀpa,2,65
konbenio,2,66
konfiansa,2,67
koˀtʌjkaju,2,68
kʌtʌjku,2,69
kyenu,2,70
kyojtu,2,71
kyojtyaju,2,72
makskuˀy,2,73
mal,2,74
maŋbaˀʌj,2,75
maya,2,76
meˀȼjayu,2,77
misʌj,2,78
moradowʌ,2,79
myaŋbamij,2,80
myayaˀs,2,81
nȼuñoˀmo,2,82
nuˀku,2,83
nʌˀa,2,84
pʌˀnis,2,85
reykyʌˀmʌ,2,86
sunba,2,87
swerte,2,88
teymʌ,2,89
tiyʌ,2,90
waˀmij,2,91
wyaˀku,2,92
yaŋbak,2,93
yaˀaŋwaju,2,94
ˀyotoˀŋʌyu,2,95
ˀyunejiˀŋ,2,96
a,1,97
agradaȼʌkjayu,1,98
albañiljiˀŋ,1,99
albañiˀlis,1,100
albañiˀlisñeˀ,1,101
aŋčoŋu,1,102
aŋgoˀoyj,1,103
aprobaȼʌkpatʌs,1,104
armadoˀka,1,105
barril,1,106
bentana,1,107
bweno,1,108
čamȼamnayu,1,109
čamjayu,1,110
čiˀpa,1,111
comer,1,112
čʌjku,1,113
čʌki,1,114
čʌkjayu,1,115
čʌkpa,1,116
čʌkpaˀk,1,117
čʌktaˀnu,1,118
čʌˀyu,1,119
ȼajku,1,120
ȼakʌ,1,121
ȼaˀ,1,122
ȼiˀʌ,1,123
ȼuˀkumyaju,1,124
ȼʌkjapya,1,125
ȼʌkjayuˀʌj,1,126
ȼʌˀyaju,1,127
de,1,128
disponeȼʌkpawʌˀs,1,129
dispwesto,1,130
doctores,1,131
eskwadra,1,132
faltaȼʌkjayuˀʌj,1,133
firmaȼʌjku,1,134
fusil,1,135
fyamiliajiˀŋ,1,136
gustojiˀŋ,1,137
gyanaȼʌjku,1,138
ijtumʌy,1,139
ijtyaju,1,140
itkeˀtumʌy,1,141
itpa,1,142
iwʌˀs,1,143
jamaˀojmo,1,144
jasaˀʌˀktij,1,145
jayu,1,146
jaˀnmij,1,147
jaˀʌs,1,148
jejkuy,1,149
jene,1,150
jeˀepʌjkʌyu,1,151
jiȼikuy,1,152
jojmo,1,153
jomepʌ,1,154
jomij,1,155
jornoˀojmo,1,156
jowiwitpawʌˀs,1,157
jowiwitpawʌˀsñeˀ,1,158
juta,1,159
jutʌmʌy,1,160
jutʌˀʌj,1,161
jyayaj,1,162
jyayajiˀŋ,1,163
jyʌyaju,1,164
kajoˀŋis,1,165
kasnambʌndaˀm,1,166
kastigo,1,167
kaˀumʌ,1,168
kaˀuwʌjiˀŋ,1,169
kojejkuy,1,170
kolokaȼʌkʌ,1,171
konformaȼʌkpaˀʌj,1,172
korona,1,173
koykenu,1,174
koˀtʌjkajpa,1,175
koˀtʌjkajupʌjiˀŋ,1,176
kučara,1,177
kunuˀkaˀmʌj,1,178
kʌˀaŋwaˀkuˀʌj,1,179
kwarto,1,180
kwartoˀojmo,1,181
kwenta,1,182
kyaˀu,1,183
kyeȼnʌminu,1,184
kyengeˀtu,1,185
kyenjayu,1,186
kyenʌkneˀmʌyu,1,187
kyonbenaȼʌki,1,188
kyopajkojmo,1,189
kyopak,1,190
kyoˀtʌjkajkuy,1,191
kyoˀtʌjkaju,1,192
kyučara,1,193
kyuˀŋʌyaju,1,194
kyʌtʌjkeˀtu,1,195
kyʌˀaŋwaˀku,1,196
kyʌˀaŋwaˀkyaju,1,197
lagriyos,1,198
listo,1,199
lo,1,200
maestro,1,201
maestroteˀ,1,202
maiŋyaju,1,203
maŋbaˀsmij,1,204
maŋbaˀʌs,1,205
maŋbaˀʌsmij,1,206
maŋwaˀa,1,207
maŋyajpa,1,208
maŋyajuˀka,1,209
material,1,210
matoŋuja,1,211
matʌj,1,212
mayaˀu,1,213
maˀak,1,214
mbaˀtuˀʌs,1,215
mbujtu,1,216
mbʌknikntnkpaˀʌsmij,1,217
medaya,1,218
media,1,219
mejor,1,220
meˀȼu,1,221
meˀȼuˀʌs,1,222
mijiˀŋ,1,223
miñaju,1,224
minba,1,225
minbamisʌj,1,226
minutʌj,1,227
minuˀʌs,1,228
monumʌ,1,229
mosaˀpyʌ,1,230
mosaˀy,1,231
mučačokʌsi,1,232
mukwʌȼʌkʌ,1,233
muspa,1,234
mʌŋbʌˀʌsmij,1,235
myayajiˀn,1,236
myejȼjiˀŋ,1,237
myejȼoˀmopʌ,1,238
myučačojiˀŋ,1,239
myujku,1,240
myumujiˀŋ,1,241
myuspa,1,242
nada,1,243
ñaka,1,244
namaȼan,1,245
namȼuˀk,1,246
nas,1,247
nasioŋ,1,248
ñaˀȼe,1,249
ñaˀȼu,1,250
ñčʌkjayumij,1,251
nȼajku,1,252
nȼiˀu,1,253
nȼʌkjayuwʌ,1,254
ndajpujtu,1,255
nduju,1,256
nduŋ,1,257
ndʌkaŋʌ,1,258
ñejayu,1,259
ñeˀ,1,260
ñeˀkejiˀŋ,1,261
ñeˀkʌjiˀŋ,1,262
ñeˀkʌjiˀrŋ,1,263
ñeˀkʌˀs,1,264
nijpu,1,265
ñipyajkeˀtpa,1,266
ñipyajkeˀtpatij,1,267
ñipyajpa,1,268
nipyajuˀʌj,1,269
njambʌˀu,1,270
ñnjayu,1,271
ñukyaju,1,272
nuˀkuˀʌj,1,273
nuˀkyaju,1,274
nʌȼʌˀpyamis,1,275
ñʌjayaju,1,276
nʌjayuˀʌj,1,277
nʌjayuˀʌs,1,278
nʌkoˀtʌjkajpaˀʌsmij,1,279
ñʌmaŋjayaju,1,280
ñʌmaŋu,1,281
ñʌmaŋyaju,1,282
ñʌmbamij,1,283
nʌmbamʌy,1,284
nʌmgeˀtu,1,285
nʌmij,1,286
nʌmʌy,1,287
nʌmyaju,1,288
nʌpujtuwʌmis,1,289
nʌputkeˀtpatij,1,290
nʌputpamis,1,291
nʌputuˀkamisʌj,1,292
ñʌtʌjkʌyu,1,293
ñʌˀitjawyaˀa,1,294
nʌˀka,1,295
nʌˀsmij,1,296
nwaˀkuˀʌs,1,297
nwinsaˀu,1,298
nyajkaˀyaju,1,299
ŋgambiaȼʌjku,1,300
ŋgojtu,1,301
ŋgokipstamba,1,302
ŋgomeˀȼu,1,303
ŋgonosenȼʌjku,1,304
ŋgyʌkipsʌyu,1,305
orapit,1,306
orden,1,307
orowʌ,1,308
palasio,1,309
palasioˀojmo,1,310
panteoˀŋojmo,1,311
panteoˀŋojmoˀk,1,312
paŋgukȼuˀ,1,313
para,1,314
permiso,1,315
pero,1,316
pjutyaju,1,317
plomo,1,318
počajkuˀʌj,1,319
poksčʌˀyaju,1,320
pokskiˀmu,1,321
poyajpit,1,322
prinsesa,1,323
pujtyaju,1,324
pʌnjiˀŋ,1,325
pwerta,1,326
pwertaˀoyj,1,327
pyalasioˀojmo,1,328
pyaˀtyaju,1,329
pyutpʌˀyaju,1,330
pyʌknikʌtʌjku,1,331
pyʌkʌčoŋu,1,332
rekwerdo,1,333
respeto,1,334
reykyʌsi,1,335
reˀyaŋʌ,1,336
reˀyisñeˀ,1,337
sabios,1,338
šaˀu,1,339
segičʌkpa,1,340
soldadojiˀŋ,1,341
soldadoˀajkuy,1,342
sunbamisʌj,1,343
sunbapʌˀs,1,344
sunbaˀʌs,1,345
suni,1,346
suñipʌ,1,347
tenayu,1,348
terminaȼʌjku,1,349
teyaˀa,1,350
teˀkotoya,1,351
teˀsej,1,352
teˀsejteˀ,1,353
teˀsejtij,1,354
teˀwʌ,1,355
tiyakotoyateˀ,1,356
tiyʌkotoya,1,357
toto,1,358
totojaye,1,359
tujtaˀy,1,360
tumʌȼʌkyaju,1,361
tumʌpʌ,1,362
tuˀŋajyaju,1,363
tuˀŋajyajuˀka,1,364
tuˀŋojmo,1,365
