# language_name_wals:	Japanese
# language_name_glotto:	Japanese
# iso639_3:	jpn
# year_composed:	NA
# year_published:	NA
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Jpan
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Japanese/Ota/Hiromi/011123.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
xxx koko . 28752_31752
kowareta . 55922_58922
koko . 68419_71419
koko . 73177_75988
tukanai . 75988_77609
mosimosi . 107736_110736
happa . 124028_127028
yubi . 222556_225556
yubi . 225556_227262
koko papa . 230565_233565
papa . 233565_236430
nee papa . 241751_244751
kore papa . 257883_260883
papa . 260883_262256
papa . 262256_263045
kore papa . 263166_265292
mama . 266435_269033
koko mama . 269033_270348
te . 366011_368307
koko . 371645_374645
koko . 379683_382683
niityan . 385533_388533
aka . 500334_501695
aka . 501695_502702
ao . 508996_511996
koko ao . 512846_515846
aka . 522772_524772
aka . 525282_528282
wanwan . 546602_549536
wanwan . 552248_553592
wanwan . 553592_555263
miyoo . 556268_559268
neko . 585164_588164
kiree+kiree . 589002_592002
wanwan . 663467_666467
wanwan . 870303_873303
wanwan . 873303_875067
wanwan . 876250_879250
dakko . 887302_889122
dakko . 889122_889905
koko . 976055_978510
koko . 978510_980903
zyankenpon . 989750_992639
itai . 1007034_1010034
totta . 1031249_1034249
totta . 1040216_1042726
totta . 1042726_1044906
totta . 1044906_1046053
totta . 1046423_1049423
totta . 1049423_1051612
totta . 1051612_1053595
totta . 1053595_1056471
kootya . 1072755_1074257
kootya . 1074257_1075480
hai tyotto . 1080452_1083449
doozo . 1106221_1109221
genki . 1146872_1149051
genki . 1149051_1151014
mama . 1161421_1164075
papa . 1164443_1167443
tyootyo . 1193055_1196055
tyootyo . 1196055_1197962
Fado . 1207721_1210721
meme . 1211218_1214218
nai . 1315885_1318540
booru . 1319163_1322163
booru . 1322163_1323044
booru . 1323044_1323513
booru . 1323843_1326816
booru . 1326816_1328234
booru . 1328234_1329903
booru . 1329903_1331594
booru . 1331594_1333666
booru . 1336030_1339030
kaorukun . 1404852_1407852
booru . 1408500_1411500
niityan . 1550795_1553795
gao . 1564403_1566425
gao . 1566425_1566954
niityan . 1604988_1607988
niityan . 1667447_1670303
pan . 1780119_1782450
buubuu . 1932579_1935269
booru . 1935579_1937850
koko . 1966195_1969195
dekita . 2183993_2186993
xxx . 2290875_2293875
niityan . 2297554_2300554
wanwan . 2323240_2326240
boosi . 2367073_2370073
boosi . 2384335_2387335
hai gohan . 2397157_2400157
niityan . 2414234_2415593
boosi . 2437162_2440162
boosi . 2452543_2455543
gohan . 2484994_2486690
gohan . 2486690_2488914
gohan . 2497652_2500652
motto . 2514458_2516146
motto . 2516146_2517210
motto . 2517659_2520659
booru . 2541469_2544339
doozo . 2577688_2580688
gohan . 2599066_2602066
gohan . 2643892_2644892
dango . 2667702_2670283
motto . 2689314_2692314
motto . 2703499_2706499
motto . 2761362_2764247
zoosan . 2810866_2813866
gohan . 2834737_2836677
gohan . 2836677_2838564
dango . 2855938_2858766
dango . 2874297_2875620
dango . 2875620_2877280
niityan . 2915534_2918534
gohan . 3012824_3015024
mama . 3029072_3032072
mama xxx nai . 3034572_3037572
niityan . 3137218_3140218
gohan . 3244730_3247222
niityan . 3388332_3391332
doozo . 3530054_3533054
kootya . 3569800_3572352
kukkii . 3735433_3738433
mama . 3941725_3943300
mama . 3943300_3944566
baburu . 3946660_3949660
gaga . 4230666_4232246
gaga . 4232246_4232882
gaga . 4232882_4234118
gaga . 4234118_4235912
gaga . 4235912_4237001
gaga . 4237001_4239631
neko . 4245887_4248887
syaa . 4254969_4257969
mama . 4269821_4272821
gaga . 4272821_4275014
niityan gaga . 4275116_4278116
niityan . 4279240_4282240
niityan . 4299248_4301736
niityan . 4301736_4304418
niityan itai . 4354211_4359211
tyuttyu nai . 4392062_4393150
nee nittyan . 4429925_4432925
niityan . 4436065_4437668
niityan . 4437668_4438971
niityan . 4438971_4441638
niityan . 4441638_4444119
niityan . 4456981_4459981
niityan . 4462957_4465957
niityan . 4465957_4467472
niityan . 4467855_4470855
