# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD02/030107.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
hammer .
glasses . 12350_15350
vacuum . 16051_19051
elephant . 27202_30202
zebra . 31901_34901
zoo . 35602_38602
brush . 39352_42352
blue . 43753_46753
feather . 53054_56054
green . 64500_67500
shovel . 83452_86452
that . 88852_91852
there . 93103_96103
guitar . 100754_103754
stretch . 107549_110549
popcorn . 115950_118950
mother . 126901_129901
father . 129902_132401
behind . 133351_136351
yes . 138551_141551
you . 141552_143051
present . 241552_244552
thankyou . 248402_251402
please . 253249_256249
strawberry . 257749_260749
flower . 263050_266050
vase . 279202_282202
nail . 291203_294203
hanger . 299904_302654
nothing . 302655_305203
ladder . 319455_322455
magician . 328056_331056
rabbit . 336403_339403
other . 339602_342602
rocket . 345102_348102
space . 352453_355453
teacher . 360254_363254
finger . 364355_367355
chair . 373606_376606
thirsty . 381902_384902
zipper . 456053_459053
screw . 461604_464604
shower . 470005_473005
theirs . 477005_480005
thunder . 489452_492452
treehouse . 500503_503503
drum . 506403_509403
water . 513204_516204
zero . 524204_527204
three . 545302_548302
brother . 559952_562952
frenchfries . 566403_569403
crayons . 574554_577554
grapes . 591455_594455
slippers . 595955_598955
jumping . 603051_606051
princess . 616503_619503
thermometer . 630354_633354
bath . 736155_739155
bathi . 739156_741505
frog . 741506_744405
frogi . 744901_747901
car . 749151_752151
cari . 753302_756302
leaf . 759102_762102
leafi . 762353_765353
cup . 765753_768753
cupi . 768754_771454
witch . 779504_782504
witchi . 782604_785604
train . 794456_797456
traini . 797457_800156
square . 818903_821903
squarei . 831205_834205
ring . 849001_852001
ringi . 852251_855251
watch . 858302_861302
watchi . 863852_866852
door . 868053_871053
doori . 873154_876154
bridge . 878554_881554
bridgei . 881804_884804
robe . 1018353_1020352
robei . 1020353_1022703
tooth . 1030104_1033104
toothi . 1034604_1037604
cage . 1042655_1045655
cagei . 1047706_1050706
spring . 1053356_1056356
springi . 1060652_1063652
run . 1069202_1072202
running . 1080703_1083703
break . 1087605_1090605
breaking . 1093906_1096906
ride . 1194254_1197254
riding . 1197255_1200155
rub . 1200955_1203955
rubbing . 1203956_1206554
shave . 1209455_1212455
shaving . 1221502_1224502
crash . 1226653_1229653
crashing . 1234254_1237254
fall . 1239453_1242453
falling . 1245753_1248753
rain . 1249803_1252803
raining . 1253504_1256504
stir . 1258706_1261706
stirring . 1261707_1264306
rake . 1379458_1382458
raking . 1385854_1388854
read . 1392655_1395655
reading . 1398455_1401455
drive . 1403205_1406205
driving . 1409106_1412106
throw . 1417106_1420106
throwing . 1421957_1424957
