# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD16/040600.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
glasses .
ghost .
six .
vacuum .
elephant .
zebra .
zoo .
brush .
blue .
plate .
knife .
shark .
teeth .
feather .
green .
vanilla . 14050_17050
shovel . 17750_20750
this . 31902_34902
that . 35302_38302
there . 40099_43099
yoyo . 47849_50849
guitar . 69352_72352
lemon . 73253_76253
yellow . 84654_87654
stretch . 90555_93555
popcorn . 97056_100056
mother . 100057_102906
father . 103056_106056
behind . 106057_109052
yes . 109802_112802
you . 112803_115802
present . 117003_120003
thank you . 133505_136505
please . 155052_158052
strawberry . 161902_164902
snail . 187403_190403
beehive . 194752_197752
chicken . 198002_201002
cloud . 203002_206002
flower . 206302_209302
vase . 224804_227804
music . 228855_231855
sock . 232355_235355
jeep . 235356_237855
doll . 237856_240756
game . 241506_244506
hammer . 246256_249256
nail . 250006_253006
hanger . 258756_261756
nothing . 261757_264508
ladder . 283060_286060
rabbit . 302457_305457
other . 305807_308807
magician . 309958_312958
space . 333656_336656
rocket . 344857_347857
ocean . 349808_352808
teacher . 366211_369211
finger . 369556_372556
wagon . 373207_376207
chair . 382507_385507
thirsty . 386708_389708
queen . 389709_392508
them . 400858_403858
zipper . 410359_413359
pig . 414213_417213
screw . 417413_420413
shower . 420959_423959
theirs . 424959_427959
thunder . 432610_435610
vest . 443061_446061
treehouse . 446963_449963
cob . 454512_457512
these . 458008_461008
sun . 461009_463508
pie . 464759_467759
drum . 468010_471010
water . 473409_476409
toes . 479160_482160
twelve . 506362_509362
zero . 515112_518112
gum . 526413_529012
three . 550765_553765
judge . 555466_558466
jelly . 562466_565466
brother . 566163_569163
french fries . 573913_576913
skunk . 582664_585664
noise . 593316_596316
quiet . 606614_609614
shoes . 612118_615118
zipping . 616217_619217
crayons . 620714_623714
grapes . 628564_631564
slipper . 642465_645465
jump . 650717_653717
light . 654917_657917
spoon . 660767_663767
yawn . 666668_669668
princess . 670818_673818
smoke . 681019_684019
thermometer . 700621_703621
mop . 703622_706467
chain . 710967_713967
soap . 1008289_1011289
