# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD15/040628.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
blue .
brush . 24802_27319
shark . 28465_31465
teeth . 31466_33465
feather . 38615_41615
green . 48116_51116
shovel . 56667_59667
this . 60669_63669
there . 63670_66469
stretch . 67715_70715
mother . 74965_77965
father . 80015_83015
behind . 84965_87965
yes . 89465_92465
you . 92466_94465
strawberry . 94966_97966
chicken . 108068_111068
jeep . 124064_127064
hanger . 127065_129966
nothing . 129967_131966
magician . 138117_141117
rabbit . 141168_144168
other . 144169_145868
ocean . 148168_151168
teacher . 154269_157269
finger . 157565_160565
chair . 161565_164565
thirsty . 168316_171316
twins . 175916_178916
them . 178917_181417
screw . 187067_190067
shower . 194068_197068
theirs . 202569_205569
thunder . 212615_215615
treehouse . 217266_220266
drum . 221916_224916
twelve . 231618_234618
three . 242969_245969
judge . 257815_260815
jelly . 266316_269316
brother . 270116_273116
frenchfries . 273117_274816
shoes . 275567_278567
jumprope . 278568_281467
thermometer . 289718_292718
mop . 305415_308415
chain . 316767_319767
fish . 319768_321567
fishi . 321568_323667
bath . 323768_326768
bathi . 326769_329068
thumb . 331719_334719
thumbi . 334720_336168
chalk . 336868_339868
chalki . 339869_341318
juice . 341319_343764
juicei . 343765_345014
witch . 345015_346764
witchi . 346765_347764
badge . 347815_350815
badgei . 350816_352615
train . 352616_354015
traini . 354016_355365
page . 356465_359465
pagei . 360866_363866
cheese . 364666_367666
cheesei . 367667_369067
square . 369068_369967
squarei . 369968_371167
peach . 374067_377067
peachi . 377467_380467
watch . 394564_397564
watchi . 398565_401565
bridge . 403565_406565
bridgei . 406566_409166
moth . 431768_434768
mothi . 435164_438164
tooth . 444115_447115
toothi . 447365_450365
mouth . 452916_455916
mouthi . 457717_460717
wish . 463766_466766
wishi . 466767_469067
cage . 477568_480568
cagei . 481318_484318
splash . 494165_497165
splashing . 501166_504166
catch . 543065_546065
catching . 561866_564866
shave . 566267_569267
shaving . 569268_570917
crash . 570918_573817
crashing . 573818_575517
dig . 575668_578668
digging . 578669_580118
drive . 580119_581918
driving . 581919_583118
throw . 583119_584818
throwing . 584819_586018
