# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD11/040019.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
glasses .
running .
ghost . 4150_7150
vacuum . 8250_11250
zebra . 13650_16650
zoo . 17450_20450
brush . 30050_33050
blue . 36300_39300
shark . 41100_44100
teeth . 46600_49600
feather . 61600_64600
green . 70149_73149
vanilla . 76754_79754
shovel . 85804_88804
this . 93795_96795
there . 99295_102295
stretch . 104795_107795
mother . 116295_119295
father . 123449_126449
behind . 128699_131699
yes . 133099_136099
you . 136849_139849
present . 225345_228044
thankyou . 237693_240693
please . 246792_249792
strawberry . 260242_263242
beehive . 266092_269092
chicken . 272742_275742
cloud . 279642_282642
flower . 296591_299591
music . 329091_332091
sock . 333691_336691
jeep . 342091_345091
doll . 349390_352390
game . 353740_356740
hammer . 367290_370290
nail . 370292_373292
hanger . 400141_403141
nothing . 403891_406891
magician . 409391_412391
rabbit . 424241_427241
other . 428041_431041
rocket . 435941_438941
space . 445909_448909
ocean . 455758_458758
teacher . 945905_948905
finger . 949905_952905
wagon . 967804_970804
chair . 970805_973559
thirsty . 982009_985009
queen . 1094214_1097214
twins . 1111665_1113614
them . 1117813_1120813
zipper . 1139064_1141013
pig . 1142913_1145913
screw . 1154113_1157113
shower . 1158663_1161663
theirs . 1164012_1167012
thunder . 1171212_1174212
vest . 1178212_1181212
treehouse . 1189962_1192962
cob . 1194362_1197362
these . 1204712_1207712
drum . 1209012_1212012
toes . 1221211_1224211
twelve . 1404238_1407238
zero . 1417038_1420038
gum . 1438487_1441487
three . 1445387_1448387
judge . 1450937_1453937
jelly . 1468587_1471587
brother . 1474987_1477987
frenchfries . 1478836_1481836
skunk . 1481837_1484686
noise . 1505286_1508286
quiet . 1512687_1515186
shoes . 1515187_1518036
zipping . 1528186_1531186
crayons . 1536085_1539085
grapes . 1539985_1542985
slippers . 1546685_1549685
jumping . 1550535_1553535
spoon . 1561035_1564035
yawn . 1571585_1574585
princess . 1585585_1588585
smoke . 1590085_1593085
thermometer . 1598085_1601085
chain . 1619139_1622139
fishi . 1632439_1635439
fish . 1635440_1637338
bathi . 1642889_1643988
bath . 1643989_1646535
tub . 1647235_1650235
tubi . 1650236_1651635
thumb . 1651785_1654785
thumbi . 1654786_1656235
frogi . 1659985_1662985
frog . 1662986_1664985
car . 1667285_1670285
cari . 1671535_1674535
glovei . 1679785_1682785
glove . 1682786_1684835
chalk . 1697085_1700085
chalki . 1703585_1706585
juicei . 2150851_2153851
juice . 2176550_2179550
cup . 2179551_2182050
cupi . 2182051_2183750
witch . 2189150_2192150
witchi . 2194800_2197800
hat . 2200300_2203300
hati . 2208300_2211300
badge . 2235400_2238400
badgei . 2240900_2243900
hill . 2250150_2253150
hilli . 2253151_2255954
train . 2276653_2279653
traini . 2279654_2281103
dog . 2281553_2284553
dogi . 2284554_2287153
cheese . 2287154_2289403
cheesei . 2289404_2291403
square . 2295602_2298602
squarei . 2304752_2307752
comb . 2316502_2319502
combi . 2319503_2322152
peach . 2325702_2328702
peachi . 2375288_2377937
ring . 2379087_2382087
ringi . 2384137_2387137
watch . 2389887_2392887
watchi . 2393387_2396387
bridge . 2414436_2417436
bridgei . 2422286_2425286
moth . 2430486_2433486
mothi . 2435286_2438286
robe . 2445086_2448086
robei . 2452636_2455636
tooth . 2458936_2461936
toothi . 2463286_2466286
van . 2473836_2475835
vani . 2475836_2476935
mouth . 2483985_2486985
mouthi . 2489285_2492285
wish . 2499635_2502635
wishi . 2506635_2509635
stove . 2527684_2530684
stovei . 2530685_2533184
cage . 2533434_2536434
cagei . 2537484_2540484
spring . 2541239_2544239
springi . 2559189_2562189
goat . 2565439_2568439
goati . 2568589_2571589
run . 2585339_2588243
hug . 2593393_2596393
hugging . 2596394_2598693
splash . 2599943_2602943
splashing . 2602944_2605793
skate . 2608991_2611991
skating . 2612891_2615891
break . 2617941_2620941
breaking . 2620942_2623291
swing . 2623691_2626691
swinging . 2626841_2629841
catch . 2631141_2634141
catching . 2635791_2638791
kiss . 2654341_2657341
kissing . 2657342_2659191
ride . 2659192_2661741
riding . 2661742_2663991
rub . 2667441_2669940
rubbing . 2669941_2671040
shave . 2671140_2674140
shaving . 2676690_2679690
cough . 2680140_2683140
coughing . 2683290_2686290
crash . 2686490_2689490
crashing . 2694190_2697190
swim . 2700841_2703390
swimming . 2703391_2706240
sing . 2707190_2710190
singing . 2710640_2713640
dig . 2714539_2717539
digging . 2721340_2724136
rain . 2725591_2728591
raining . 2776388_2779388
hiss . 2779442_2782442
hissing . 2782538_2785538
climb . 2787289_2790289
climbing . 2797639_2800639
stir . 2800939_2803939
stirring . 2805239_2808239
rake . 2808989_2811989
raking . 2811990_2814943
read . 2815843_2818843
reading . 2826342_2829342
drive . 2829343_2831942
driving . 2831943_2834492
throw . 2837192_2840192
throwing . 2841742_2844742
