# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD08/030820.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
present .
glasses . 35168_37192
ghost . 38998_40445
six . 52656_53797
vacuum . 64453_66065
elephant . 75576_77343
zebra . 79806_81364
zoo . 82906_83809
blue . 85255_86556
brush . 94855_96186
plate . 102716_104125
knife . 106778_108140
shark . 111414_112716
teeth . 115960_117134
feather . 120731_121919
green . 123590_124670
vanilla . 135199_137104
shovel . 140343_141495
there . 147017_148163
this . 149708_150774
yoyo . 153914_155580
guitar . 157801_159210
lemon . 163475_164651
yellow . 167198_168804
stretch . 172102_174155
popcorn . 177828_179602
mother . 181882_183458
father . 189136_190473
behind . 199599_200870
yes . 203223_204232
you . 205029_205962
thankyou . 211523_213308
please . 222605_223853
strawberry . 231256_232575
snail . 240448_242066
beehive . 247494_249052
chicken . 258793_259718
cloud . 264531_265839
flower . 268573_270131
vase . 274818_275905
music . 278089_279689
sock . 282217_283656
jeep . 286675_288036
doll . 291494_292748
game . 299372_300405
hammer . 305190_306241
nail . 311981_313187
hanger . 317564_319111
nothing . 320686_322208
ladder . 325945_327468
magician . 332775_334561
rabbit . 338190_339628
other . 342268_343510
rocket . 344849_346252
space . 348581_349924
ocean . 352204_353560
teacher . 358768_360147
finger . 371768_373170
wagon . 376408_378133
chair . 380051_381615
thirsty . 387301_388525
queen . 402508_403702
twins . 410560_411748
them . 414788_415893
zipper . 416368_417490
pig . 420547_421980
screw . 428855_430299
shower . 439149_440396
theirs . 444608_446416
thunder . 448505_450117
vest . 455953_457296
treehouse . 459164_460920
cob . 465400_466737
those . 480514_483514
sun . 485396_486429
pie . 488416_489693
drum . 489942_490718
water . 496820_498271
toes . 510500_511700
twelve . 535003_536275
zero . 542671_543877
gum . 547066_548583
three . 551838_552656
judge . 555020_556620
jelly . 558042_559688
brother . 566207_567914
frenchfries . 568219_569199
skunk . 570260_571672
noise . 576018_577439
quiet . 578788_580356
shoes . 583070_584508
zipping . 591544_593096
crayons . 602658_603894
grapes . 604777_605840
slippers . 615592_617240
jumproping . 626602_628297
light . 633300_634398
spoon . 636735_638132
yawn . 641450_642686
princess . 656675_658209
smoke . 665463_667004
thermometer . 670985_672651
mop . 682782_684239
chain . 688461_689822
soap . 982831_984199
soapi . 984212_984920
fish . 985883_986968
fishi . 988287_989524
bath . 994582_995615
bathi . 996546_997699
tub . 999352_1000171
tubi . 1001708_1003213
thumb . 1005923_1007046
thumbi . 1008487_1009790
frog . 1012343_1013776
frogi . 1014878_1015985
car . 1018323_1019344
cari . 1020316_1021625
leaf . 1025438_1026686
leafi . 1027567_1029161
glove . 1032793_1033868
glovei . 1035475_1036500
chalk . 1037655_1038773
chalki . 1040127_1041092
juice . 1042784_1044211
juicei . 1046455_1047133
cup . 1051688_1052602
cupi . 1058803_1059991
witch . 1062009_1063501
witchi . 1064467_1065708
hat . 1070584_1071456
hati . 1073272_1074070
badge . 1078788_1080310
badgei . 1081396_1082706
nose . 1084993_1086085
nosei . 1089856_1090907
hill . 1097071_1097985
hilli . 1098632_1099661
train . 1101674_1102755
traini . 1104340_1105466
mud . 1109169_1110554
mudi . 1111469_1112645
page . 1116549_1118078
pagei . 1119151_1120173
dog . 1122761_1124027
dogi . 1125808_1127342
bed . 1130702_1131717
bedi . 1132745_1133944
cheese . 1136282_1137721
cheesei . 1139264_1140804
square . 1144633_1145994
squarei . 1147936_1149190
comb . 1154492_1155513
combi . 1157502_1158704
ice . 1164183_1165329
icei . 1166924_1168224
peach . 1174885_1176419
peachi . 1183028_1184980
duck . 1187893_1189063
ducki . 1190922_1192414
ring . 1195054_1196003
watch . 1206514_1207852
watchi . 1211153_1212610
door . 1213754_1214753
doori . 1226487_1227789
bridgei . 1245493_1246688
off . 1254964_1256045
offi . 1257062_1258210
moth . 1264653_1265782
mothi . 1266593_1268058
robe . 1271002_1272023
robei . 1290289_1291531
tooth . 1294967_1296090
toothi . 1297694_1298676
van . 1301674_1302785
vani . 1303659_1304780
web . 1314990_1317216
webi . 1318344_1319502
mouth . 1328158_1329447
mouthi . 1330120_1331501
wish . 1334056_1334988
wishi . 1335958_1337289
stove . 1339411_1340480
stovei . 1341792_1342798
cage . 1347796_1349044
cagei . 1350000_1351408
