# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD06/030807.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
spoon .
yawn .
glasses . 14102_17102
ghost . 20553_23553
six . 27655_30655
vacuum . 32655_35655
elephant . 36254_39254
zebra . 42853_45853
zoo . 45854_48655
brush . 52505_55505
blue . 56055_59055
plate . 65405_68405
knife . 71102_74102
shark . 74254_77254
teeth . 85302_88302
feather . 90453_93453
green . 93952_96952
vanilla . 103902_106902
shovel . 111105_114105
this . 115652_118652
there . 118702_121702
yoyo . 122952_125952
guitar . 128555_131555
lemon . 135103_138103
yellow . 145803_148803
stretch . 151303_154303
popcorn . 155703_158703
mother . 160403_163403
father . 166555_169555
behind . 171253_174253
yes . 174254_176003
you . 176004_177705
present . 185250_188250
thankyou . 188553_191553
please . 200604_203604
strawberry . 207854_210854
snail . 212354_215354
beehive . 219504_222504
chicken . 224354_227354
cloud . 234054_237054
flower . 243304_246304
vase . 251104_254104
music . 260854_263854
sock . 267805_270805
jeep . 276555_279555
doll . 289854_292854
game . 295105_298105
hammer . 300807_303807
nail . 307010_310010
hanger . 315460_318460
nothing . 319607_322607
ladder . 323557_326557
magician . 327560_330560
rabbit . 331457_334457
other . 334458_337007
rocket . 338807_341807
space . 342707_345707
ocean . 347757_350757
teacher . 355607_358607
finger . 367308_370308
wagon . 377659_380659
chair . 380660_382808
thirsty . 557862_560862
queen . 564711_567711
twins . 568557_571557
them . 571558_574007
zipper . 584712_587712
