# language_name_wals:	Wari'
# language_name_glotto:	Wari'
# iso639_3:	pav
# year_composed:	1962
# year_published:	1997
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<'> indicates a glottal stop.
# short_description:	This story is titled "Wirin - the origin of corn" and was told by a speaker called Manim in 1962.
# source:	Everett, D. and Kern, B. (1997). Wari', the Pacaas Novos language of Western Brazil. London/New York: Routledge, p. 452-472.
# copyright_short:	© 1997 Daniel L. Everett and Barbara Kern
# copyright_long:	All rights reserved. No part of this book may be reprinted or reproduced or utilized in any form or by any electronic, mechanical, or other means, now known or hereafter invented, including photocopying and recording, or in any information storage or retrieval system, without permission in writing from the publishers.
# sample_type:	whole
# comments:	In the original text in Everett and Kern (1997), for each sentence there is a transcription of Wari' speech into a Latin script, a segmentation into grammatically relevant morphemes (though only for some words where this is needed), a glossing, and a translation into English. These are given here as: <line_x>, <segmentation>, <glossing>, and <translation> respectively. Note that the segmentations are often empty (indicated by underscore <_>), meaning that the word in the Latin script is equivalent to the segmentation.  

<line_1>	Nama' na Wirin nana ta . Tota ta' na .
<segmentation>	_ _ _ _ _ tota-0 _ _ _
<glossing>	thus 3s:rp/p m:name 3p:rp/p emph garden-1s 1s:rf 3s:rp/p
<translation>	` Thus was Wirin ' , they ( say ) . ` I will clear land for a garden ' , he ( said ) .

<line_2>	Tota tota tota tota tota tota
<segmentation>	tota-0 tota-0 tota-0 tota-0 tota-0 tota-0
<glossing>	garden-1s garden-1s garden-1s garden-1s garden-1s garden-1s
<translation>	He cleared land and cleared land for a garden

<line_3>	tota pi' pin nain . Mana panxica mana 
<segmentation>	tota-0 _ _ na-in _ panxi-ca _
<glossing>	garden-1s finish completely 3s:rp/p-3n coll child-3sm coll
<translation>	and finished it completely. They were all

<line_4>	panxica 'ari nana . Tom tain na . Tom tom tom 
<segmentation>	panxi-ca _ _ _ ta'-in _ _ _ _
<glossing>	child-3sm all 3p:rp/p burn 1s:rf-3n 3s:rp/p burn burn
<translation>	his children . ` I will burn it ' , he ( said ) . It burned

<line_5>	pin nain . 'Oin' jein nanam mana panxica . 
<segmentation>	_ na-in _ je-in na-vcvm _ panxi-ca
