# language_name_wals:	Dani (Lower Grand Valley)
# language_name_glotto:	Lower Grand Valley Dani
# ISO_6393:	dni
# year_composed:	1959
# year_published:	1981
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	face-to-face conversations
# writing_system:	Latn
# special_characters:	NA
# short_description:	The speaker of the text (Apsalek Aso) narrates a quarel between different people to the hearer (Jameke Aso).
# source:	Bromley, H. M. (1981). A grammar of Lower Grand Valley Dani. Pacific Linguistics, C-63, pp. 399-408.
# copyright_short:	© H. M. Bromley
# copyright_long:	NA
# sample_type:	whole
# comments:	The original text gives five annotation layers (for details see Bromley (1981, p. 399): 1) the Dani text in Latin orthography, 2) a line with abbreviations identifying participants of the narrated story, 3) a "parsing code" for verbs which describes them in terms of the categories defined in the grammatical chapters, 4) running glosses (which, however lack some of the information that is given in the parsing code), 5) a free translation. We here only give 1), 4) and 5) respectively, since the other two annotation layers are not understandable without further extensive explanations of abbreviations and conventions. Also, the original glosses contain simple hyphens <-> and double hyphens <-->. As far as we can tell, the former correspond to <.> in the Leipzig glossing rules, i.e. indicating that a single Dani word form is represented by several English word forms; whereas the latter corresponds to <-> in the Leipzig glossing rules, i.e. to a genuine morpheme boundary. Hence, we replace <-> by <.> and <--> by <-> in the glossings. Furthermore, the glossings sometimes contain explanations in parentheses, which are here given as footnotes. Parentheses which are given within a word form in the glossing are also given as footnote marked <x> within the word form. Footnotes deriving from parentheses in the free translation are given with letters instead of numbers.

<line_1>	A'ly-te , Oteke akwe 'noko tauk-hoko-te , Welesi lakeikhe akkyky .
<glossing>	that.in.context-topic , Orege his.wife that.we.know separating-manner-topic Welesi <1> she.went I.believe
<translation>	' About that , Orege's wife -- you know her -- left her husband and went to Welesi , you know <a> .
<footnote_1>	place
<footnote_a>	translating 'I believe' as 'you know' in terms of discourse function

<line_2>	Welesi lakeikhemo-te , Oteke , akotymy pyte inom-hoko , lakoukwhasik-he , wam mel-mekke , Pililo-mekke wolok wakoukwha akkyky .
<glossing>	Welesi after.she.went-topic , Orege his.younger.siblings two they.together-manner , after.they.went-topic pig what's.his.name-'s , Pililo-'s carrying they.came I.believe .
<translation>	After she went to Welesi , Orege together with two of his young men went and brought back a pig that belonged to what's-his-name -- to Pililo , you know . 

<line_3>	wolok wakvnem-he , it inoppolik inesok hylyng hylyng hylyng wakoukwha-te , Lv-pa waka-lakoukwha .
<glossing>	carrying when.plural.subject.came-topic , them behind.them their.feet tracking tracking tracking tracking they.came-topic , Lu-on coming-they.continued
<translation>	When they brought it , they of the other group came behind them , tracking their footprints , and were coming on the hill named Lu .

<line_4>	wolok wakoukwhasi'mo-nen-he , it wakoukwha-mekke , Pililo-lak-en-he , wam hakw-hylyk-he , Oteke seke tum-hoko wathukwha akkyky .
<glossing>	carrying after.they.had.come-source-topic <2> they they.came-but Pililo-and.associates-source-topic pig grab-having.done.it-topic , Orege spear thrust-manner they.hit.him I.believe ,
<translation>	After the locals had brought it -- they had come , but Pililo and his men grabbed the pig and wounded Orege with a spear thrust , you know .
<footnote_2>	verb marked for 'change subject' but next verb is revision, same event

<line_5>	seke tum-hoko wathukwhasik-he , wathukwhama-te , seke watek wolok-he , ouma pi-akoukwha .
<glossing>	spear thrust-manner , after.they.hit.him<3>-topic , after.they.hit.him<4>-topic <5> spear wounded carrying-topic home descend.they.came .
<translation>	After they wounded him with a spear thrust , they -- after they wounded him , the locals carried the spear-wounded casualty down home here .
<footnote_3>	same-subject
<footnote_4>	different-subject
<footnote_5>	revised reference to same event

<line_6>	pi-akoukwhasi-he , --
<glossing>	descend-after.they.came-topic <6>
<translation>	After they had come down here --
<footnote_6>	Here tone and volume change.

<line_7>	Jamekke ty-mekke a'noko usa'-mekke napyt-e .
<glossing>	Jameke <7> that.abstract-sort that.we.know subject.ought.to.say-sort my.dislike-deferential .
<translation>	Jameke , you ought to be telling that story . I don't like this .
<footnote_7>	name

<line_8>	an nane kolo hyky .
<glossing>	I my.talk crooked I.see . <8>
<translation>	I see my talk is crooked .
<footnote_8>	Here tone and volume change back.

<line_9>	tum-hoko wathukwhama-te , ouma pi-akeikhesik-en , wa'-lakeikhe akkyky .
<glossing>	thrust-manner after.they.hit.him-topic , home descend-after.he.came-source die-he.came I.believe .
<translation>	After they wounded him with a spear-thrust , he came down home and died , you know .

<line_10>	wa'-lakeikhomo-te , it-en-he , Keppalyk o-kkama paik wasik-ylvk wakama ylvk-he , Welesi-nen jokko wakoukwhama-te , lakasukwhasik-he , Keppalyk akot Hemusok apput a'noko , seke tum-hoko wathukwha akkyky .
<glossing>	die-after.he.became-topic them-by-topic Kepalik <9> tree-leaves.setting <10> _ forest-animal preparing.to.kill.it he.has.come having.said-topic Welesi-from message after.they.came-topic , after.they.went.up-topic Kepalik <9> his.younger.sibling Hemusok <11> his.son that.we.know , spear thrust-manner they.killed.him I.believe .
<translation>	After he died , they of the other side brought a message from Welesi that Kepalik had come into the forest to kill forest animals , and the locals went up there and wounded Kepalik's younger relative , Hemusok's son -- you know him -- with a spear thrust , you know . 
<footnote_9>	man's name
<footnote_10>	i.e. forest
<footnote_11>	name

<line_11>	a'noko tum-hoko wathy-lokolyk-he , .... Keppalyk-noko hoe neppetak ylyk ylyk pok wulipikin a'ma-te , seke pakky-at tum-hoko-te , pile wouk-hoko lakw-sa-sukun akkasukwha-te , helep-en-he vkkvl-oak pak-hoko-te , tek-hoko kisikhe . akkyky .
<glossing>	that.we.know thrust-manner killing.him-while.subject.continued-topic Kepalik-that.we.know your<12>.older.sibling with-me saying saying jumping singular.subject.will.go.out in<13>-topic spear one thrust-manner-topic precipice heaving-manner propel.over.distance-to.put.them-plural.subject.will.come they.believed-topic , stone-by-topic his.head-bone split-manner-topic break.off-manner it.entered I.believe .
<translation>	As they were thrusting a spear into him , Kepalik -- you know him -- kept saying , " I'm your older brother and I'm with you ! " As he said that and was about to jump out , they thrust him with one spear and intended to throw him down this way over the precipice , when a stone cracked his skull open and broke off inside , you know .
<footnote_12>	sg
<footnote_13>	act

<line_12>	helep a'noko tek-hoko wo'-lakha kisikhe akkyky .
<glossing>	stone that.we.know break.off-manner move-it.itself.to.incur it.entered I.believe .
<translation>	That stone went right in and broke off of itself , you know .

<line_13>	wo'-lakha kikhenem-en-he , wap-salok pi-akoukwhama-te , it ohealek-hoko watek jeta akoukwha akkyky .
