# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	2013
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/TorringtonEaton/NWR/65NV.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
bada .
bama .
naba . 8345_9625
mada . 11975_13127
daba . 50634_51823
dama . 53700_54600
naba . 67413_68833
nama . 70797_72131
debama .
bamana . 90505_91962
madaba . 99215_100608
nabede . 114403_116214
nedame . 118468_120236
dabama . 136673_138516
benamada . 142054_143688
bamadana . 157829_159829
nedemabe . 162627_164582
manabada . 175129_177561
mebedane . 180825_182825
danabama . 206386_208386
nadamaba . 211900_213845
denamabe . 235745_237745
mabanamada . 240947_243572
benamedabe . 253723_255748
nadabamana . 260212_262882
mabenademe . 272466_274716
