# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD02/030705.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
three .
cup .
glasses . 200_3200
ghost . 3450_6450
six . 10351_13351
vacuum . 14452_17452
elephant . 17802_20802
zebra . 21052_24052
zoo . 24053_26853
brush . 28303_31303
blue . 97004_100004
plate . 104750_107750
knife . 107751_110250
shark . 113601_116601
teeth . 119351_122351
feather . 124601_127601
green . 128901_131901
vanilla . 138302_141302
shovel . 142602_145602
that . 151903_154903
there . 155003_158003
yoyo . 158754_161754
guitar . 161954_164954
lemon . 166050_169050
yellow . 169051_172050
stretch . 173050_176050
popcorn . 178351_181351
mother . 182351_185351
father . 185452_188452
behind . 200503_203503
yes . 203504_205704
you . 205705_207704
present . 207705_210553
thankyou . 211999_214999
please . 216500_219500
strawberry . 220250_223250
snail . 232051_235051
beehive . 237751_240751
chicken . 245102_248102
cloud . 249402_252402
flower . 253203_256203
vase . 259503_262503
music . 264104_267104
sock . 267354_270354
jeep . 316750_319750
doll . 319751_322500
game . 322800_325800
hammer . 326800_329800
nail . 329801_331352
hanger . 333752_336752
nothing . 361650_364650
ladder . 366001_369001
magician . 369901_372901
rabbit . 375652_378652
other . 389352_392352
rocket . 392702_395702
space . 396753_399753
ocean . 405999_408999
teacher . 409999_412999
finger . 414450_417450
wagon . 418900_421900
chair . 461050_464050
thirsty . 464300_467300
queen . 498503_501503
twins . 506499_509499
them . 509999_512999
zipper . 518650_521650
pig . 527701_530701
screw . 534652_537652
shower . 545003_548003
theirs . 549903_552903
thunder . 554950_557950
vest . 565350_568350
treehouse . 569251_572251
cob . 576801_579801
those . 583052_586052
sun . 586452_589452
pie . 600249_603249
drum . 620951_623951
water . 625452_628452
toes . 632653_635653
twelve . 651954_654954
zero . 658500_661500
gum . 670952_673952
judge . 829132_832132
jelly . 841783_844783
brother . 876732_879732
frenchfries . 882333_885333
skunk . 889133_892133
noise . 897684_900684
quiet . 901835_904835
shoes . 904836_907785
zipping . 936533_939533
crayons . 942334_945334
grapes . 948184_951184
slippers . 951685_954685
jumping . 954686_957085
light . 960386_963386
spoon . 964386_967386
yawn . 972232_975232
princess . 984883_987883
smoke . 1006985_1009985
thermometer . 1012686_1015686
mop . 1019232_1022232
chain . 1022233_1024732
soap . 1025232_1028232
soapi . 1028933_1031933
fish . 1032133_1035133
fishi . 1035134_1036883
bathi . 1039934_1042934
bath . 1042935_1044834
tub . 1044934_1047934
tubi . 1047935_1050485
thumb . 1050486_1052985
thumbi . 1053485_1056485
frogi . 1057186_1060186
frog . 1060187_1062236
car . 1062286_1065286
cari . 1065287_1068037
leaf . 1068038_1070487
leafi . 1075533_1078533
glove . 1078534_1081283
glovei . 1090437_1093437
chalk . 1098236_1101236
chalki . 1101237_1103732
juice . 1103733_1106232
juicei . 1106233_1108232
cupi . 1112433_1115433
witch . 1115434_1118333
witchi . 1120234_1123234
hat . 1125034_1128034
hati . 1128035_1130584
badge . 1131635_1134635
badgei . 1134636_1136885
nose . 1137435_1140435
nosei . 1140536_1143536
hill . 1143537_1146086
hilli . 1146087_1148086
train . 1148536_1151536
traini . 1152337_1155337
mud . 1160483_1163483
mudi . 1163484_1165483
page . 1165484_1168483
pagei . 1168484_1170984
dogi . 1171034_1174034
dog . 1179685_1182685
bed . 1184734_1187734
bedi . 1188785_1191785
cheese . 1191786_1194585
cheesei . 1195386_1198386
square . 1201686_1204686
squarei . 1222033_1225033
comb . 1235386_1238386
combi . 1239386_1242386
ice . 1244436_1247436
icei . 1249987_1252987
peach . 1261433_1264433
peachi . 1264434_1266683
duck . 1266985_1269985
ducki . 1269986_1272186
ring . 1274786_1277786
ringi . 1277787_1280636
watch . 1305784_1308784
watchi . 1310035_1313035
doori . 1314035_1317035
door . 1317036_1318935
bridge . 1318936_1320986
bridgei . 1320987_1323236
off . 1324086_1327086
offi . 1327087_1328836
moth . 1332237_1335237
mothi . 1335238_1337433
robe . 1544841_1547841
robei . 1547842_1550142
toothi . 1555392_1558392
tooth . 1558393_1560292
van . 1566392_1569392
