# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	2000
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Eng-NA/Inkelas/E/020818.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
listening .
laughing .
yelling .
leopard .
fly .
Lowe .
trampoline .
Linda .
louder .
lunch .
long .
Lulu .
totlot .
jingling .
hopalong .
juggling .
quickly .
Mona Lulu .
violin .
valley .
Madeline .
tortellini .
padlock .
waterlily .
singalong .
hola .
hello .
along .
alyssum .
Alison .
yelling .
Emmeline .
Prelutsky .
Caroline .
Lisa .
Elise .
Bandolier .
Estalella .
Livan 
