# language_name_wals:	Martuthunira
# language_name_glotto:	Martuthunira
# iso639_3:	vma
# year_composed:	NA
# year_published:	1994
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous speeches
# writing_system:	Latn
# special_characters:	Some consonant clusters are written with a full stop in between them, e.g. "l.y" and "r.t". This convention is kept here.
# short_description:	A story titled "Mourning chant" told by Algy Paterson. For details see Dench (1994), p. 282.
# source:	Dench, A. C. (1994). Martuthunira: A language of the Pilbara region of Western Australia, p. 282-287.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:	whole
# comments:	The original text in Dench (1994) is given with hyphens used for morphological segmentation. This is given here as <segmentation>. The orthography in <line_x> is derived by us by simply removing the hyphens. The original freely translates several lines of glossed text in a whole paragraph of English translation. The translations are here parallelized as far as possible with the glossed lines. In few occasions the translation doesn't align with the orthography, so that two ore more lines were joined together (line_16 and 17, line_20 and 21, line_32 and 33, line_53 and 54).

<line_1>	Ngunhu waruul wilangayi Purripurringura waruul wilangayi , ngunhaa
<segmentation>	Ngunhu waruul wilangayi Purripurri-ngura waruul wilangayi , ngunhaa
<glossing>	that.NOM still HES Purripurri-BELONG still HES that.NOM
<translation>	That fellow , who is one of Purripurri's mob , he came to me

<line_2>	waruul junarrilha nganaju wilangayi . Ngayu nhawulhanguru
<segmentation>	waruul juna-rri-lha nganaju wilangayi . Ngayu nhawu-lha-nguru
<glossing>	still spirit-INV-PAST 1SG.ACC HES 1SG.NOM see-PAST-PRES
<translation>	as a spirit . I saw

<line_3>	ngurnaa mangkarnkuwilangayi . Malyarranpalharru wilangayi . Ngunhu
<segmentation>	ngurnaa mangkarn-kuwilangayi . Malyarra-npa-lha-rru wilangayi . Ngunhu
<glossing>	that.ACC spirit-ACC HES sick-INCH-PAST-NOW HES that.NOM
<translation>	his ghost . And now I've gotten sick . He

<line_4>	waruul ngunhaa wilangayi junarringuru nganaju wilangayi . Ngayu
<segmentation>	waruul ngunhaa wilangayi juna-rri-nguru nganaju wilangayi . Ngayu
<glossing>	still that.NOM HES spirit-INV-PRES 1SG.ACC HES 1SG.NOM
<translation>	came to me as a spirit . I'm

<line_5>	mir.tarru panyu wilangayi . Nyinanguru malyarranparrarru wilangayi .
<segmentation>	mir.ta-rru panyu wilangayi . Nyina-nguru malyarra-npa-rra-rru wilangayi .
<glossing>	not-NOW good HES sit-PRES sick-INCH-CTEMP-NOWHES
<translation>	not good now . I'm getting sick .

<line_6>	Nganarnawurawula wurtu pawulu kartu . Kuntirrilha
<segmentation>	Nganarna-wura-wula wurtu pawulu kartu . Kuntirri-lha
<glossing>	1PL.EXC-BELONG-MATRI HYPTH child 2SG.NOM give.up-PAST
<translation>	Aren't you our own mother's family , boy ? You've given up

<line_7>	paju ngaliyaa thurlajinkarritharraa . Wiru kampalha paju ,
<segmentation>	paju ngaliya-a thurlajinkarri-tharra-a . Wiru kampa-lha paju ,
<glossing>	REAL 1DU.EXC-ACC poor.fellow-DU-ACC feelings burn-PAST REAL
<translation>	on us , we two poor old fellows . You've turned passionately against us ( lit . feelings burning ) ,

<line_8>	yartanpalha paju , wiru kampalha paju ,
<segmentation>	yarta-npa-lha paju , wiru kampa-lha paju ,
<glossing>	other-INCH-PAST REAL feelings burn-PAST REAL
<translation>	you've changed , you're passionately ,

<line_9>	yartanpalha paju .
<segmentation>	yarta-npa-lha paju .
<glossing>	other-INCH-PAST REAL
<translation>	really changed .

<line_10>	Payawurtulwa wii , kartu pawulu . Nganarnawurawula wurtu
<segmentation>	Payawurtu-lwa wii , kartu pawulu . Nganarna-wura-wula wurtu
<glossing>	savage-ID maybe 2SG.NOM child 1PL.EXC-BELONG-MATRI HYPTH
<translation>	You're savage or something , my boy . Aren't you one of our family ?

<line_11>	pawulu ? Piyuwa wurtu ! Yartanpalha paju , kampalha paju .
<segmentation>	pawulu ? Piyuwa wurtu ! Yarta-npa-lha paju , kampa-lha paju .
<glossing>	child nothing HYPTH other-INCH-PAST REAL burn-PAST REAL
<translation>	Oh no , not at all ! You've changed violently .

