# language_name_wals:	Martuthunira
# language_name_glotto:	Martuthunira
# ISO_639-3:		vma
# year_composed:	NA
# year_published:	1994  
# mode:			spoken
# genre_(broad):	conversation
# genre_(narrow):	spontaneous speeches
# writing_system:	Latn    
# special_characters:	Some consonant clusters are written with a full stop in between them, e.g. "l.y" and "r.t". This convention is kept here.      
# short_description:	A story titled "The first boomerang" told by Algy Paterson. For details see Dench (1994), p. 22f.
# source:		Dench, A. C. (1994). Martuthunira: A language of the Pilbara region of Western Australia, p. 287-314.
# copyright_short:	Copyright © The Author
# copyright_long:	NA
# sample_type:		whole
# comments:		The original text in Dench (1994) is given with hyphens used for morphological segmentation. This is given here as <segmentation>. The orthography in <line_x> is derived by us by simply removing the hyphens. The original freely translates several lines of glossed text in a whole paragraph of English translation. The translations are here parallelized as far as possible with the glossed lines. In few occasions the translation doesn't align with the orthography, so that two ore more lines were joined together (line_62 and 63, line_71 and 72, line_141 and 142, line_166 and 167, line_271 and 272, line_278 and 279, line_302 and 303, line_318 and 319, line_323 and 324, line_340 and 341).

<line_1>	Ngayu marraringaraa wantharninyji , maral.yalaa jinangkaa
<segmentation>	Ngayu marrari-ngara-a wantha-rninyji , maral.ya-la-a jina-ngka-a
<glossing>	1SG.NOM story-PL-ACC put-FUT devil-LOC-ACC track-LOC-ACC
<translation>	I'll put down the stories that follow the tracks

<line_2>	wantharnimarrilhalaa , palalyingarala . Kuwarrilal
<segmentation>	wantharni-marri-lha-la-a , palalyi-ngara-la . Kuwarri-la-l
<glossing>	how-COLL-PAST-LOC-ACC before-PL-LOC beginning-LOC-THEN
<translation>	of how the devils went in the early days , how it was in the beginning , in this

<line_3>	ngurrangka , yilangu , Martuthunila . Nhiyu wantinguru , marraringara
<segmentation>	ngurra-ngka , yilangu , Martuthuni-la . Nhiyu wanti-nguru , marrari-ngara
<glossing>	country-LOC here Fortescue-LOC this.NOM lie-PRES story-PL
<translation>	country , here on the Fortescue River . This story that

<line_4>	maral.yawura wantharnu , jinangkuyangu , puliyanyjangaralu , wantharni
<segmentation>	maral.ya-wura wantha-rnu , jinangku-yangu , puliyanyja-ngara-lu , wantharni
<glossing>	devil-BELONG put-PASSP traced-PASSP old.man-PL-EFF how
