# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	ca. 1970
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Maigiphoasi and titled "Birth of Pe's baby".
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "BIRTH OF PE'S BABY #2.pdf".

<line_7.1>	hoagaIxOxaI hi gA-sai hoagaIxOxaI hi ab *-iig-A Xaogioso
<glossing>	Hoagaixoxia_NNP 3_PRP speak_VB-old_info Hoagaixoxai_NNP 3_PRP NEG_RB *-continuative-EMPH Xaogioso_NNP
<translation>	Hoagaixoai said, aogioso is still not here.

<line_7.2>	gIxi oa-og-ab-oxoi-hI XaogiosohoagI
<glossing>	2_PRP delay_VB-want-DUR-INTER-INTER Xaogioso_NNP
<translation>	Are you going to delay long aogioso.

<line_7.3>	* itA hoAgaI-I pIi
<glossing>	* hurt_JJ become_VB-state Pii_NNP
<translation>	Pii is having labor pains.

<line_7.4>	pIi i op-i-hiab-iig-A pIi
<glossing>	Pii_NNP 3_PRP give_birth_VB-state-NEG-continuative-ded Pii_NNP
<translation>	Pii has not given birth to it yet.

<line_7.5>	hoagaIxOxaI hi gA-sai hi * oa-og-ab-oxoi-hI
<glossing>	Hoagaixoxai_NNP 3_PRP speak_VB-old_info 3_PRP * delay_VB-want-DUR-INTER-INTER
<translation>	Hoagaixoxai said, are you going to delay long?

<line_7.6>	pIi itA hoAgaI-I pIi
<glossing>	Pii_NNP hurt_JJ become_VB-state Pii_NNP
<translation>	Pii is having labor pains.

<line_7.7>	i op-i-hiaba-xaI
<glossing>	3_PRP give_birth_VB-state-NEG-REL_CERT
<translation>	She is not giving birth yet.

<line_7.8>	i aIgI sog-i-sOiAihI
<glossing>	3_PRP stomach_NN want-state-INTER
<translation>	Does it want to remain in her stomach.

<line_7.9>	i op-i-hiaba
<glossing>	3_PRP give_birth_VB-state-NEG
<translation>	She has not given birth.

<line_7.10>	hoagaIxOxaI hi gA-sai hoagaIxOxaI tiobAha * soxoA
<glossing>	Hoagaixoxai_NNP 3_PRP speak_VB-old_info Hoagaixoxai_NNP child_NN * already_RB
<translation>	Hoagaixoxai said, the child is already born.

<line_7.11>	hoagaIxOxaI hi gA-sai hi soxoA kA op-A-hA pIi
<glossing>	Hoagaixoxai_NNP 3_PRP speak_VB-old_info 3_PRP already_RB from_IN give_birth_VB-be-COMPL_CERT Pii_NNP
<translation>	Hoagaixoxai said, Pii just now gave birth.

<line_7.12>	hoagaIxOxaI hi aigIa xabOi-apai i hoagI hi Ao-p-A-hA * iA kagi hi A Op-I-so
<glossing>	Hoagaixoxai_NNP 3_PRP thus_RB paxiuba_NN-head 3_PRP son_NN 3_PRP put_VB-up-be-COMPL_CERT * float_VB companion_NN 3_PRP from_IN give_birth_VB-state-when
<translation>	Hoagaixoxai put his son on the floating dock when his wife gave birth.

<line_7.13>	hoagaIxOxaI hoagaIxOxaI hi gA-sai Xopisi hi oa-og-ab-oxoi-hI
<glossing>	Hoagaixoxai_NNP Hoagaixoxai_NNP 3_PRP speak_VB-old_info OpIsi_NNP 3_PRP delay_VB-want-DUR-INTER-INTER
<translation>	Hoagaixoxai siad, Opisi are you going to delay long?

<line_7.14>	* itA hoAgaI-i pIi
<glossing>	* hurt_JJ become_VB-state Pii_NNP
<translation>	Pii is having labor pains.

<line_7.15>	hoagaIxOxaI hi gA-sai hoagaIxOxaI pIi itA hoAgaI-i ahoaIi
<glossing>	Hoagaixoxai_NNP 3_PRP speak_VB-old_info Hoagaixoxai_NNP Pii_NNP hurt_JJ become_VB-state night_NN
<translation>	Hoagaixoxai said, Pii is having labor pains at night.

<line_7.16>	hi oa-og-ab-oxoi-hI
<glossing>	3_PRP delay-want-DUR-INTER-INTER
<translation>	Is he going to delay long?

<line_7.17>	hi gA-sai hoagaIxOxaI hi gA-sai i op-i-hiaba-xaI
<glossing>	3_PRP speak_VB-old_info Hoagaixoxai_NNP 3_PRP speak_VB-old_info 3_PRP give_birth_VB-state-neg-REL_CERT
<translation>	Hoagaixoxai said, she is not giving birth.

<line_7.18>	XaogiosohoagI hi oao
<glossing>	Xaogioso_NNP 3_PRP delay_VB
