# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	ca. 1970
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Itaibigai and titled "Migixisti dies".
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "14 MIGIXISTI DIES.pdf".

<line_1>	bigIxisItisi hi baAbi kapiOxiai *
<glossing>	Bigixisitisi_NNP 3_PRP sick_JJ another_DT *
<translation>	Bigixisitisi has a different kind of sickness.

<line_2>	hi baAb *-oxoi
<glossing>	3_PRP sick_JJ *-INTER
<translation>	What is his sickness.

<line_3>	hi aigIa ko ApaI I kagi hi aoa bAbai
<glossing>	3_PRP thus_RB hey_UH Apai_NNP 3fem_PRP expected_companion_NN 3_PRP die_VB nearly_RB
<translation>	Well Apais husband is already nearly dead.

<line_4>	hi AbahIoxio *-xoi-hI
<glossing>	3_PRP unknown_sickness_NN *-INTER-INTER
<translation>	He had the unknown sickness.

<line_5>	hi aigIa koaI-si-aihIai
<glossing>	3_PRP thus_RB die_VB-NOMINALIZER-hearsay
<translation>	Well then he was dead.

<line_6>	* soxOi ti-kab-Ao koaI-so-xai bigIxisItisi
<glossing>	* many_DT days_NN-NEG-when die_VB-when-do Bigixisitisi_NNP
<translation>	Not many days passed before Bigixiaitisi died.

<line_7>	* ab *-I ioitAbi
<glossing>	* NEG_RB *-state Linda_NNP
<translation>	Linda was not here.

<line_8>	hi ab aI
<glossing>	3_PRP NEG_RB be_VB
<translation>	She was not here.

<line_9>	ti xaigIa ga xai ai hi ab *-i-kaAh-aaga
<glossing>	1_PRP thus_RB speak_VB do_VB thus_RB 3_PRP NEG_RB *-state-IMPORTANT_FACT-have
<translation>	I the speaker said Linda is not here.

<line_10>	hi oaI-xi pixAi
<glossing>	3_PRP die_VB-state now_RB
<translation>	He is dead now.
