# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD16/050319.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
there .
glasses . 700_3700
elephant . 15500_18500
plate . 33300_36300
shark . 41849_44849
teeth . 55604_58604
feather . 62554_65554
green . 81553_84553
shovel . 85051_88051
this . 89101_92101
lemon . 96101_99101
yellow . 119150_122150
mother . 123600_126600
father . 130050_133050
behind . 133501_136501
yes . 136502_137651
you . 137652_139501
present . 143351_146351
please . 148051_151051
thankyou . 156051_159051
chicken . 168103_171103
cloud . 178053_181053
vase . 196194_199194
flower . 200398_203398
hanger . 222248_225248
nothing . 225348_228348
ladder . 242597_245597
magician . 258623_261623
rabbit . 270077_273077
other . 273078_275927
thirsty . 291000_293479
twins . 297177_300177
them . 300177_302304
theirs . 304004_307004
thunder . 320554_323554
cob . 346258_349258
these . 350258_353258
three . 362007_365007
jelly . 380857_383857
brother . 391257_394257
frenchfries . 529768_532768
slippers . 545269_548269
light . 554268_557268
thermometer . 573718_576718
chain . 579918_582918
bathi . 583668_586668
bath . 586669_589418
thumb . 592168_595168
thumbi . 595468_598468
leaf . 603621_606621
leafi . 606622_608921
glove . 620471_623471
glovei . 626871_629871
chalk . 631271_634271
chalki . 634272_636270
juicei . 647964_650964
juice . 652166_655166
cheese . 656216_659216
cheesei . 659217_661766
ring . 675970_678970
ringi . 678971_681720
watch . 693171_696171
watchi . 696172_698621
off . 700421_703421
offi . 703422_705671
moth . 717471_720471
mothi . 720472_722221
robe . 727971_730971
robei . 730972_733221
tooth . 736221_739221
toothi . 739222_742125
mouth . 746275_749275
mouthi . 749276_751325
spring . 764625_767625
springi . 767626_769924
laugh . 1021256_1024256
laughing . 1024257_1026457
flying . 1028000_1029256
fly . 1030000_1033000
run . 1045202_1048202
running . 1048203_1050202
catch . 1054702_1057702
catching . 1057703_1059952
ride . 1070707_1073707
riding . 1079007_1082007
rub . 1087857_1090857
rubbing . 1090858_1093607
shaving . 1095407_1098407
shave . 1098408_1100407
raking . 1106358_1109358
rake . 1110858_1113858
reading . 1124800_1127800
read . 1127801_1130155
throw . 1135955_1138955
throwing . 1140155_1143155
