# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1969
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Eng-UK/Smith/Amahl/020202.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
Adrian .
aeroplane .
angry .
ant .
apple .
away .
away .
baby .
back .
ball .
banana .
bath .
bead .
bead .
beetle .
bell .
better .
bird .
biscuit .
biscuit .
bit .
black .
blow .
blue .
bolt .
book .
bottle .
bottom .
boy .
brief-case .
broken .
brush .
bump .
burn .
burp .
bus .
butterfly .
cake .
caravan .
caravan .
carpet .
cat .
chair .
chocolate .
chocolate .
church .
clean .
cloth .
coach .
cock .
come .
come out .
corner .
corridor .
cream .
crib .
crumb .
crying .
cupboard .
curtain .
Daddy .
dark .
ding-dong .
dog .
door .
drink .
driving .
drum .
dry .
duck .
elbow .
empty .
escape .
eye .
feet .
finger .
fire .
flower .
follow .
foot .
fork .
glasses .
good .
Granna .
grape .
greedy .
hair .
hammer .
hand .
handle .
hard .
head .
hello .
home .
hot .
house .
hurt .
jam .
John .
juice .
key .
kiss .
kitchen .
knee .
knife .
ladder .
lady .
ladybird .
lash .
later .
mower .
lazy .
leg .
Lego .
letter .
lie .
light .
like .
little .
lock .
lolly .
lorry .
lotion .
man .
man .
men .
men .
mend .
mice .
Mike .
milk .
mixer .
moon .
moon .
more .
motor-car .
naughty .
new .
nice .
nipple .
noisy .
nose .
now .
nut .
on .
one .
open .
other .
out .
outside .
park .
pedal .
peg .
pen .
penis .
pip .
play .
please .
rain .
red .
ring .
Robbie .
room .
round .
rubber .
rubber-band .
running .
scissors .
scream .
screw .
seat .
sharp .
shirt .
shoe .
shopping .
shoulder .
side .
singing .
skin .
sky .
slipper .
smell .
Smith .
snake .
soap .
sock .
soon .
soup .
spanner .
spoon .
sport .
stalk .
stamp .
sticky .
stop .
stop .
stroke .
stuck .
sunshine .
sunshine .
swing .
switch .
table .
taking .
taxi .
teddy .
teeth .
telephone .
telephone .
tent .
thank you .
there .
tickle .
tie .
tiger .
tongue .
troddler .
trolley .
trowel .
truck .
turn .
uncle .
up .
urinate .
wash .
watch .
wet .
wheel .
wheel-barrow .
whistle .
whistle .
window .
working .
workroom .
write .
yellow .
yes .
zebra 
