# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	2004
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Eng-NA/Davis-CDI/Ben/WS/1_11_06.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
choo choo .
cockadoodledoo .
grr .
meow .
moo .
ouch .
quack quack .
uh oh .
vroom .
woof woof .
animal .
butterfly .
duck .
fish .
moose .
mouse .
owl .
squirrel .
airplane .
bicycle .
car .
motorcycle .
train .
truck .
ball .
balloon .
book .
bubbles .
apple .
banana .
candy .
cheerios .
cheese .
cookie .
drink .
french fries .
ice .
milk .
pizza .
strawberry .
water .
hat .
pants .
shoe .
eye .
feet .
boo boo .
broom .
clock .
cup .
keys .
light .
money .
spoon .
room .
flower .
moon .
rock .
roof .
sky .
snow .
swing .
water .
beach .
home .
house .
outside .
babysitter's name .
cowboy .
daddy .
grandma .
grandpa .
mommy .
pet's name .
uncle .
bath .
bye .
hi .
hello .
night night .
no .
please .
shh shush hush .
thank you .
cook .
eat .
go .
help .
jump .
read .
sit .
sweep .
swing .
cold .
empty .
fine .
hot .
nice .
stuck .
wet .
windy .
yucky .
me .
mine .
my .
down .
off .
on .
out .
up .
a .
another .
need need to 
