# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/TAKI/Parents/AD/AD5111.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
guten . 2368_2670
Tag . 2670_3134
heute . 3134_3565
ist . 3565_3836
Samstag . 3836_4622
der . 4622_4777
fünfte . 4777_5273
November . 5273_5844
zweitausendundfünf . 5844_7324
es . 8078_8278
sprechen . 8278_8923
Evelyn . 9020_9617
Dalkowski . 9617_10477
und . 10477_10708
ihre . 10708_10937
Mutter . 10937_11409
so . 12423_12561
Evi . 12561_12832
jetzt . 12832_13084
kannste . 13084_13499
anfangen . 13499_14016
die . 22668_22813
Tiere . 22813_23242
fliegen . 23242_23560
alle . 23560_23734
zu . 23734_23978
Backnang . 23978_24639
Aha . 29765_30395
und . 32456_32701
wer . 32701_32896
trägt . 32896_33342
die . 33342_33474
Tiere . 33474_33920
alle . 33920_34287
ist . 37912_38100
das . 38100_38190
der . 38190_38397
Baadoni . 38397_39237
nee . 42298_42437
ich . 42437_42617
glaub . 42617_42862
du . 42862_42942
hattest . 42942_43230
recht . 43230_43478
das . 43478_43664
ist . 43664_43770
der . 43770_43915
Baadoni . 43915_44674
hattest . 45277_45648
du . 45648_45727
völlig . 45727_46239
recht . 46239_46734
die . 58521_58671
Valli . 58671_58972
hat . 58972_59188
mir . 59188_59324
nur . 59324_59651
was . 59761_59959
von . 59959_60157
ihrer . 60157_60377
Puppe . 60377_60751
gegeben . 60751_61459
Genau . 67700_68341
und . 69220_69577
Evi . 69684_69973
horch . 69973_70248
mal . 70248_70487
du . 70487_70791
musst . 70791_71100
immer . 71100_71261
erzählen . 71261_71822
wen . 72075_72303
der . 72303_72464
Baadoni . 72464_73058
grade . 73058_73433
trägt . 73433_74086
genau . 78201_78708
okay . 82016_82457
dann . 82457_82611
bringste . 82611_83051
des . 83051_83340
Namii . 83340_83865
auch . 84530_84797
nach . 84797_85072
Backnang . 85072_85688
und . 85751_85949
dann . 85949_86242
erzählste . 87391_88040
mal . 88040_88249
wer . 88249_88436
schon . 88436_88630
alles . 88630_88983
da . 88983_89280
ist . 89280_89720
Nee . 100460_100720
des . 100720_100934
ist . 100934_101070
der . 101070_101224
Dooba . 101224_101825
ja . 103164_103374
super . 103374_104078
Mensch . 104566_104918
du . 104918_105010
weist . 105010_105332
die . 105332_105409
Namen . 105409_105894
ja . 105894_106062
alle . 106062_106301
noch . 106301_106602
klasse . 106602_107079
wer . 113239_113406
ist . 113406_113552
jetz . 113552_113824
dran . 113824_114149
ja . 118154_118347
super . 118347_118900
der . 119297_119446
Dobaa . 119446_119997
die . 136333_136540
haben . 136540_136855
da . 136855_137035
ihr . 137035_137229
Schlafbett . 137229_138296
da . 139059_139194
ist . 139194_139396
noch . 139396_139565
Platz . 139565_139898
na . 139898_140092
du . 140092_140242
hast . 140242_140551
ja . 140551_140721
aber . 140721_140971
auch . 140971_141239
noch . 141239_141432
ein . 141432_141528
paar . 141528_141747
Tiere . 141747_142041
die . 142041_142191
du . 142191_142315
tragen . 142315_142764
musst . 142764_143178
wer . 146139_146297
ist . 146297_146439
das . 146439_146718
jetzt . 146718_147197
genau . 149105_149548
der . 150495_150632
Badonii . 150632_151445
genau . 151594_152081
vom . 155480_155834
Baadoni . 155834_156478
