# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/Stuttgart/Parents/PW/PW7041.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
ich . 8098_8142
hab . 8142_8275
gesagt . 8275_8678
das . 8678_8811
heute . 8811_8997
der . 8997_9108
dritte . 9108_9383
April . 9383_9702
ist . 9702_10057
was . 21921_22032
ist . 22032_22178
da . 22178_22307
das . 37735_37846
ist . 37846_37997
ein . 37997_38112
Eskimo . 38112_38774
der . 41720_41822
lebt . 41822_42096
ganz . 42096_42615
oben . 43869_44202
im . 44202_44361
Norden . 44361_44898
des . 51603_51705
ist . 51705_51860
ein . 51860_52007
Matrose . 52007_52690
sag . 54975_55185
mal . 55185_55349
Matrose . 55349_56068
was . 62896_63016
ist . 63016_63185
das . 63185_63393
denn . 63393_63552
nein . 66283_66850
es . 66850_66970
ist . 66970_67103
keine . 67103_67337
Biene . 67337_67665
des . 67665_67829
ist . 67829_68122
eine . 68401_68596
Fliege . 68596_69106
genau . 73467_73990
die . 73990_74083
kann . 74083_74238
so . 74238_74349
krabbeln . 74349_74810
und . 74810_74885
auch . 74885_75027
fliegen . 75027_75377
ge . 75377_75546
zeig . 93447_93638
mal . 93638_93882
genau . 95987_96598
kuck . 107572_107754
mal . 107754_107914
des . 107914_107971
ein . 107971_108091
Fahrrad . 108091_108641
ja . 108641_108840
und . 109585_109678
des . 109678_109749
ist . 109749_109926
ein . 109926_110041
Radfahrer . 110041_110781
sag . 113157_113330
mal . 113330_113494
Radfahrer . 113494_114310
genau . 119083_119557
der . 119557_119716
Junge . 119716_119978
des . 119978_120093
ist . 120093_120231
der . 120231_120381
Radfahrer . 120381_121055
ja . 121055_121281
eine . 135969_136107
Trompete . 136107_136728
Rennwagen . 152040_152913
und . 153197_153325
der . 153325_153467
Mann . 153467_153715
das . 153715_153862
ist . 153862_153955
ein . 153955_154092
Rennfahrer . 154092_154920
genau . 157465_158170
das . 163641_163874
ein . 163874_163954
Papagei . 163954_164380
genau . 168869_169529
Papagei . 173853_174325
sag . 182803_183052
mal . 183052_183256
des . 199229_199375
ist . 199375_199508
ein . 199508_199721
Bikini . 199721_200265
sag . 201990_202221
mal . 202221_202411
Bikini . 202411_203063
genau . 204459_204889
Pinguine . 210618_211245
und . 212995_213212
ein . 213212_213483
Pinguin . 213483_214085
sag . 216789_216993
mal . 216993_217144
Pinguin . 217144_217610
Pinguin . 219517_220298
das . 249427_249578
ist . 249578_249778
ein . 249778_249955
Akrobat . 249955_250753
die . 255154_255216
machen . 255216_255442
so . 255442_255544
Kunststückchen . 255544_256266
gell . 256266_256492
genau . 259586_260149
was . 262032_262205
ist . 262205_262338
das . 262338_262520
genau . 264891_265645
wahrscheinlich . 270768_271269
sind . 271269_271397
da . 271397_271482
Polizisten . 271482_272169
drin . 272169_272390
oder . 272390_272634
was . 281844_282021
ist . 282021_282141
das . 282141_282340
ja . 284610_285097
des . 285509_285665
ein . 285665_285829
Vulkan . 285829_286573
des . 288142_288381
ein . 288381_288576
Berg . 288576_289015
aus . 289015_289188
dem . 289188_289370
Feuer . 289370_289724
raus . 289724_290057
kommt . 290057_290327
des . 290327_290513
ein . 290513_290655
Vulkan . 290655_291262
ja . 291262_291506
ein . 293097_293288
Berg . 293288_293656
aus . 293656_293802
dem . 293802_293970
Feuer . 293970_294263
raus . 294263_294516
kommt . 294516_294817
zeig . 298673_298868
mal . 298868_299063
was . 299240_299364
ist . 299364_299493
das . 299493_299710
genau . 304537_305339
was . 309620_309758
ist . 309758_309891
das . 309891_310130
genau . 313077_313685
Schnee . 313685_314110
und . 314110_314243
dein . 314243_314456
Mann . 314456_314726
der . 314726_314846
fährt . 314846_315209
da . 315209_315293
Ski . 315293_315666
ja . 315666_315887
des . 315887_316127
ein . 316127_316282
Skifahrer . 316805_317638
ja . 319836_320085
Skifahrer . 320085_320810
des . 332543_332805
ein . 332805_332924
Mikrofon . 332924_333610
genau . 339781_340322
du . 340322_340432
hast . 340432_340667
auch . 340667_340854
ein . 340854_340969
Mikrofon . 340969_341460
ja . 350542_350906
es . 350906_351052
ist . 351052_351101
eine . 351101_351251
Nuss . 351251_351863
eine . 352244_352413
besondere . 352413_352971
Nuss . 352971_353250
des . 353250_353427
eine . 353427_353645
Kokosnuss . 353645_354615
ja . 361946_362296
ja . 369844_370132
hast . 370132_370314
schon . 370314_370518
Nüsse . 370518_370762
gegessen . 370762_371276
das . 377086_377370
ist . 377370_377583
ein . 377583_377747
Stadion . 377747_378495
da . 381877_382090
da . 382551_382635
kann . 382635_382790
man . 382790_382999
Fussball . 382999_383473
spielen . 383473_383765
siehst . 383765_384027
da . 384027_384133
ist . 384133_384311
Gras . 384311_384825
des . 386185_386420
Wiese . 386420_386762
und . 387621_387723
da . 387723_387812
kann . 387812_387918
man . 387918_388034
Fussball . 388034_388450
drauf . 388450_388636
spielen . 388636_389035
genau . 397013_397709
ein . 398095_398254
Stadion . 398254_399025
des . 407123_407260
eine . 407260_407446
Gitarre . 407446_407908
genau . 414068_414963
des . 434261_434349
doch . 434349_434478
ein . 434478_434624
Postbote . 434624_435307
kuck . 435307_435489
mal . 435489_435613
da . 435613_435679
hinten . 435679_436003
steht . 436003_436180
ein . 436180_436308
Postauto . 436308_437105
des . 437647_437798
doch . 437798_437895
ein . 437895_438002
Postbote . 438002_438760
genau . 441432_442216
ein . 450948_451107
Gorilla . 451107_451522
Sandalen . 484693_485572
Sandalen . 487138_488580
genau . 490682_491320
genau . 496404_497131
Gitare . 522110_523130
Banane . 529858_530778
genau . 532530_532951
genau . 538713_539529
das . 552976_553117
ist . 553117_553299
Postauto . 553299_554005
genau . 557253_557926
des . 563271_563431
ist . 563431_563573
ein . 563573_563759
Wohnwagen . 563759_564585
des . 569383_569570
ein . 569570_569734
Anhänger . 569734_570274
und . 570642_570766
darin . 570766_570979
kann . 570979_571107
man . 571107_571240
wohnen . 571240_571608
da . 571608_571719
ist . 571719_571883
ein . 571883_572074
Bett . 572074_572641
und . 573310_573523
da . 573523_573736
ist . 573736_574210
ein . 574210_574582
Herd . 574582_575194
da . 575194_575265
kann . 575265_575424
man . 575424_575531
kochen . 575531_576510
und . 577215_577432
da . 577432_577503
gibts . 577503_577747
ein . 577747_577906
Kühlschrank . 577906_579431
doch . 582977_583247
im . 583247_583398
Wohnwagen . 583398_583949
gibts . 583949_584129
doch . 584129_584306
ein . 584306_584404
Kühlschrank . 584404_585042
des . 591451_591721
ein . 591721_591876
Paket . 591876_592398
genau . 597133_597824
des . 597824_598086
bringt . 598086_598467
der . 598467_598604
Postbote . 598604_599212
kann . 599212_599482
ein . 599482_599602
Paket . 599602_600071
bringen . 600071_600333
ja . 600333_600692
Kokosnuss . 616933_617840
genau . 633304_633720
das . 633720_633853
heisst . 633853_634075
Kanone . 634075_634770
eine . 657055_657264
Fliege . 657264_657698
ja . 707697_708304
des . 708304_708588
ist . 708588_708756
auch . 708756_708987
ein . 708987_709129
Gorilla . 709129_709531
ein . 719305_719460
Fotoapparat . 719460_720736
sag . 721778_721955
mal . 721955_722088
Fotoapparat . 722088_723032
Apparat . 724318_725040
und . 727030_727110
des . 727110_727212
ist . 727212_727340
ein . 727340_727495
Fotograf . 727495_728233
der . 728233_728329
Mann . 728329_728555
heisst . 728555_728840
Fotograf . 728840_729493
genau . 732052_732566
des . 775358_775624
eine . 775624_775810
Gardine . 775810_776398
ja . 776398_776568
Gardine . 778928_779705
das . 782525_782636
sind . 782636_782746
dioch . 782746_782831
auch . 782831_782999
Gardinen . 782999_783588
sag . 784355_784506
mal . 784506_784683
Gardine . 784683_785233
Gardine . 787090_787807
oh . 797107_797275
guck . 797275_797443
mal . 797443_797647
des . 797647_797847
ein . 797847_797962
Spiegel . 797962_798458
hier . 798458_798645
guck . 803808_803914
mal . 803914_804016
sind . 804016_804189
Fische . 804189_804655
sind . 804779_805049
da . 805049_805231
gemalt . 805373_805931
ja . 805931_806068
des . 808258_808391
ein . 808391_808515
Spiegel . 808515_809068
sag . 816187_816369
mal . 816369_816493
Spiegel . 816493_816898
oh . 829807_829993
des . 829993_830192
eine . 830192_830281
Eisenbahn . 830281_830823
ja . 844717_844938
die . 844938_845058
Eisenbahn . 845058_845600
ist . 845600_845732
wie . 845732_845940
ein . 845940_845980
Zug . 845980_846281
des . 875635_875830
ein . 875830_875941
Stadion . 875941_876538
sag . 878857_879057
mal . 879057_879207
Stadion . 879207_879948
die . 891431_891591
wollen . 891591_891835
Fussball . 891835_892260
spielen . 892260_892712
das . 904400_904533
ist . 904533_904688
eine . 904688_904905
Prinzessin . 904905_905713
Prinzessin . 909705_910476
ja . 920878_921344
genau . 921344_921831
Krokodil . 931844_932493
das . 941656_941834
ist . 941834_942015
ein . 942015_942166
Matrose . 942166_942780
genau . 944435_944963
ja . 951961_952528
genau . 961880_962549
und . 962594_962736
der . 962736_962913
Mann . 962913_963254
ist . 964832_964907
ein . 964907_965036
Fotograf . 965036_966053
genau . 967917_968719
ein . 973980_974193
Trampolin . 974193_974980
welcher . 1009136_1009512
Hund . 1009512_1009845
wieder . 1040630_1040865
eine . 1040865_1041020
Giraffe . 1041020_1041485
gell . 1041485_1041769
ja . 1050213_1050514
noch . 1050514_1050731
eine . 1050731_1050851
Giraffe . 1050851_1051315
Flugzeuge . 1063498_1064523
und . 1070259_1070592
und . 1070592_1070968
a . 1070968_1071190
da . 1071190_1071309
ist . 1071309_1071562
ein . 1071562_1071646
Flughafen . 1071646_1072543
ja . 1072543_1072803
da . 1072803_1072954
wo . 1072954_1073043
die . 1073043_1073149
Flugzeuge . 1073149_1073645
landen . 1073645_1074097
sag . 1074793_1074971
mal . 1074971_1075099
Flughafen . 1075099_1075810
ja . 1084429_1085032
genau . 1085032_1085408
eine . 1085408_1085497
Trompete . 1085497_1086068
ist . 1086068_1086179
des . 1086179_1086423
des . 1092225_1092376
ist . 1092376_1092655
ein . 1092655_1092845
Saxophon . 1092845_1093588
Pullover . 1105693_1106238
Pullover . 1108228_1108933
Pullover . 1112120_1112763
das . 1122363_1122448
ist . 1122448_1122532
auch . 1122532_1122740
ein . 1122740_1122860
Bikini . 1122860_1123352
der . 1141027_1141102
hat . 1141102_1141165
doch . 1141165_1141280
ein . 1141280_1141395
Paket . 1141395_1141828
in . 1141828_1141936
der . 1141936_1142011
Hand . 1142011_1142352
doch . 1164287_1164447
der . 1164447_1164584
Postbote . 1164584_1165506
der . 1170589_1170696
fährt . 1170696_1171042
im . 1171042_1171161
Postauto . 1171161_1171918
gell . 1171918_1172207
ein . 1176267_1176467
Trampolin . 1176467_1177135
ein . 1189568_1189727
Flughafen . 1189727_1190583
ja . 1190583_1190782
des . 1210222_1210337
ist . 1210337_1210457
ein . 1210457_1210559
Eskimo . 1210559_1211130
des . 1217521_1217703
eine . 1217703_1217898
Pistole . 1217898_1218500
des . 1233809_1233867
sind . 1233867_1234049
zwei . 1234049_1234253
Kobolde . 1234253_1234895
Kobolde . 1237435_1237918
des . 1250426_1250607
auch . 1250607_1250798
eine . 1250798_1250904
Eisenbahn . 1250904_1251483
Eisenbahn . 1255085_1255623
Lastwagen . 1277898_1278485
Polizisten . 1283063_1283866
zwei . 1283866_1284309
sind . 1284309_1284544
des . 1284544_1284717
ja . 1284717_1284850
des . 1307906_1308114
ein . 1308114_1308269
Radfahrer . 1308269_1309018
eine . 1327576_1327775
Malerin . 1327775_1328435
eine . 1336635_1336759
Malerin . 1336759_1337393
sag . 1338909_1339082
mal . 1339082_1339285
Malerin . 1339285_1339963
genau . 1351620_1352214
des . 1352214_1352343
der . 1352343_1352462
Papagei . 1352462_1353061
