# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/TAKI/VD/ADVD5111.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
guten . 1693_2002
Tag . 2002_2380
heute . 2380_2956
ist . 2956_3281
immer . 3281_3571
noch . 3571_3748
Samstag . 3748_4308
der . 4308_4477
fünfte . 4477_4918
November . 4918_5445
zweitausendundfünf . 5445_6874
diesmal . 7406_8062
sprechen . 8062_8885
Valerie . 8885_9764
Dalkowski . 10595_11285
und . 11285_11437
ihre . 11437_11644
Mutter . 11644_11957
also . 13427_13668
na . 16721_16845
ja . 16845_17099
damit . 17099_17345
der . 17345_17634
der . 17634_17787
des . 17787_17993
auswertet . 17993_18687
auch . 18687_18831
weiss . 18831_19264
wer . 19264_19466
hier . 19466_19650
spricht . 19859_20479
genau . 25639_26118
das . 26118_26361
Naami . 26361_26991
Namii . 30579_31355
genau . 31355_32024
ja . 36974_37716
nee . 47722_48019
kuck . 48132_48351
mal . 48351_48496
des . 48496_48871
des . 49039_49231
ist . 49231_49374
Miidano . 49374_49956
genau . 54182_54707
nein . 57343_57577
den . 57577_57779
Dooba . 57779_58088
den . 58088_58266
hattest . 58266_58694
du . 58694_58748
schon . 58748_59084
des . 59084_59271
ist . 59271_59457
der . 59457_59727
genau . 61112_61608
äh . 67803_68392
Badonii . 69094_69800
also . 74903_75153
des . 75153_75352
ist . 75352_75512
Baadoni . 75512_76441
genau . 78765_79334
Biimo . 80982_81757
genau . 84773_85226
super . 85226_85762
Mensch . 85762_86145
hast . 86145_86428
dir . 86428_86580
ja . 86580_86691
toll . 86691_86954
gemerkt . 86954_87386
Valerie . 87386_87822
eine . 92353_92606
Murmel . 92606_93265
warte . 94181_94613
mal . 94613_94866
ist . 102816_103032
die . 103032_103112
nicht . 103112_103438
die . 103438_103631
ist . 103631_103735
doch . 103735_103863
toll . 103863_104169
kuck . 104169_104407
mal . 104407_104547
so . 104547_104670
eine . 104670_104752
schöne . 104752_105076
Blaue . 105076_105519
bitte . 111695_111944
schön . 111944_112197
du . 121673_121870
das . 121870_122176
des . 123682_123971
du . 124187_124299
meinst . 124299_124630
um . 124630_124769
faules . 124769_125139
Ei . 125139_125309
zu . 125309_125476
spielen . 125476_125828
des . 126239_126428
weiss . 126428_126701
ich . 126701_126839
nicht . 126839_127002
mehr . 127002_127130
des . 127130_127315
ist . 127315_127467
auch . 127467_127619
ganz . 127619_127887
egal . 127887_128250
welche . 128250_128478
Saite . 128478_128844
du . 129447_129601
nimmst . 129601_130113
ok . 140372_140861
des . 146019_146204
hat . 146204_146334
die . 146334_146447
Evi . 146447_146732
vorhin . 146732_147065
auch . 147065_147213
gespielt . 147213_147842
ne . 147842_148065
so . 154319_154574
wer . 154574_154748
darf . 154748_154961
anfangen . 154961_155462
der . 156875_157073
Hund . 157073_157619
Besuchshund . 159551_160389
und . 162249_162374
muss . 162374_162569
man . 162569_162733
dazu . 162733_163040
auch . 163040_163203
was . 163203_163372
singen . 163372_163767
oder . 163767_163986
was . 163986_164151
sagen . 164151_164663
alles . 181457_181846
klar . 181846_182146
aber . 185708_185856
gibt . 185856_186079
es . 186079_186216
da . 186216_186330
nicht . 186330_186486
so . 186486_186600
ein . 186600_186655
Lied . 186655_186933
also . 186933_187091
ich . 187091_187235
kenn . 187235_187430
des . 187430_187567
vom . 187567_187738
Plumsack . 187738_188261
das . 188261_188492
man . 188492_188683
da . 188683_188793
ein . 188793_188859
Lied . 188859_189124
dreh . 189590_189819
dich . 189819_190069
nicht . 190069_190372
sing . 190372_190686
dreh . 190686_190953
dich . 190953_191154
nicht . 191154_191361
um . 191361_191593
der . 191593_191704
Plumsack . 191704_192206
geht . 192206_192448
rum . 192448_192715
ah . 201021_201204
also . 203438_203718
dreh . 203718_204142
dich . 204142_204411
nicht . 204411_204753
um . 204753_205089
der . 205089_205257
Plumsack . 205257_205997
geht . 205997_206338
rum . 206338_206727
wer . 206910_207113
sich . 207113_207374
umdreht . 207374_208489
oder . 208489_209140
weiss . 214643_214882
Mutti . 214882_215169
nicht . 215169_215415
mehr . 215415_215655
Dooba . 217945_218493
schnell . 218493_219187
schnell . 219741_220685
ah . 222331_222719
nicht . 222719_223016
geschafft . 223016_223744
Midanoo . 228636_229766
Schlafmütze . 230016_231007
Midanoo . 231007_232053
Luisa . 241126_241507
verschwindest . 241507_242096
du . 242096_242185
bitte . 242185_242559
danke . 243117_243406
schön . 243406_243687
oh . 245287_245674
Naami . 245674_246166
Schlafmütze . 246166_247133
na . 247608_247843
das . 247843_248041
konnte . 248041_248363
ja . 248363_248479
hier . 248479_248652
nicht . 248652_248869
gut . 248869_249140
gehen . 249140_249343
ah . 252235_252749
Hilfe . 252749_253214
die . 253214_253344
Murmel . 253684_254030
rutscht . 254030_254549
und . 262818_263020
jetzt . 263020_263527
wer . 263527_263765
muss . 263765_263972
jetzt . 263972_264164
in . 264164_264286
die . 264286_264358
Mitte . 264358_264736
und . 269892_270045
wie . 270045_270137
heisst . 270137_270401
der . 270401_270470
andere . 270470_270751
Naami . 272553_273022
muss . 273022_273266
in . 273266_273409
die . 273409_273512
Mitte . 273512_273870
weil . 275160_275402
der . 275402_275598
Bimoo . 275938_276626
Naami . 278044_278509
gefangen . 278509_278938
hat . 278938_279186
ok . 281106_281570
Evi . 286523_286832
was . 286832_287017
ist . 287017_287197
denn . 287197_287339
los . 287339_287788
gemeinsam . 294542_295082
spielen . 295082_295388
du . 295388_295478
gehst . 295478_295775
jetzt . 295775_295916
bitte . 295916_296168
raus . 296168_296710
ok . 297278_297666
wir . 297666_297833
hatten . 297833_298067
gesagt . 298067_298368
dass . 298368_298641
jeder . 298641_299000
Baadoni . 304723_305254
hat . 305254_305519
verschlafen . 305519_306420
Naami . 312832_313253
wurde . 313253_313525
gefangen . 313525_314023
Evi . 321162_321311
jetzt . 321311_321504
gehst . 321504_321689
du . 321689_321772
bitte . 321772_321927
raus . 321927_322108
sonst . 322108_322314
werde . 322314_322375
ich . 322375_322477
ganz . 322477_322726
stinkesauer . 322726_323351
alles . 335824_336226
klar . 336226_336493
des . 353903_354153
sind . 354153_354479
ai . 354479_354649
jetzt . 354649_354844
aber . 354844_355061
Regelungen . 355061_356150
äh . 356453_356648
Valerie . 356648_357046
die . 357046_357182
verstehe . 357182_357599
ich . 357599_357750
jetzt . 357750_358009
nicht . 358009_358189
ganz . 358189_358700
Luisa . 360919_361388
legst . 361388_361737
du . 361737_361811
es . 361811_361909
drauf . 361909_362170
an . 362170_362387
dass . 362387_362554
ich . 362554_362695
mit . 362695_362849
dir . 362849_362985
schimpfe . 362985_363430
oder . 363430_363652
was . 363652_363841
soll . 363841_364159
des . 364159_364449
ja . 369979_370278
wir . 370278_370413
