# language_name_wals:	Japanese
# language_name_glotto:	Japanese
# iso639_3:	jpn
# year_composed:	NA
# year_published:	NA
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Jpan
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Japanese/Ota/Kenta/010911.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
maru .
maru .
nontan .
nontan .
nontan .
nanda . 14691_17670
nanda . 17670_19206
nanda . 19206_20945
nanda . 20945_22598
nanda . 22598_24990
nanda . 24990_27276
nanda . 28590_31590
nanda . 43863_46611
nanda . 46611_48385
nanda . 50531_53531
nanda . 78270_81161
nanda . 81161_82731
Nontan doko ni iruxxx .
nanda . 102791_105791
Nontan . 107483_110483
nanda . 110483_112156
xxx . 112156_114443
nanda . 188055_191055
nanda . 251781_254781
nanda . 254781_256568
nanda . 343963_346963
nanda . 346963_348228
nanda .
xxx . 484980_487646
nanda . 494740_497740
nanda . 523026_526026
nanda . 526026_527971
nanda . 578475_581475
nanda . 581475_582810
nanda . 582810_584273
nanda . 609666_612251
xxx . 645526_648526
nanda . 653783_656783
nanda . 658745_661721
xxx . 885898_888693
xxx . 1007396_1010396
nanda . 1010396_1011215
xxx . 1016835_1019820
xxx . 1019820_1021056
xxx . 1238930_1241930
xxx . 1241930_1243515
xxx . 1247833_1250833
xxx . 1254866_1257866
xxx . 1265581_1268563
nanda . 1268563_1269600
nanda . 1373870_1376870
nanda . 1414356_1417356
nanda . 1417356_1418898
nanda . 1418898_1420166
nanda . 1420166_1422070
nanda . 1422070_1423358
nanda . 1435696_1438696
xxx . 1622853_1625743
daruma . 1877680_1880680
daruma . 1923585_1926585
daruma . 1926585_1928238
xxx . 1940263_1943263
daruma . 1964885_1967885
iti . 2106958_2108976
iti . 2108760_2110130
iti . 2110130_2111548
xxx . 2111548_2114105
xxx . 2114223_2115450
xxx . 2115450_2116545
xxx . 2116545_2117621
xxx . 2117621_2118278
xxx . 2118278_2120060
xxx . 2120060_2121473
xxx . 2121473_2122720
xxx . 2122720_2124033
iti . 2148880_2151880
ni . 2158068_2160796
ni . 2160796_2161703
san . 2161703_2163135
iti . 2163135_2165743
iti . 2165743_2166838
iti . 2166838_2168636
iti . 2170903_2173903
niko . 2173903_2174828
xxx . 2174828_2175536
xxx . 2175536_2177066
xxx . 2177066_2178355
nanda . 2196876_2199876
nanda . 2200360_2203360
nanda . 2203360_2206070
nanda . 2207495_2210495
nanda . 2212525_2214958
nanda . 2214958_2216415
nanda . 2216415_2217368
xxx . 2222260_2225260
Anpanman . 2225260_2227816
xxx . 2227816_2230086
nanda . 2240531_2241526
nanda . 2241526_2242611
nanda . 2242611_2243766
xxx . 2309748_2312748
xxx . 2356575_2359345
nanda . 2359345_2360458
nanda . 2439601_2442601
xxx . 2442601_2444813
xxx . 2445195_2448195
xxx . 3002393_3005345
xxx . 3099631_3102631
xxx . 3113051_3116051
dekita . 3116051_3118271
xxx . 3118271_3120978
xxx . 3154373_3157373
xxx . 3263413_3266413
ittyatta . 3283211_3286211
ittaytta . 3340760_3343760
xxx . 3403348_3406348
nanda . 3592958_3595053
nanda . 3595053_3596755
nanda . 3673986_3675493
nanda . 3675493_3677015
nanda . 3677015_3678253
nanda . 3678253_3680740
nanda . 3680740_3681795
nanda . 3681795_3684635
nanda . 3709330_3710883
nanda . 3710883_3711838
nanda . 3711838_3713526
xxx . 3759395_3762395
xxx . 3849238_3852238
xxx . 3852238_3853371
xxx . 3865363_3868363
xxx . 3868363_3870098
xxx . 3870098_3870966
xxx . 3870966_3872688
