# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	2004
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Eng-NA/Davis/Hannah/011016.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
shoe . 7714_10714
two . 22167_25167
yeah . 25167_26744
no . 103102_106102
no no no no . 124000_127000
xxx . 144070_147070
no . 147070_149065
no . 154545_157545
ball . 157545_158662
xxx . 160126_163126
sugar . 163126_164511
xxx . 167265_170265
xxx . 197474_200474
xxx . 203068_206068
xxx . 206068_207058
xxx . 210400_213400
xxx . 213400_215687
no . 215687_217522
no . 239159_242159
no . 287473_290473
xxx . 295719_298719
down . 298719_300608
down . 300608_303466
xxx . 304366_307366
xxx . 315845_319845
ball . 322583_325583
no . 333572_336572
ball . 348340_351340
xxx . 361890_364890
there . 364890_366674
xxx . 366674_369166
xxx . 385074_388074
xxx . 388074_389104
xxx . 389628_392628
xxx . 392628_394154
help . 394154_396609
xxx . 397339_400339
more . 400339_401220
xxx . 401667_404667
xxx . 404667_405751
xxx . 405751_406971
shh . 406971_408916
xxx . 414681_417317
xxx . 417317_418289
xxx . 418289_420443
xxx . 421025_424025
xxx . 424025_425968
xxx . 427729_430729
xxx . 431997_434997
xxx . 436044_440044
xxx . 440044_441659
xxx . 445583_448583
xxx . 448583_450169
xxx . 450169_451125
help . 459298_462298
help . 462298_464199
xxx . 464199_466749
no . 467460_470460
help . 471691_474691
there . 479569_482569
xxx . 482569_484959
xxx . 484959_486045
no no &-uh . 487555_490555
ball . 492112_495112
ball . 495112_496644
no . 496644_499004
xxx . 517308_520308
xxx . 523817_527817
xxx . 527817_530436
xxx . 535193_538193
xxx . 538193_539694
xxx . 539694_541140
no . 561899_564899
xxx . 572085_575085
ah boom . 584144_587144
yeah . 587144_587917
fireworks . 587917_589082
fireworks . 589082_590476
fireworks . 590476_592662
fireworks . 592662_594646
fireworks . 594646_595937
Cec . 595937_597536
oh no . 597536_600308
no . 600546_603243
fireworks . 603243_604566
Cec . 604566_606281
Cec . 606281_607440
xxx . 607440_609839
help . 609839_612541
yeah . 613453_616453
xxx . 616453_618181
xxx . 618181_619545
yeah . 623640_626640
up . 627462_630462
xxx . 630462_632943
xxx . 634500_637500
xxx . 650804_653804
xxx . 653824_656824
xxx . 658298_661298
xxx . 671623_674623
xxx . 674623_675877
xxx . 675877_677678
xxx . 677678_678687
xxx . 678687_680401
xxx . 680401_681875
xxx . 682566_685566
xxx . 693430_696430
there is . 696430_699196
xxx . 699727_702727
xxx . 728489_731489
blue . 731489_734191
xxx . 734191_737148
xxx . 737148_739551
xxx . 742552_745552
xxx . 745552_748428
xxx . 748428_749635
xxx . 749635_750963
xxx . 750963_752422
xxx . 752422_754857
xxx . 754857_756169
xxx . 757979_760979
xxx . 763047_766047
xxx . 766047_768244
xxx . 768704_771704
yeah . 778610_781610
bow . 794135_797135
yeah . 797582_800582
yeah . 808212_811212
xxx . 845662_848662
shoes . 857308_860308
shoes . 860308_861621
shoes . 861621_862882
xxx . 873902_877902
xxx . 877902_880151
pee . 880151_882247
no mine . 921413_924413
xxx . 937402_941402
xxx . 946492_949490
xxx . 950442_953442
xxx . 953442_955615
xxx . 971091_974040
xxx . 974040_975178
xxx . 975178_976829
xxx . 987988_990988
xxx . 992484_995484
xxx . 999124_1002124
catch . 1005737_1008737
catch . 1008737_1009950
no . 1009950_1012393
help . 1012393_1013764
xxx . 1014467_1017467
xxx . 1018686_1021686
up . 1026754_1029754
up . 1046334_1049334
xxx . 1057682_1060682
xxx . 1077042_1080842
up . 1082293_1085221
xxx . 1085221_1087753
xxx . 1089433_1092433
xxx . 1099964_1102964
catch . 1106529_1109529
no . 1111099_1114099
up . 1114099_1116140
up . 1116140_1117985
up . 1118811_1121811
no . 1124237_1127237
xxx . 1127237_1129504
hide . 1138101_1141101
hide . 1141101_1142529
there . 1151346_1154346
xxx . 1155328_1158328
there . 1158328_1159347
xxx . 1160653_1163653
xxx . 1163653_1166207
xxx . 1170118_1173118
xxx . 1173118_1173978
xxx . 1179297_1182297
no . 1192992_1195992
no . 1201871_1204871
hide . 1204871_1206409
hide . 1216001_1219001
xxx . 1219001_1220259
xxx . 1230210_1233210
xxx . 1233832_1236832
xxx . 1236832_1238630
xxx . 1238836_1241836
xxx no . 1241836_1244160
hide . 1244160_1245140
xxx . 1246780_1249780
xxx . 1252618_1255618
xxx . 1261399_1264399
no . 1267081_1270081
xxx . 1270081_1272968
xxx . 1273326_1276326
xxx . 1276326_1277621
no . 1279947_1282947
tail . 1284781_1287781
bug . 1296995_1299995
xxx . 1301111_1304111
xxx . 1315882_1318882
xxx 
