# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/TAKI/Parents/BL/ADBL6011.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
darf . 13314_13570
ich . 13570_13716
dir . 13716_13859
helfen . 13859_14253
ich . 15866_16085
glaube . 16085_16511
ja . 16511_16895
wobei . 19551_19801
ich . 19801_19950
da . 19950_20081
nicht . 20081_20276
so . 20276_20407
ganz . 20407_20723
sattelfest . 20723_21434
bin . 21434_21584
aber . 21584_21806
du . 21806_21959
darfst . 21959_22365
mich . 22365_22540
dann . 22540_22706
gerne . 22706_22990
verbessern . 22990_23623
nein . 32938_33128
das . 33128_33405
ist . 33405_33741
ist . 33741_34013
völlig . 34013_34308
in . 34308_34420
Ordnung . 34420_34843
hast . 35227_35500
du . 35500_35587
eine . 35587_35801
spezielle . 35801_36319
Vorliebe . 36319_36898
soll . 36898_37095
ich . 37095_37258
mit . 37258_37392
einem . 37392_37642
Tier . 37642_37861
beginnen . 37861_38367
oder . 38367_38611
ist . 38611_38837
dir . 38837_38907
das . 38907_39116
ganz . 39116_39418
egal . 39418_39797
also . 41948_42167
dann . 42167_42327
fangen . 42327_42561
wir . 42561_42646
mit . 42646_42823
den . 42823_42945
Zebras . 42945_43519
an . 43519_43794
das . 44375_44538
ist . 44538_44723
Naami . 44723_45509
und . 46411_46518
das . 46518_46747
kleine . 46747_47218
ist . 47218_47425
Namii . 47425_48048
dann . 50164_50621
mein . 50782_51066
Liebling . 51066_51645
der . 51645_51808
Dooba . 51808_52491
und . 54316_54438
der . 54438_54584
kleine . 54584_54965
Pinguin . 54965_55690
der . 55690_55848
Dobaa . 55848_56396
dann . 58813_59278
ja . 60837_61168
vor . 61168_61372
allem . 61372_61625
seitdem . 61625_61958
ich . 61958_62077
das . 62077_62248
einmal . 62248_62464
falsch . 62464_62780
gemacht . 62780_63160
habe . 63160_63274
weiss . 63379_63617
ich . 63617_63748
jetzt . 63748_64011
das . 64011_64157
es . 64157_64318
Dooba . 64318_64802
und . 64967_65069
Dobaa . 65069_65432
genau . 66358_66769
des . 67472_67647
ist . 67647_67798
glaub . 67798_68059
