# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1989
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Bernhardt/S6/030400.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
again .
air+plane .
all .
all+alone .
and .
and .
any .
anything .
at .
aunt .
ears .
eating .
egg .
eyes .
ice .
ice+cubes .
icy .
is .
is .
it .
itch .
itchy .
it's .
it's .
orange .
orange+juice .
other .
under .
machine .
mask .
mice .
milk .
more .
mouse .
mouth .
mouthy .
much .
music .
musicbox .
night .
noise .
noisy .
nose .
not .
not .
page .
pages .
pages .
pants .
park .
party .
pen .
pictures pictures .
pie .
pink .
plant .
play .
please .
plum .
popper .
pour .
pouring .
present present .
presents .
putting .
baker+man .
basket .
bathtub .
big .
bigger .
birthday .
black .
blood .
blouse .
blow .
blow .
blue blue .
book book .
boots .
bought .
box .
boy .
broke .
brush .
brush .
but but .
buzz .
buzzing .
take take take .
teeth .
television .
to to .
to .
too too .
toot toot .
tooth .
tooth+brush tooth+brush .
toothy .
train .
tree .
truck .
try .
t_v .
two .
did .
doll .
dollbed .
dollhouse .
dolly .
dress .
dressing .
cage .
cagey .
cake .
call .
calling .
camel .
can .
can .
candle .
candles .
cat .
Claus .
climbing .
clip .
clock .
clothes .
clown .
coffee .
color .
colored .
coloring .
comb .
combing .
combing .
come .
coming .
cook .
cookie .
cooking .
corner .
cow .
crayons .
cup .
keep .
key .
quack+quack .
quarter .
get .
give .
glasses .
glove .
glovey .
glow+stars .
glue .
go go .
go .
going .
gone .
good .
gray .
green .
green .
fell .
fingers .
fish .
fishing .
five .
flashlight .
flat .
flower .
fluffy .
fluffy .
fly .
for .
fork .
friendly .
frogs .
van .
three .
throw .
throwing .
thumb .
that .
that .
that that .
the the .
them .
there .
these .
this .
this .
this .
those .
sːːː .
sːːː .
sad .
Santa .
Santa .
saw saw .
scarf .
screwdriver .
see .
sewing .
sewing+machine .
sis .
sitting .
sleep .
sleep .
sleep .
sleep .
sleep .
sleigh .
slide .
small .
Smarties .
smooth .
snake .
snakey .
snow .
snowing .
snowman .
soap .
soapy .
some .
something .
spider .
spoon .
squirrel squirrel .
squirrel .
starry .
stars .
stuck .
sun sun .
sunglasses .
sun+shine .
sunny .
sweater .
zːːː .
zːːː .
zipper .
zoo .
shaking .
shining .
shirt .
shoe .
shorts .
chair .
cherry .
chicken .
church church .
church .
G .
giant .
J .
jam .
'jamas .
judge .
jump .
jumping .
junk .
just .
rabbit .
radio .
read .
reading .
red .
right .
roar .
rooster .
rough .
rub .
rubbing .
running .
leaf .
library .
little .
looking .
lunch .
Lyle .
one .
wagon .
wall .
want .
want .
watch .
watching .
what .
wish .
with with .
yellow .
your .
hair .
hanger .
hanging .
hat .
have .
have .
have .
her .
here .
him him .
horse .
horsie .
hug .
hugging .
hugging 
