# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/TAKI/ED/ED5072.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
Parkhaus . 580_1760
wer . 2343_2622
sich . 2622_2945
dann . 2945_3286
was . 3286_3530
schnappt . 3530_4756
der . 5041_5325
darf . 5325_5750
des . 5997_6225
auch . 6225_6560
essen . 6668_7080
wer . 10347_10917
nicht . 10917_11951
Mama . 13059_13550
ich . 13550_13739
hab . 13739_14046
Hunger . 14046_14555
ja . 14555_14856
da . 14856_15069
lauf . 15069_15545
hin . 15545_15833
Mama . 22763_23210
wer . 23210_23488
isst . 23488_23935
denn . 23935_24485
die . 25262_25392
rote . 25392_26169
Nudel . 26655_27296
ja . 30394_30801
Mama . 34011_34380
wer . 34380_34659
essen . 35002_35799
die . 35799_35948
grosse . 35948_37094
Mama . 38353_39029
wer . 39029_39430
esst . 39430_39908
denn . 39908_40286
Na . 44943_45828
der . 51975_52215
hat . 52215_52461
schon . 52461_52791
aufgegessen . 52791_54728
ja . 57545_57817
ich . 58594_58782
will . 58782_59008
nochmal . 59008_59559
eine . 59559_60122
nein . 60122_61029
du . 61787_61929
kriegst . 61929_62395
nachher . 62395_62848
nochmal . 62848_63353
eine . 63353_63852
ja . 63852_64092
ja . 64882_65011
namnamnamnamnamnamnam . 77568_79996
schon . 80417_80664
auf . 80664_81207
ja . 83856_84063
der . 85352_85643
geht . 85643_85915
da . 85915_86298
hin . 86298_86822
Mama . 88163_88583
jetzt . 88583_88946
ist . 88946_89147
alles . 89147_89535
durcheinander . 89535_90882
weil . 93032_93188
ich . 93188_93363
des . 93363_93667
nicht . 93667_94017
haben . 94431_94710
will . 94710_94956
Mama . 95364_95700
des . 95700_96141
weg . 96316_96620
des . 96620_97022
weg . 97022_97507
und . 99103_99638
kleine . 100428_100907
geht . 101276_101509
zu . 101509_101691
Kühen . 102028_103109
der . 103562_103802
matscht . 103802_104164
aber . 104164_104508
nicht . 104508_104864
in . 104864_105013
die . 105013_105149
Tanten . 105149_106476
warum . 112764_113444
des . 117777_117990
Namii . 117990_118845
stellt . 118845_119577
sich . 119577_119966
dahin . 119966_120438
rutsch . 120581_121688
plumps . 121908_122666
ja . 126629_127156
bum . 127970_128792
ah . 141848_142275
die . 145383_145746
is . 145746_145953
auch . 145953_146322
in . 146322_146517
den . 146517_146763
Kuhfladen . 147125_148589
getreten . 148589_149891
ja . 161573_162491
Mama . 164126_164682
zeigst . 164682_165297
du . 165297_165407
wo . 165407_165523
des . 165523_165724
Wasser . 165724_166048
ist . 166048_166424
die . 167991_168153
Mama . 168153_168781
hat . 168904_169189
sich . 169189_169454
gleich . 169454_169882
abgeduscht . 169882_171099
äh . 172051_172440
Mama . 172440_173062
ich . 173062_173243
will . 173243_173508
aber . 173508_173858
nicht . 173858_174220
ins . 174220_174654
Wasser . 174654_175600
Komm . 176759_177096
du . 177096_177212
wirst . 177212_177491
nur . 177491_177679
einmal . 177679_178054
abgebraust . 178054_179084
was . 186699_187166
und . 199839_199994
jetz . 199994_200286
bitte . 200286_200513
aber . 200804_201056
die . 201056_201264
sind . 201264_201646
da . 201646_201911
noch . 201911_202229
bisschen . 202229_202876
dreckig . 203058_203692
tukutu . 204488_205492
und . 206678_206859
jetz . 206859_207202
gehn . 207409_207623
sie . 207623_207765
da . 207765_207960
ins . 207960_208245
Haus . 208245_208556
rein . 208556_208951
nein . 211141_212078
ah . 215847_216877
die . 217003_217220
essen . 217220_217680
davon . 217680_218198
was . 218198_218567
Naami . 219752_220562
da . 220562_220711
ist . 220711_220937
was . 220937_221799
namnam . 222537_223172
weg . 227180_227867
namnamnamnamnamnamnamnam . 230982_234116
fertig . 235858_236758
namnamnamnamnam . 236758_239012
ja . 242450_242709
die . 243260_243402
hat . 243402_243707
da . 243707_244114
was . 244114_244503
von . 244866_245293
gefressen . 245293_246368
und . 249587_249979
in . 249979_250163
deine . 250163_250623
Hose . 250623_251193
des . 254321_254599
tat . 254599_254987
ein . 254987_255065
bisschen . 255065_255570
weh . 255570_255940
ja . 259223_259726
die . 264370_264507
darf . 264507_264896
keine . 264896_265343
mehr . 265343_265796
nein . 268988_269390
die . 270679_270977
hat . 270977_271385
schon . 271385_271695
eine . 271695_271993
und . 271993_272136
die . 272136_272311
darf . 272311_272719
jetz . 272719_273094
keine . 273094_273347
mehr . 273347_273522
nämlich . 273781_274027
die . 274027_274253
kriegt . 274253_274752
nachher . 274752_275484
nochmal . 275484_276267
eine . 276267_277031
weil . 277711_277996
die . 277996_278113
da . 278113_278534
zu . 278709_279214
weil . 279846_280224
die . 280224_280367
da . 280832_281053
zu . 281318_281888
ist . 281888_282529
mhm . 284627_285230
der . 290819_291110
hat . 291110_291317
noch . 291317_291609
gar . 291609_291952
nix . 291952_292438
weiss . 294458_294743
ich . 294743_294866
nicht . 294866_295384
nein . 299827_300183
der . 300183_300358
hört . 300358_300597
schon . 300597_300753
