# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/Stuttgart/Parents/VZ/VZ6031.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
Friedericke . 14339_15006
heute . 15978_16233
ist . 16233_16341
der . 16341_16466
sechste . 16466_16897
dritte . 16897_17353
zweitausendundsechs . 17765_19097
so . 22194_22365
nun . 22744_22899
starten . 22899_23287
wir . 23287_23473
komm . 26019_26211
her . 26211_26598
was . 44767_44934
ist . 44934_45058
das . 45058_45358
T-Shirt . 47720_48296
sag . 49889_50084
nochmal . 50084_50339
T-Shirt . 50467_50949
nochmal . 53632_54039
T-Shirt . 56705_57277
des . 61242_61419
ist . 61419_61520
ein . 61520_61653
Mikro . 61653_61969
was . 63892_64052
ist . 64052_64161
das . 64161_64476
ja . 66196_66398
genau . 66398_66694
ein . 66694_66870
T-Shirt . 66870_67328
Pullover . 68887_69661
nicht . 72035_72230
Puzzel . 72230_72499
Pullover . 72499_73126
das . 77292_77477
Mikrofon . 77477_78106
das . 79809_80016
sind . 80016_80280
Buchstaben . 80280_81255
sag . 82523_82648
mal . 82648_82763
Buchstaben . 82856_83709
Mikrofon . 85069_85670
mal . 87474_87582
Buchstaben . 87655_88435
sagst . 92786_93053
du . 93053_93144
mal . 93144_93317
Buchstaben . 93317_94114
nein . 99453_99711
lass . 99711_99880
das . 99880_100029
Mikro . 100029_100311
mal . 100311_100527
dran . 100527_100845
was . 115201_115328
ist . 115328_115457
das . 115457_115800
nein . 116675_116968
sind . 116968_117142
keine . 117142_117419
Schuh . 117419_117697
des . 117697_117781
sind . 117781_118010
Schuhe . 118010_118538
aber . 118538_118769
Sandalen . 118769_119713
sag . 119725_119865
mal . 119865_119995
Sandalen . 119995_120993
Schuhe . 126833_127357
genau . 127587_127985
was . 132834_132967
ist . 132967_133138
das . 133138_133504
Gorilla . 136075_136774
sagst . 136948_137176
du . 137176_137284
mal . 137284_137444
Gorilla . 137444_138068
Banane . 156108_156839
gut . 158470_159007
und . 160278_160436
Apfel . 160466_161145
sag . 162725_162892
mal . 162892_163084
Apfel . 163084_163740
Apfel . 166912_167625
genau . 167719_168351
was . 169382_169574
ist . 169574_169745
das . 169745_170173
das . 173982_174160
ist . 174160_174297
Kai . 174297_174657
Kai . 174667_174931
ist . 174931_175006
deine . 175006_175258
Kuschelgiraffe . 175258_176129
sagst . 176129_176354
du . 176354_176429
mal . 176429_176627
Giraffe . 176627_177310
Giraffe . 179626_180309
Giraffe . 182518_183104
Schuhe . 186161_186575
genau . 186652_187044
Sandalen . 187188_188038
Auto . 212271_212667
ein . 212667_212844
Postauto . 212962_214098
Postauto . 215049_215997
Gardine . 249474_250024
Gardine . 250415_250868
Zitrone . 255489_256215
Zitrone . 256691_257375
Banane . 264385_264915
Eskimo . 274697_275497
Hase . 279344_279774
Mütze . 281902_282559
Eskimo . 299594_300249
Elefant . 308552_309386
Elefant . 311580_312430
Elefant . 314857_315677
Mikrofon . 320958_321912
Mikrofon . 323414_324255
Giraffe . 387516_388166
Giraffe . 388795_389438
Giraffe . 391028_391659
Prinzessin . 412259_413281
Prinzessin . 417322_418151
Buchstaben . 455881_456614
