# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	2004
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Eng-NA/Davis-CDI/Ben/WS/2_04_02.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
bird .
cat .
cow .
donkey .
elephant .
lion .
monkey .
pig .
puppy .
rooster .
bus .
tractor .
beans .
cereal .
chicken .
coffee .
cracker .
peas .
popcorn .
sandwich .
toast .
vitamins .
coat .
shirt .
zipper .
ankle .
bottom buttocks .
finger .
tummy .
fork .
glasses .
purse .
toothbrush .
vacuum .
bathroom .
bathtub .
couch .
potty .
shower .
lawn mower .
pool .
rain .
sandbox .
shovel .
slide .
sprinkler .
downtown .
movie .
party .
work .
zoo .
clown .
doctor .
friend .
go potty .
snack .
blow .
bring .
climb .
drink .
drive .
fall .
get .
give .
have .
hide .
hold .
hug .
kiss .
knock .
like .
make .
open .
pick .
push .
ride .
say .
see .
show .
sing .
sleep .
splash .
swim .
throw .
wake .
work .
allgone .
better .
big .
broken .
careful .
dark .
dirty .
hurt .
noisy .
slow .
sticky .
now .
there .
with .
more .
the 
