# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	1980
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Xahoápati and titled "Killing the panther".
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "04 panther.pdf".

<line_4.1>	xakI xakI ti kagAIhiaI kagi ab-A-i-p-I * k o-A-i
<glossing>	here_RB here_RB 1_PRP jaguar_NN companion_NN grab_VB-move-into-down-sudden * it_PRP die_VB-move-into
<translation>	Here the jaguar pounced upon my dog.

<line_4.2>	ti kagAIhiaI kagi ab-A-i-p-I * k o-Ai xaI ti * ai-A xai-A
<glossing>	1_PRP jaguar_NN companion_NN grab_VB-move-into-down-sudden * it_PRP die_VB-do thus_RB 1_PRP * do_VB-COMPL_CERT do_VB-COMPL_CERT
<translation>	There the jaguar pounced on my dog and the dog died, it happened with respect to me.

<line_4.3>	gaI * s ib-a-i-b-i ab-ab-A-o-p-i-i-A
<glossing>	there_RB * animal_clitic_NN hit_VB-move-into-down-sudden grab_VB-DUR-move-onto-down-sudden-intent-COMPL_CERT
<translation>	There the jaguar killed the dog by pouncing on it.

<line_4.4>	xi kagi ab-A-i-p-I-sigI-ai gaI-si-i xIs a-p-i-k * ob-A-o-b-i-I-haI
<glossing>	animal_clitic_NN companion_NN grab_VB-move-into-down-sudden-com-be there_RB-place-thus animal_NN move_VB-down-sudden-transition_consonant * see_VB-move-onto-up-INTENT-sudden-REL_CERT
<translation>	With respect to it, the jaguar pounced on the dog, I thought I saw it.

<line_4.5>	xaI ti xai-A xakI kopaIyai kagi ab-A-i-p-A-hai
<glossing>	then_RB 1_PRP do_VB-thus here_RB blackness_panther_NN companion_NN grab_VB-move-into-down-COMPLETIVE-REL_CERT
<translation>	Then I recognized that the panther pounced on my dog.

<line_4.6>	xaI kopaIyai kagi ab-A-i-p-A-hai-i
<glossing>	then_RB panther_NN companion_NN grab_VB-move-into-down-COMPLETIVE-REL_CERT-prosody
