# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	2004
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Eng-NA/Davis/Charlotte/010817.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
xxx .
xxx .
xxx .
xxx .
xxx .
no .
yeah .
xxx .
yeah .
xxx .
juice .
yeah .
yeah .
xxx .
xxx .
down .
uhoh .
xxx .
down .
up .
please .
please .
xxx .
xxx .
please .
xxx .
please .
xxx .
cup .
please .
please .
please .
please .
please .
xxx .
book .
bug .
again .
yeah .
no no .
xxx .
xxx .
xxx .
xxx .
again .
yeah .
please .
yes .
again .
please .
xxx .
again .
again .
please .
bubble .
xxx .
uhoh .
uhoh .
xxx .
uhoh .
uhoh .
please .
xxx .
xxx .
xxx .
xxx .
xxx .
xxx .
xxx .
xxx .
xxx .
cat .
bunny .
cat .
uhoh .
no please .
please .
please .
please .
help .
xxx .
xxx .
xxx .
xxx .
please .
yeah .
xxx .
duck .
duck .
xxx .
xxx .
xxx .
xxx .
please .
please .
xxx .
xxx .
xxx .
xxx .
dog .
please .
xxx .
xxx .
xxx .
book .
please .
please .
xxx .
xxx .
xxx .
plate .
xxx .
cookie .
banana .
cracker .
cookie .
cookie .
cookie .
please .
cookie .
xxx .
ducky .
please .
oink .
cookie .
cookie .
monkey .
monkey .
xxx .
bug .
again .
again .
no .
no .
no .
xxx .
xxx .
xxx .
yeah yeah yeah .
help .
uhoh .
uhoh .
ducky .
xxx .
xxx .
xxx .
please .
please .
xxx .
xxx .
down .
down .
please .
please .
cookie .
cookie .
xxx .
please .
please .
xxx .
please .
xxx .
cookie .
xxx .
cookie .
xxx .
xxx .
xxx .
please .
book .
help .
xxx .
xxx .
xxx .
all gone .
xxx .
xxx .
xxx .
cookie .
xxx .
uhoh .
please .
no .
xxx .
no .
xxx .
pig .
no .
xxx .
xxx .
xxx .
xxx .
xxx .
xxx .
xxx .
xxx .
xxx .
xxx .
xxx .
xxx .
xxx .
please .
xxx .
please .
xxx .
xxx .
please please please .
xxx .
please please .
xxx .
xxx .
xxx .
xxx 
