# language_name_wals:	Turkish
# language_name_glotto:	Turkish
# iso639_3:	tur
# year_composed:	NA
# year_published:	2019
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Other/Turkish/Istanbul/pre_3_108.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
şişman .
pil . 8450_9200
kapı . 11678_12733
helikopter . 32800_34100
ip . 35692_36700
bebek . 37850_39126
araba . 40827_41999
kibrit . 53053_54431
top . 56499_57120
yatak . 58421_60688
atlet . 64489_65570
at . 69371_70000
dede . 70538_88256
dondurma . 100657_102585
radyo . 127980_129100
kuş . 130918_131792
şapka . 133793_135367
ayakkabı . 135568_138100
kulak . 152521_153548
kitap . 155549_157147
şeker . 158448_159560
ekmek . 167251_168899
köpek . 169400_171554
gazete . 179055_180205
bagaj . 189806_191159
güneş . 193237_194327
süpürge . 207028_208393
masa . 209999_211594
elma . 213500_214550
kalem . 215599_217268
kamyon . 217869_219178
nine . 219679_248262
ayna . 260263_261204
pantolon . 261999_263960
burun . 266361_267330
fare . 268331_270737
telefon . 279338_280982
defter . 281283_282771
fotoğraf . 283772_286948
vazo . 303012_304129
deve . 309573_310794
tavşan . 310795_312837
ev . 313399_314629
süt . 316630_317772
bisiklet . 323373_324852
asker . 329473_330999
makas . 331973_333999
zil . 335896_337179
üzüm . 337180_338960
çizme . 357913_359212
kız . 369013_370000
şişe . 370752_373864
kaşık . 373999_375704
kaş . 381505_382551
jilet . 397552_398700
oje . 405423_406254
ruj . 406955_408294
çocuk . 410295_411493
çiçek . 412194_414730
üçgen . 431195_433241
saç . 433242_436854
cami . 448455_449722
gece . 476333_477431
resim . 506028_508329
arı . 508330_510626
parmak . 518650_520000
kar . 532582_533781
lamba . 537182_538200
gözlük . 539212_540921
elbise . 541222_542552
el . 543153_544163
balık . 544364_546211
kol . 562747_563801
koltuk . 564812_566746
yılan . 566750_568291
ayı . 602627_604411
bayrak . 618507_620091
ay . 635092_636836
havuç . 637037_639801
sihirbaz . 655164_656694
anahtar . 657495_659593
timsah . 659794_661400
ağaç . 661581_663644
düğme . 672000_673100
yağ . 680743_681849
tren . 683850_685484
şort . 699776_700800
zarf . 721300_722500
uçurtma . 742003_743317
atatürk . 757435_758987
vinç . 770007_771255
tank . 784901_786436
kalp . 786837_788330
