# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD08/030325.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
throwing .
vacuum . 3355_4746
zebra . 8632_9997
zoo . 12734_13706
brush . 16647_19647
blue . 32454_33782
shark . 38353_39986
teeth . 42051_45051
feather . 54049_55585
green . 61831_63360
vanilla . 68704_70292
shovel . 74935_76456
this . 96084_96975
there . 100787_102850
stretch . 107925_109506
mother . 121711_122846
father . 129258_130475
behind . 133134_135012
yes . 157336_158657
you . 162949_163862
present . 319953_322953
thankyou . 325097_326329
please . 327761_329416
strawberry . 333368_334518
chicken . 341245_342633
cloud . 362533_363980
flower . 366216_367277
vase . 368408_369650
jeep . 372507_374080
magician . 378699_380369
rabbit . 383053_384671
other . 386595_387983
rocket . 395512_397152
space . 398956_400366
ocean . 402981_403946
teacher . 434737_436051
finger . 438062_439168
chair . 440966_442168
thirsty . 454967_456488
queen . 469344_470606
pig . 473616_474937
screw . 477944_478990
shower . 482601_483885
theirs . 492702_494735
thunder . 498560_500156
vest . 503579_504818
drum . 859674_861321
toes . 865744_867020
twelve . 912526_913305
zero . 973281_974543
three . 978954_980023
judge . 992681_994239
jelly . 996133_997137
brother . 1016456_1017777
frenchfries . 1021064_1022741
skunk . 1030281_1031877
shoes . 1033409_1035160
zipping . 1057731_1058866
grapes . 1061194_1062819
slippers . 1066095_1067542
jumping . 1069866_1071120
spoon . 1074030_1077030
princess . 1085407_1086839
fish . 1100525_1103525
fishi . 1103526_1104025
bath . 1103577_1104638
bathi . 1106469_1107560
thumb . 1111526_1112877
thumbi . 1117638_1119144
frog . 1122863_1124666
frogi . 1126272_1127904
glove . 1160944_1162399
glovei . 1163779_1165137
chalk . 1166681_1167772
chalki . 1172640_1173827
juice . 1190260_1191522
juicei . 1200443_1201571
witch . 1514988_1516294
witchi . 1517691_1519450
badge . 1567338_1568763
badgei . 1570160_1571447
train . 1576384_1578069
traini . 1579262_1580731
page . 1582965_1584316
pagei . 1585621_1587409
cheese . 1627690_1628773
cheesei . 1635635_1636815
square . 1653091_1654160
squarei . 1678211_1679450
peach . 1681933_1683217
peachi . 1685165_1686768
ring . 1699142_1700404
ringi . 1701456_1703157
watch . 1704547_1705874
watchi . 1709193_1710900
bridge . 1713093_1714287
bridgei . 1754636_1755749
robe . 2049315_2050688
robei . 2074938_2076645
tooth . 2088870_2090280
toothi . 2091739_2093112
van . 2103277_2104628
vani . 2105620_2106910
web . 2127040_2128190
webi . 2129776_2131520
mouth . 2133360_2134614
mouthi . 2175846_2176937
wish . 2180022_2181113
wishi . 2187259_2188558
stove . 2190858_2191869
stovei . 2192989_2194336
cage . 2196122_2197547
cagei . 2198459_2200059
spring . 2201177_2202358
springi . 2203351_2205008
run . 2207086_2208199
running . 2209035_2210130
hug . 2212047_2213045
hugging . 2214218_2215627
smile . 2217634_2218740
smiling . 2219850_2222024
splash . 2223123_2224396
splashing . 2233546_2235193
break . 2364984_2366201
breaking . 2367083_2368260
swing . 2369844_2370839
swinging . 2395181_2397012
catch . 2400196_2401584
catching . 2402272_2403440
ride . 2408194_2409545
riding . 2410454_2411572
rub . 2412692_2413830
rubbing . 2415041_2416167
shave . 2417859_2419150
shaving . 2423941_2425032
crash . 2430657_2431651
crashing . 2433514_2435013
sleep . 2436786_2438040
sleeping . 2439202_2440347
rain . 2442205_2443626
raining . 2444498_2445693
stir . 2447501_2448760
stirring . 2450185_2451571
read . 2472382_2473547
reading . 2474311_2475382
driving . 2478801_2480025
drive . 2481152_2482765
throw . 2484298_2485508
smoke . 2487599_2488739
thermometer . 2496796_2498740
chain . 2500867_2501958
