# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/Stuttgart/Parents/AD/AD6021.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
guten . 1930_2303
Tag . 2303_2763
heute . 2922_3560
ist . 3760_4529
Sonntag . 5430_6145
der . 6210_6465
sechsundszwanzigste . 6465_7831
Februar . 7870_8315
zweitausendundsechs . 8315_9934
es . 9980_10145
sprechen . 10145_10875
Evelyn . 11300_11818
Dalkowski . 11818_12609
und . 12609_12814
ihre . 12814_13092
Mutter . 13092_13567
Evi . 14540_14851
sag . 14851_15096
mal . 15096_15295
was . 15295_15564
dann . 15590_15771
guck . 15771_15997
ich . 15997_16119
ob . 16119_16273
dein . 16273_16481
Mikro . 16481_16782
geht . 16782_17127
nochmal . 19307_19787
super . 25070_25510
klasse . 25910_26399
guck . 26840_27020
mal . 27020_27180
die . 27180_27305
Britta . 27305_27635
hat . 27635_27810
uns . 27810_28030
hier . 28030_28120
son . 28120_28320
Memoryspiel . 28320_29150
mitgebracht . 29150_29998
wollen . 30520_30730
wir . 30730_30878
uns . 30878_31057
das . 31057_31230
mal . 31230_31432
anschauen . 31432_31990
was . 33259_33464
da . 33464_33596
drauf . 33596_33898
für . 33898_34053
Bilder . 34053_34489
sind . 34489_34840
und . 34840_34970
dann . 34970_35185
spielen . 35185_35462
wir . 35462_35563
auch . 35563_35710
noch . 35710_35892
mit . 35892_36056
den . 36056_36187
Tieren . 36187_36607
halt . 37186_37442
Evi . 38077_38617
du . 38786_38900
kannst . 38900_39220
es . 39220_39392
doch . 39392_39482
nicht . 39482_39690
gleich . 39690_39928
kaputt . 39928_40375
machen . 40375_40745
weißt . 43530_43770
du . 43770_43867
was . 43867_44147
das . 44147_44300
ist . 44300_44785
genau . 47916_48382
da . 48382_48501
wird . 48501_48679
Fussball . 48679_49125
gespielt . 49125_49650
und . 49650_49820
wo . 49820_50020
spielt . 50020_50512
man . 50512_50734
Fussball . 50734_51470
im . 53947_54129
Stadion . 54129_54816
ja . 54816_54948
super . 54948_55510
was . 56105_56314
siehst . 56314_56663
du . 56663_56771
hier . 56771_57304
des . 60210_60446
ist . 60446_60741
eine . 60741_60990
Malerin . 60990_62082
genau . 64347_64798
und . 64830_64981
was . 64981_65169
siehst . 65169_65453
du . 65453_65576
hier . 65576_66010
ne . 68080_68668
aber . 68668_68910
so . 68910_69040
ähnlich . 69040_69540
auch . 69540_69762
ein . 69762_69940
Insekt . 69940_70495
aber . 71120_71305
es . 71305_71402
sticht . 71402_71830
nicht . 71830_72259
und . 72630_72790
wir . 72790_72936
