# language_name_wals:	German
# language_name_glotto:	German
# iso639_3:	deu
# year_composed:	NA
# year_published:	2017
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/German/TAKI/ED/ED6011.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
also . 14032_14636
nja . 18801_19490
ja . 20391_20655
da . 28844_29296
ja . 30457_31244
die . 34183_34376
sind . 34376_34763
da . 34763_34998
tr . 34998_35291
vorne . 35291_35919
drin . 35919_36658
Bimboa . 40764_41720
März . 42260_43222
eh . 43222_43662
April . 44170_44870
die . 46895_47323
Jahresuhr . 47323_48848
steht . 48848_49364
niemals . 49364_50444
still . 50444_51007
Januar . 51464_51987
Februar . 52609_54151
ja . 57196_57477
ich . 58140_58422
zähl . 58422_59073
ja . 59073_59366
eins . 60669_61683
zwei . 62129_63250
drei . 64276_65403
vier . 65737_66764
fünf . 66887_67896
sechs . 68060_68969
sieben . 69415_70700
acht . 71275_72049
neun . 72589_73674
zehn . 73797_74906
zählt . 76930_77727
ja . 79429_79947
ja . 80963_81192
hey . 86325_86968
ich . 87328_87478
war . 87478_87654
noch . 87654_87941
nicht . 88281_88428
alle . 88428_88874
da . 89032_89477
oh . 93531_93997
des . 94980_95234
ist . 95234_95507
immer . 95560_95952
der . 95952_96220
Umfaller . 96220_97528
Mama . 106595_107088
der . 107088_107390
guckt . 107390_107821
aber . 107821_108279
süss . 108279_109036
ich . 112927_113025
habe . 113025_113276
orange . 113276_114173
imimimimamamamma . 117057_120924
wua . 123620_125556
Mama . 126066_127073
hier . 127138_127411
bin . 127411_127708
ich . 127708_127949
doch . 127949_128670
omano . 134475_135241
hm . 147953_149096
Miidano . 150161_151768
ne . 151768_152062
ich . 152113_152283
fang . 152283_152588
mit . 152588_152772
dem . 152772_153135
an . 153567_153885
Eisbär . 154509_155936
Bimoo . 158306_159549
nee . 159625_159864
ich . 159864_160017
mag . 160017_160270
selber . 160270_160816
machen . 161091_161531
nochmal . 161586_162320
ja . 162320_162525
Bimoo . 164098_165675
und . 167738_168020
Miidano . 169521_171133
Midanoo . 175009_175602
Midaano . 177443_178069
Miidano . 179592_181605
wie . 183093_183254
heißt . 183254_183534
der . 183534_183802
nochmal . 187477_188277
baa . 188773_189479
jetz . 189745_189913
fang . 189913_190303
wir . 190303_190471
wieder . 190471_190776
von . 190776_191126
neuen . 191126_191493
an . 191493_191661
Biimo . 194330_195526
Bimoo . 196859_197468
hey . 197747_198078
wieder . 198444_198683
von . 198683_198920
vorne . 198920_199705
Bimoo . 200800_202345
Midanoo . 206278_206960
hey . 209480_209757
du . 209757_209994
sollst . 209994_210427
nicht . 210427_210900
jetzt . 211545_211759
fang . 211759_212029
wir . 212029_212214
wieder . 212214_212548
von . 212548_212971
vorne . 213052_213566
an . 213566_213786
du . 213786_213928
sollst . 213928_214512
nicht . 214512_215006
Biibamo . 216206_218422
heh . 218962_219480
hör . 220593_220871
auf . 220871_221285
du . 221285_221371
hast . 221371_221750
gesagt . 221972_222582
ich . 222582_223035
mach . 223568_223932
nix . 223932_224721
nein . 228021_228545
nochmal . 228677_229247
von . 229247_229514
vorne . 229514_229913
Bimoo . 230190_231697
fällt . 233315_233659
immer . 233659_234008
hin . 234008_234253
Bimoo . 235162_235722
Biimo . 238446_239686
Baadoni . 242829_243795
Baadoni . 245926_246857
jetz . 247834_248024
fang . 248024_248346
wir . 248346_248498
wieder . 248498_248817
von . 248817_249123
neuem . 249123_249546
an . 249546_249830
Biimo . 249899_250784
quatsch . 251330_251772
hat . 252652_252977
er . 252977_253080
ja . 253080_253448
hm . 257194_257653
Biimo . 259458_260543
Bimoo . 263716_264267
Bimoo . 265986_266467
Biimo . 268803_270170
Bimoo . 273302_273874
und . 274797_275124
Biimo . 275124_276314
