# language_name_wals:	Paiwan
# language_name_glotto:	paiw1248
# iso639_3:	pwn
# year_composed:	NA
# year_published:	2006
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	Equal signs <=> indicate clitic breaks, and <-> morpheme breaks. These are also used in the original script used to write the Paiwan sentences (not only in glosses). <ʔ> represents a voiceless glottal stop. The less-than sign <<>, and the more-than sign <>> are used to mark infixes, e.g. k<em>an "eat", where <em> is an infix. For the mapping between orthographic representations and Paiwan sounds see Chang (2006), p. 30.
# short_description:	Paiwan text called "Kai's life story (2)". This is told by a Paiwan speaker called kai in the dialect of San (Chang, 2006, p. 428-430).
# source:	Chang, A. H. (2006). A reference grammar of Paiwan. PhD thesis, Australian National University.
# copyright_short:	NA
# copyright_long:	NA
# sample_type:	whole
# comments:	The glossings in the original start with <[> and end with <]>. We leave away these signs. For the interpretation of glossings see list of abbreviations in Chang (2006), p. xxvii  

<line_1>	pai , a za ku=vetek a tala-vuLuvuLung-an , mateLu a alak a tela-u<ʔala>ʔalay a v<in>aik-an nimadu .
<glossing>	Intej Nom.cm that 1sg.Gen=sibling Lin Speltv1-old-Speltv2 three.Clasf.C Lin child Lin all-male<Red> Lin leave<Pef>-LV 3sg.Gen
<translation>	‘ Well , ( as for ) my eldest sister , ( she ) left three sons behind ( after she died ) . ’

<line_2>	ʔau , pai na=s<em>alimsim aravac .	
<glossing>	Intej Intej Pef=miserable<AV> very	
<translation>	‘ And , well , ( they ) are very miserable . ’

<line_3>	pu-cekel a za cekel nimadu a t<em>aʔumal .
<glossing>	have.AV-spouse Nom.cm that spouse 3sg.Gen Lin again<AV>
<translation>	‘ Her husband married again . ’

<line_4>	sa pu-alak angauta tu maDusa tua vavayan .
<glossing>	and have.AV-child also Obl.cm two.Clasf.C Obl.cm female
<translation>	‘ And ( so ) ( he ) has another two daughters . ’

<line_5>	ʔau , a zua mareka alak nua ku=vetek , a v<in>aik-an nimadu , neka=nu sengsengan .
<glossing>	Intej Nom.cm that PL child Gen.cm 1sg.Gen=sibling Lin leave<Pef>-LV 3sg.Gen Neg1=Neg2 job
<translation>	‘ Well , ( As for ) those children of my sister ’ s , whom she left behind , ( they ) have no job . ’

<line_6>	ini=ka na=s<em>upu tua kuDakuDaL .
<glossing>	Neg1=Neg2 Pef=read<AV> Obl.cm big
<translation>	‘ ( They ) did not study ( at ) a big ( school ) . ’
 
<line_7>	na=pate tua kukiuvu sakamaya .
<glossing>	Pef=until.AV Obl.cm senior.high.Jap only
<translation>	‘ They were only ( graduated from ) a senior high school . ’

<line_8>	neka=nu kasengseng-en nua zua mareka ku=alak , a alak ni kaka .	
<glossing>	Neg1=Neg2 work-GV Gen.cm that PL 1sg.Gen=child Lin child Gen.sg.ps sibling
<translation>	‘ My nephews , ( who are ) my elder sister ’ s children , have no work to do . ’

<line_9>	pai , lakua , a zua macidil a sikamasanemusan , ma-Leva=ken tua kilivak na cemas , s<in>i-kuLit timadu . na=makaya timadu a kipusengsengan a s<em>azuua , i=danLung . i=za i=hesheng guoshiau a sasekaʔulan tucu timadu .
<glossing>	Intej but Nom.cm that one.Clasf.C Lin second AntiCau.AV-joyful=1sg.Nom Obl.cm care Gen.cm God IV<Pef>-bless 3sg.Nom [Pef=be.ableto.AV 3sg.Nom Lin work.AV Lingo<AV>there Loc=DaLung Loc=that Loc=Hesheng primay.school.Man Lin janitor now 3sg.Nom
<translation>	‘ Well , but , ( as for ) the second one ( = my second elder sibling ) , I am happy with God ’ s looking after him and blessing him ( with a job ) . ( Therefore , ) he is able to go there , at DaLung , to work . At Hesheng primary school , he is now a janitor . ´

<line_10>	pai i=ka ma-kuda timadu .	
<glossing>	Intej Neg1=Neg2 AntiCau.AV-do.what 3sg.Nom
<translation>	‘ Well , he has no problems ( in surviving ) . ’

<line_11>	s<in>i-kuLit na cemas tua uri zua si-ka-vaLut niamdu tua kinaikacaʔuanan .
<glossing>	IV<Pef>bless Gen.cm God Obl.cm will that IV-AntiCau-live 3pl.Gen Obl.cm the world 
<translation>	‘ God blessed him with what he can live in the world with . ’

<line_12>	ʔau , pai , a zua alak nimadu , maDusa a alak nimadu .
<glossing>	Intej Intej Nom.cm that child 3sg.Gen two.Clasf.CNom.cm child 3sg.Gen
<translation>	‘ And , well , ( as for ) his children , he has two children . ’

<line_13>	macidil a vavayan , macidil a uʔalay .	
<glossing>	one.Clasf.C Lin female one.Clasf.C Lin male
<translation>	‘ One daughter and one son . ’

<line_14>	‘ ʔau , pai , a zua tavuLung , maDusa uta a za alak nimadu .
<glossing>	Intej, Intej Nom.cm that older two.Clasf.Calso Nom.cm thatchild 3sg.Nom
<translation>	‘ And , well , ( as for ) the older ( child ) , he also has two children . ’

<line_15>	uʔalay a macidil , vavayan angauta , macidil angauta a za alak na za tavuLung .
<glossing>	male Lin one.Clasf.C female also one.Clasf.C also Nom.cm that child Gen.cm that older
<translation>	‘ The children of the older one are a son and also a daughter . ’

<line_16>	ʔau , pai , a icu a sipulalak a niamadu , izua=anga a cekel , lakua i=ka na=pu-alak=anan tiamadu .
<glossing>	Intej Intej Nom.cm this Lin youngest Lin 3pl.Gen Exist=Com Nom.cm spouse but Neg1=Neg2 Pef=have.AV-child=Con 3pl.Nom
<translation>	‘ And , well , ( as for ) this youngest ( child ) of his , ( he ) has already a spouse but they still have no children . ’

<line_17>	na=s<em>ane-alak tua alak nua vetek nimadu.	
