# language_name_wals:	Ngiyambaa
# language_name_glotto:	Ngiyambaa
# iso639_3:	wyb
# year_composed:	NA
# year_published:	1977
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	<:> indicates long vowels, <ŋ> velar nasal, <ɽ> apico-post-alveolar continuant.
# short_description:	The title in English of this story is: "Mamie King (Trida): Spring, a favourite dog." Donaldson (1977), p. 383 makes the following remarks about the text: "The contributor of this text is between ten and twenty years younger than the other authors of texts. She is the only one literate in English."
# source:	Donaldson, Tamsin (1977). A description of Ngiyamba:, the language of the Waŋa:ybuwan people of Central Western New South Wales. Submitted for the degree of Doctor of Philosophy in the Australian National University.
# copyright_short:	© by the Author
# copyright_long:	NA
# sample_type:	whole
# comments:	Donaldson (1977), p. 361 makes the following comments about the texts given in her Appendix: "The reader should be cautious in drawing conclusions about the structuring of Ngiyamba: discourse from any of the texts, and particularly from Text 1, to which two speakers contributed. Each text represents a conscious effort to tell a story in Ngiyamba:, which has been almost wholly supplanted by English in the everyday lives of the narrators. There was often considerable discussion in English both before and during the telling, while narrators worked out what to say, listened to the recording of what they had said so far, and suchlike." About the glossing: it should be noted that "when the same morphemes in the same sequence in adjecent sentences, morpheme-by-morpheme glosses are omitted in all but the first sentence, [...]" (Donaldson, 1977, p. 361). The original text gives morpheme segmentations with enclitic pronouns marked by <=>, and other morpheme boundaries marked by <-> (in the glosses there are additionally <+> signs marking the linking of morphemes for which boundaries cannot be marked by a hyphen). The segmentations are given in <segmentation>. The </> signs mark pauses in the recording. The orthography in <line_x> is derived by us by just removing the segmentation marks.

<line_1>	yura:badyu gubaɽa
<segmentation>	yura:bad=yu guba-ɽa
<glossing>	rabbit+ABS=3ERG chase-PRES
<translation>	He chases rabbits .

<line_2>	gadhaɽalu
<segmentation>	gadha-ɽa=lu
<glossing>	bite-PRES=3ERG
<translation>	He catches ( one ) .

<line_3>	ga:mburinjalu
<segmentation>	ga:m-buri-nja=lu
<glossing>	carry-BACK-PRES=3ERG
<translation>	He brings ( it ) back .

<line_4>	ŋunhaladhi:luna
<segmentation>	ŋu-nha-la=dhi:=lu=na
<glossing>	give-PRES-THEN=1OBL=3ERG=3ABS
<translation>	Then he gives it to me .

<line_5>	girbadjayu gubalwa:giyi
<segmentation>	girbadja=yu guba-l-wa:giyi
<glossing>	kangaroo+ABS=3ERG chase-CM-DUR+PAST
<translation>	He used to chase kangaroos .

<line_6>	waŋa:ylu girbadja gadhaɽala
<segmentation>	waŋa:y=lu girbadja gadha-ɽa-la
<glossing>	NEG=3ERG kangaroo+ABS bite-PRES-THEN
<translation>	He doesn't chase kangaroos now .

<line_7>	budjiriwa:ni miri galwa:giyi
<segmentation>	budjiriwa:ni miri ga-l-wa:giyi
<glossing>	pretty+3ABS+VIS dog+ABS be-CM-DUR+PAST
<translation>	He used to be a fine dog .

<line_8>	manabinji ŋiyani
<segmentation>	manabi-nji ŋiyani
<glossing>	hunt-PAST we+PL+NOM
<translation>	Several of us went hunting .

<line_9>	gu:ga:ryu gubiyila
<segmentation>	gu:ga:r=yu gubiyi-la
<glossing>	tree goanna=3ERG chase+PAST-THEN
<translation>	Then he chased a tree goanna .

<line_10>	gu:ga:rguni gadhiyila buyudhi
<segmentation>	gu:ga:r-gu=ni gadhiyi-la buyu-dhi
<glossing>	tree goanna-ERG=3ABS+VIS bite+PAST-THEN shin-CIRC
<translation>	Then the goanna bit him on the leg .

<line_11>	girambiyilani
<segmentation>	girambi-yi-la=ni
<glossing>	sick-PAST-THEN=3ABS+VIS
<translation>	Then he was sick .

<line_12>	yadani gaɽala
<segmentation>	yada=ni ga-ɽa-la
<glossing>	well+ABS=3ABS+VIS be-PRES-THEN
<translation>	He is better now .

<line_13>	ya:labuyu yura:bad gubalga:nha
<segmentation>	ya:la-bu=yu yura:bad guba-l-ga:-nha
<glossing>	thus+EST-UNIV=3ERG rabbit+NOM chase-CM-A BIT-PRES
<translation>	He chases rabbits a bit all the same .

<line_14>	ga:nhaladhuni manabinja:ra
<segmentation>	ga:-nha-la=dhu=ni / manabi-nja:ra
<glossing>	take-PRES-THEN=1NOM=3ABS+VIS hunt-CIRCUM
<translation>	Now I take him out when I go hunting .

<line_15>	wilba:rdhuray ŋiyani bibuwanha manabinja:ra
<segmentation>	wilba:r-dhuray ŋiyani bibuwa-nha / manabi-nja:ra
<glossing>	vehicle-COMIT+ABS we+PL+NOM run-PRES
<translation>	We drive with the sulky when we go hunting .
