# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	ca. 1970
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Kaboibagi and titled "Casimiro dreams".
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "08 CASIMIRO DREAMS.pdf".

<line_1>	ti aogI aipipaO-ba-hoagaI gI ai-hai
<glossing>	1_PRP foreign_woman_NN dream_VB-DUR-inchoative 2_PRP do_VB-??
<translation>	I dreamed about Alfredo's wife.

<line_2>	ti xaI aogI ai-xaagA * apipaO-ba-hoagaI
<glossing>	1_PRP thus_RB foreign_woman_NN do_VB-be * dream_VB-DUR-inchoative
<translation>	As I dreamed, I and the Brazilian woman were there.

<line_3>	* ao gA xai-si * ao apipoA-ba * ao higIo ab-aAti
<glossing>	* foreigner_NN speak_VB do_VB-?? * foreigner_NN dream_VB-DUR * foreigner_NN com_IN remain_VB-IMPERATIVE
<translation>	She said in the dream, "You will stay with the Brazilian man."

<line_4>	gIxa hi ao ab-i-koI
<glossing>	2_PRP 3_PRP foreigner_NN remain_VB-DECL-EMPH
<translation>	You will stay with him.

<line_5>	ti xaigIa ao ogI-giO ai hi ah-A-p-i-ta
<glossing>	1_PRP thus_RB foreigner_NN big_JJ-much thus_RB 3_PRP go_VB-vertical-up-transition-repetitive
<translation>	Well, then I and the Big Brazilian woman disappeared.

<line_6>	* apipaA kagahaoogI poogIhiai
<glossing>	* dream_VB ?? bananas_NN
<translation>	Next, I dreamed about Kamao and bananas.
