# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Cummings/PD01/061116.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
nothing .
glasses . 4512_6103
zebra . 10452_13452
zoo . 16813_18638
brush . 21870_23731
blue . 27637_29017
shark . 31901_35350
teeth . 38654_40238
feather . 46546_48072
green . 51399_53333
shovel . 58647_60465
this . 72534_78811
there . 79556_80724
guitar . 88250_91250
stretch . 102653_105653
popcorn . 122852_125852
mother . 134294_136002
father . 137552_140552
behind . 144118_145651
yes . 148379_150014
you . 155266_156558
present . 163123_164714
thankyou . 167393_169079
please . 178752_181752
strawberry . 192252_195252
chicken . 202396_204060
flower . 208554_210116
vase . 212378_213918
jeep . 219216_220734
hammer . 225837_228802
nail . 231187_232543
hanger . 244985_246554
ladder . 250940_253467
magician . 257333_259466
rabbit . 262700_265700
other . 281167_282700
rocket . 285450_288450
space . 291486_293362
ocean . 309554_312554
teacher . 318381_322450
finger . 326690_328310
chair . 343245_344909
thirsty . 356541_358088
twins . 370668_372135
them . 388632_390530
zipper . 403430_405036
screw . 423137_425101
shower . 432918_437020
theirs . 469698_471552
thunder . 508112_509842
treehouse . 527354_530354
drum . 539480_541232
water . 549954_552954
zero . 559803_562803
three . 578230_583102
judge . 708336_710241
jelly . 738692_740400
brother . 783416_785270
frenchfries . 809749_814785
noise . 828407_830319
quiet . 834301_837301
shoes . 867089_869162
crayons . 939050_942050
grapes . 958499_961499
slippers . 975436_977392
jumproping . 990286_994812
princess . 1022539_1024554
thermometer . 1048000_1051000
chain . 1065613_1067212
fish . 1089058_1090700
fishi . 1093198_1095132
frog . 1148625_1150413
frogi . 1154539_1156320
car . 1166253_1169253
cari . 1183903_1186903
juice . 1193652_1195156
juicei . 1198984_1200860
witch . 1216441_1217864
witchi . 1217453_1219552
badge . 1237593_1238688
badgei . 1238503_1239702
nose . 1253094_1255824
nosei . 1255824_1258765
train . 1269412_1271200
traini . 1274191_1275877
page . 1283916_1285186
pagei . 1286436_1287517
cheese . 1299751_1302751
cheesei . 1303501_1306501
square . 1312035_1313590
squarei . 1317001_1320578
peach . 1333698_1335143
peachi . 1336220_1337554
ring . 1367536_1369135
ringi . 1379000_1382000
watch . 1384913_1386490
watchi . 1387503_1388844
door . 1395654_1396982
doori . 1399284_1400591
bridge . 1404000_1405920
bridgei . 1408611_1410115
robe . 1598073_1599482
robei . 1600032_1601940
wish . 1608578_1610228
wishi . 1616001_1619001
cage . 1634093_1635327
cagei . 1635302_1636801
spring . 1638000_1641000
springi . 1641586_1642685
run . 1650490_1651921
running . 1655978_1657711
splash . 1667172_1669178
splashing . 1669178_1670956
break . 1708328_1709781
breaking . 1709739_1711032
buzz . 1738803_1739971
buzzing . 1739789_1740935
catching . 1751037_1752600
catch . 1755165_1756571
riding . 1809976_1811684
ride . 1813749_1815764
rubbing . 1819435_1820893
rub . 1822147_1824592
shave . 1832204_1835204
shaving . 1843254_1846254
crashing . 1879653_1882653
crash . 1886358_1887803
raining . 1896803_1899803
rain . 1901832_1903350
stirring . 1908900_1911900
stir . 1915488_1916802
rake . 1927501_1930501
raking . 1933167_1934488
reading . 1946362_1947851
read . 1950891_1952008
driving . 1959117_1960745
drive . 1963738_1965220
throwing . 1970203_1972072
throw . 1972500_1975500
