# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	2013
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/TorringtonEaton/PNT/58HR.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
this .
library . 5701_6150
hippopotamus . 31664_33004
helicopter . 39149_40949
crib . 57169_58014
blanket . 70954_71934
bathtub . 85629_86639
throwing . 96019_97419
television . 107159_108489
toothbrush . 113489_114669
swing . 118949_120749
strawberry . 138909_139819
quack . 146279_147144
yellow . 149274_150274
stamp . 160289_161289
spring . 168564_169229
flower . 171044_172039
queen . 181329_182219
hanger . 207529_208509
plant . 220609_221659
dinosaur . 223054_224129
jump rope . 230434_231739
dish washer . 243224_244359
tractor . 304511_305581
screwdriver . 314041_315206
princess . 318096_319051
smoke . 329011_330136
garage . 341341_342606
flag . 350141_351041
spider . 366816_368156
black . 381096_381856
xylophone . 387581_389036
washing machine . 398756_399756
three . 410886_411531
dentist . 451540_452920
teeth . 471055_471715
yawning . 492584_494134
sandwich . 495464_496629
shampoo . 505729_506734
washcloth . 522579_523709
valentine . 536579_537674
telephone . 546064_546949
squirrel . 551969_553009
treehouse . 555659_556569
ladder . 560354_561479
skateboard . 629510_630730
cookies . 635080_635755
plate . 647075_647900
schoolbus . 667265_668440
thankyou . 689025_690350
sleep . 694270_695180
pajamas . 720710_721955
scissors . 722915_724715
zebra . 736400_737065
thristy . 753215_754620
grass hopper . 762515_764000
cracker . 772755_773530
brother . 827196_827886
giraffe . 832631_834001
animals . 879351_880381
scratching . 884636_885691
nose . 892741_893891
chicken . 895476_896526
beige . 903976_904751
shovel . 905751_906851
baby carriage . 917671_919211
driving . 925091_925996
there . 934191_935321
vacuum cleaner . 948941_950741
yoyo . 1006957_1007787
toy . 1011166_1012160
newspaper . 1024392_1025492
clock . 1037942_1038677
basket . 1048352_1049612
bridge . 1055925_1057217
spaghetti . 1066997_1067772
shrinking . 1079742_1080732
teachers . 1112973_1113813
snowman . 1115153_1116068
spreading . 1150888_1151543
jelly . 1154913_1155578
glasses . 1156833_1158633
measuring cup . 1175998_1177378
breathe . 1198653_1199333
splinter . 1222313_1223328
dragon . 1291254_1292041
frog . 1294092_1295007
green . 1309877_1310512
refridgerator . 1337837_1338957
chocolate . 1354517_1355587
zipper . 1362667_1363457
windows . 1371477_1372597
leaf . 1382947_1383852
pudding . 1395547_1396607
rabbit . 1399819_1400839
ice cream . 1406144_1407859
banana . 1411834_1412739
stickers . 1442224_1443119
guitar . 1457584_1458714
strings . 1465888_1466648
ladybug . 1468174_1469974
pool . 1478365_1479602
swimming . 1485839_1487124
cowboy . 1491359_1493172
squirt gun . 1498324_1499329
french fries . 1520639_1522384
ketchup . 1525419_1526244
clown . 1596614_1597599
thimble . 1619594_1620619
elephant . 1624009_1625069
twins . 1638098_1638883
snake . 1661959_1662974
present . 1668013_1669033
shrimp . 1682059_1683029
splashing . 1702684_1703574
feather . 1705943_1707003
drum . 1721828_1723343
cage . 1728643_1729658
parachute . 1755058_1756523
firetruck . 1759104_1760244
slide . 1771448_1772728
mailbox . 1794524_1795569
twelve . 1804734_1805504
smoothe . 1816244_1817259
catch . 1825395_1827186
glove . 1836670_1837658
