# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	2022
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/PERCEPT-R/TPT_344/TX-4.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
barn . 110_724
beard . 844_1826
beard . 1946_2426
chair . 2546_3101
chair . 3221_4033
dark . 4153_5265
dark . 5385_6125
door . 6245_7133
door . 7253_7992
fork . 8112_9158
fork . 9278_9999
ladder . 10119_11147
ladder . 11267_12100
mother . 12220_13081
mother . 13201_14055
nurse . 14175_15365
nurse . 15485_16339
rake . 16459_17178
rake . 17298_18041
raw . 18161_18830
raw . 18950_19657
reach . 19777_20456
reach . 20576_21297
red . 21417_22081
red . 22201_22847
ring . 22967_23764
ring . 23884_24644
rock . 24764_25546
rock . 25666_26484
rose . 26604_27788
rose . 27908_28742
rude . 28862_29643
rude . 29763_30506
run . 30626_31327
run . 31447_32345
scare . 32465_33200
scare . 33320_34163
scarf . 34283_35339
scarf . 35459_36418
stir . 36538_37319
stir . 37439_38325
turn . 38445_39341
turn . 39461_40147
weird . 40267_41371
weird . 41491_42356
wrap . 42476_43250
wrap . 43370_44074
year . 44194_45087
year . 45207_45998
