# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1984
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Clinical/Preston/P24.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
yawn .
parachute . 804_2222
babycarriage . 2779_4604
bathtub . 5128_6436
beige . 6960_8374
teeth . 9350_10279
dinosaur . 10878_12076
toy . 12836_13810
ketchup . 14163_15279
cookie . 15930_16908
catch it . 17534_18532
guitar . 19301_20250
measuringcup . 20839_22327
newspaper . 23173_24668
giraffe . 25640_26777
firetruck . 27660_28845
valentine . 29736_31777
thimble . 32704_33858
this . 34944_36012
scissors . 37314_38826
zebra . 39742_40912
xylophone . 41902_43721
shovel . 44901_46026
hippopotomus . 47116_48881
ladder . 49910_51312
refrigerator . 52345_53857
washingmachine . 54907_56732
yoyo . 57725_58821
animals . 59850_60849
plant it . 62143_63867
princess . 64464_66624
black . 67910_69120
brother . 70210_71551
bridge . 72857_73782
tractor . 74620_75846
drive . 76989_78208
clown . 79099_80219
cracker . 81171_82789
glasses . 83725_84992
grasshopper . 86372_87998
flag . 88791_90352
frenchfries . 91679_93146
shrimp . 94012_95198
spaghetti . 96480_97613
sticker . 98650_100040
smooth . 101314_103127
snake . 104026_105664
sleep . 106836_108682
swing . 109483_110620
splash . 111906_112925
spread it . 113669_115519
strawberry . 116573_118109
screwdriver . 119000_120658
squirrel . 121740_123244
twelve . 124163_125219
queen . 126293_127740
three . 128530_129400
skateboard . 130359_131879
ladybug . 132847_134392
basket . 135381_136770
chicken . 137677_138508
pajamas . 139733_140809
icecream . 141838_143244
banana . 144139_145459
telephone . 146619_147996
television . 149209_150721
toothbrush . 151734_153560
dishwasher . 154536_156301
cage . 157599_159339
cowboy . 160678_162247
garage . 162865_164568
mailbox . 165944_167663
leaf . 168680_170098
nose . 171009_172187
chocolate . 173249_175046
jumprope . 176442_178288
jelly . 179440_180550
feather . 181469_183124
vacuumcleaner . 183889_187532
thankyou . 188500_190310
thirsty . 190969_192358
there . 193143_194308
sandwich . 195195_196595
zipper . 197441_198843
shampoo . 199713_200708
helicopter . 201587_203025
library . 203936_205831
rabbit . 206677_208058
window . 208835_210208
elephant . 211135_212843
plate . 213530_214410
present . 215366_216743
blanket . 217687_218730
breathe out . 219992_221304
treehouse . 222284_223731
twins . 225335_226896
pudding . 227807_228818
dragon . 233203_234432
crib . 235486_236746
quack . 237608_239259
glove . 240680_241776
green . 243168_245153
flower . 247117_249388
froggy . 251073_252993
throw . 254443_255553
shrunk . 256680_258306
spider . 259625_261055
stamp . 262104_263312
schoolbus . 264704_268498
smoke . 269923_271064
snowman . 272558_274261
slide . 275763_278493
swimmingpool . 280160_281447
splinter . 283075_284583
spring . 286656_288314
string . 289995_291202
scratch . 293050_294546
squirtgun . 296366_298228
clock . 300032_301511
yellow . 303131_304337
drum . 306120_307575
dentist . 309586_311221
washcloth . 313045_315127
hanger . 316931_318418
teacher . 320277_321752
