# language_name_wals:	Pirahã
# language_name_glotto:	Pirahã
# iso639_3:	myp
# year_composed:	ca. 1970
# year_published:	2015
# mode:	spoken
# genre_broad:	conversation
# genre_narrow:	spontaneous_speeches
# writing_system:	Latn
# special_characters:	For the special characters used in transcriptions see "Phonemic Transcription" at https://github.com/languageMIT/piraha.
# short_description:	A story told by a speaker named Tisahai and titled "Itaisoi hunts for tapir".
# source:	https://github.com/languageMIT/piraha/blob/master/corpus.txt, last accessed 05.08.2020.
# copyright_short:	CC-BY-SA-4.0 License
# copyright_long:	See https://github.com/languageMIT/piraha/blob/master/LICENSE.txt for the full license.
# sample_type:	whole
# comments:	The pdf source file for this story is named "12 ITAISOI HUNTS FOR TAPIR.pdf".

<line_12.1>	kabogI hi gA-sai-hIai toIao * iti ohoa-ab-aAti taoIhiai
<glossing>	Kabogi_NNP 3_PRP speak_VB-old_info-hearsay Toiao_NNP * fish_NN eat_VB-DUR-IMPERATIVE jaraque_fish_NN
<translation>	Kabogi said, Toiao, eat all the jaraque fish with me.

<line_12.2>	Xoi hi Isi hoai-p aI-sai-hIai
<glossing>	Oi_NNP 3_PRP fish_NN search_VB-?? do_VB-old_info-hearsay
<translation>	Oi is looking for fish.

<line_12.3>	hi aigIa ahai pIo Isi hoa-ab-i-sai-hIai
<glossing>	3_PRP thus_RB sibling_NN also_RB animal_NN search_VB-DUR-transition_vowel-old_info-hearsay
<translation>	He and his relatives are fishing for piranha.

<line_12.4>	* baixOsi ai-sai-hIai
<glossing>	* piranha_NN do_VB-old_info-hearsay
<translation>	For piranha they are fishing.

<line_12.5>	kabOgi hi aigIa gA xai-sai-hIai ti boa xahoaIi * * Is aOab-i-hiab aO
<glossing>	Kabogi_NNP 3_PRP thus_RB speak_VB do_VB-old_info-hearsay 1_PRP throat_NN dry_JJ * * animal_NN wait_for_VB-transition_vowel-NEG therefore_RB
<translation>	Kabogi said, "I've got a cough, so I won't wait for the tapir."

<line_12.7>	* iig-abOp-A-p-ai kabatiI is aIbao
<glossing>	* carry_VB-return-DECL-down-do tapir_NN animal_NN much_DT
<translation>	There are lots of tapir.

<line_12.8>	ii bIg ohoi-sai-hIai giotigaxai
<glossing>	animal_NN dirt_NN eat_VB-old_info-hearsay salt_NN
<translation>	They eat the dirt that has salt.

<line_12.9>	hi aigIa gA xai-sai-hIai Xoi aibIgaI * Ik aabog-aAti kabatiI
<glossing>	3_PRP thus_RB speak_VB do_VB-old_info-hearsay Oi_NNP Aibigai_NNP * it_PRP look_for??_VB-IMPERATIVE tapir_NN
<translation>	Oi said, "Aibigai Itaisoi's husband go and look for the tapir."

<line_12.10>	is aIbaO *
<glossing>	animal_NN much_DT *
<translation>	There are lots of tapir.

<line_12.11>	* iibIg ohoi-xiig-A-hA
<glossing>	* dirt_NN eat_VB-continuative-??-COMPL_CERT
<translation>	They are still eating the dirt.

<line_12.12>	itaIsoi hi aigIa gA xai-sai-hIai * hihIo Ik aob-iI-haI-isai
<glossing>	Itaisoi_NNP 3_PRP thus_RB speak_VB do_VB-old_info-hearsay * early_RB it_PRP look_for_VB-INTENT-REL_CERT-old_info
<translation>	Itaisoi said, "I intend to go early and look for the tapir."

<line_12.13>	itaIsoi hi aigIa agaoa paI abaxA-O boi-haI
<glossing>	Itaisoi_NNP 3_PRP thus_RB canoe_NN rotten_JJ alone_RB-LOC move_VB-REL_CERT
<translation>	Itaisoi will go all alone in the rotten canoe.

<line_12.14>	* ik oho-ab abOp-aI-haI-isaaga
<glossing>	* it_PRP eat_VB-DUR return_VB-do-REL_CERT-??
<translation>	She will eat the tapir as she returns.

<line_12.15>	itaIsoi hi aigIa agaoa abaxA-O boi
<glossing>	Itaisoi_NNP 3_PRP thus_RB canoe_NN alone_RB-LOC move_VB
<translation>	Yes, Itaisoi will go alone in the canoe.

<line_12.16>	* Is apai gAob-A
<glossing>	* animal_NN head_NN hold_VB-DECL
<translation>	She will hold on the head.

<line_12.17>	* apa Ohoi-haI kabatiI-IsaI
<glossing>	* head_NN eat_VB-REL_CERT tapir_NN-old_info
<translation>	She will eat the head of the tapir.

<line_12.18>	itaIsoi hi aigIa agaoa abaxA-O xiai
<glossing>	Itaisoi_NNP 3_PRP thus_RB canoe_NN alone_RB-LOC be_VB
