# language_name_wals:	English
# language_name_glotto:	English
# iso639_3:	eng
# year_composed:	NA
# year_published:	1989
# mode:	written
# genre_broad:	conversation
# genre_narrow:	NA
# writing_system:	Latn
# special_characters:	NA
# short_description:	phon
# source:	https://phon.talkbank.org/data-orig/Eng-NA/Davis/Micah/000723.cha
# copyright_short:	https://sla.talkbank.org/TBB/phon
# copyright_long:	Phon and PhonBank: Rose, Y., & MacWhinney, B. (2014). The PhonBank Project: Data and software-assisted methods for the study of phonology and phonological development. In Durand J., Gut U., & Kristoffersen, G. (Eds.), The Oxford handbook of corpus phonology (pp. 380-401). Oxford, UK: Oxford University Press. Note: Please also acknowledge this grant support for PhonBank -- NIH-NICHHD RO1-HD051698.
# sample_type:	whole
# comments:	NA
xxx .
xxx . 128239_131239
xxx .
xxx . 298373_304373
xxx . 305420_308420
xxx . 310715_313715
xxx . 313715_315870
xxx . 442204_445204
xxx . 536647_539230
xxx . 539230_542055
xxx . 542055_543811
xxx . 544241_547241
xxx . 547357_550357
xxx . 623361_625102
xxx . 713185_715464
xxx . 1085111_1090111
xxx . 1135287_1139435
xxx . 1139435_1142435
xxx . 1146382_1149382
xxx . 1149515_1152515
xxx . 1153511_1156511
xxx . 1160305_1163305
xxx . 1170118_1173118
xxx . 1199207_1202207
xxx . 1210017_1213017
xxx . 1233357_1236357
xxx . 1301980_1304515
xxx . 1304515_1307214
xxx . 1307828_1310828
xxx . 1319987_1322565
xxx . 1323686_1327686
xxx . 1327951_1330951
xxx . 1343028_1345317
xxx . 1357842_1360721
xxx . 1409939_1412409
xxx . 1654731_1655870
xxx . 1698424_1700579
xxx . 1798846_1801846
xxx .
xxx .
xxx . 1987965_1988078
xxx . 1988078_1990078
xxx . 2011014_2012863
xxx . 2027612_2029642
xxx . 2036270_2039270
